Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Unix,precipIntensity,Prediction,Probability
12,3,0,1,0,0,1,0,0,1,9,16,26,0,7,17,1517763600,0.006,1,0.9996358156204224
16,4,0,1,0,1,0,0,0,0,9,16,26,0,7,17,1517778000,0.0,1,0.9996365308761597
20,1,0,1,0,1,0,0,0,0,9,16,26,0,7,17,1517792400,0.0,1,0.9996366500854492
23,1,0,1,0,1,0,0,0,0,9,16,26,0,7,17,1517803200,0.0,1,0.9996367692947388
0,1,0,1,0,1,0,0,0,0,10,17,26,0,7,11,1517720400,0.0,1,0.9995753765106201
4,1,0,1,0,0,1,0,0,1,10,17,26,0,7,11,1517734800,0.047,1,0.9994340538978577
8,2,0,1,0,0,1,0,0,1,10,17,26,0,7,11,1517749200,0.168,1,0.9600805640220642
12,3,0,1,0,0,1,0,0,1,10,17,26,0,7,11,1517763600,0.006,1,0.9995713829994202
16,4,0,1,0,1,0,0,0,0,10,17,26,0,7,11,1517778000,0.0,1,0.9995837211608887
20,1,0,1,0,1,0,0,0,0,10,17,26,0,7,11,1517792400,0.0,1,0.9995856285095215
23,1,0,1,0,1,0,0,0,0,10,17,26,0,7,11,1517803200,0.0,1,0.9995869994163513
0,1,0,1,0,1,0,0,0,0,11,18,26,0,7,10,1517720400,0.0,1,0.9995282888412476
4,1,0,1,0,0,1,0,0,1,11,18,26,0,7,10,1517734800,0.047,1,0.9992353320121765
8,2,0,1,0,0,1,0,0,1,11,18,26,0,7,10,1517749200,0.169,1,0.7724348306655884
12,3,0,1,0,0,1,0,0,1,11,18,26,0,7,10,1517763600,0.006,1,0.9995206594467163
16,4,0,1,0,1,0,0,0,0,11,18,26,0,7,10,1517778000,0.0,1,0.999543309211731
20,1,0,1,0,1,0,0,0,0,11,18,26,0,7,10,1517792400,0.0,1,0.9995468854904175
23,1,0,1,0,1,0,0,0,0,11,18,26,0,7,10,1517803200,0.0,1,0.9995495080947876
0,1,0,1,0,1,0,0,0,0,12,19,26,0,7,24,1517720400,0.0,1,0.9996414184570312
4,1,0,1,0,0,1,0,0,1,12,19,26,0,7,24,1517734800,0.045,1,0.9996407628059387
8,2,0,1,0,0,1,0,0,1,12,19,26,0,7,24,1517749200,0.169,1,0.9996352195739746
12,3,0,1,0,0,1,0,0,1,12,19,26,0,7,24,1517763600,0.005,1,0.9996413588523865
16,4,0,1,0,1,0,0,0,0,12,19,26,0,7,24,1517778000,0.0,1,0.9996415376663208
20,1,0,1,0,1,0,0,0,0,12,19,26,0,7,24,1517792400,0.0,1,0.9996414184570312
23,1,0,1,0,1,0,0,0,0,12,19,26,0,7,24,1517803200,0.0,1,0.9996414184570312
0,1,0,1,0,1,0,0,0,0,13,20,26,0,7,23,1517720400,0.0,1,0.9996411204338074
4,1,0,1,0,0,1,0,0,1,13,20,26,0,7,23,1517734800,0.044,1,0.9996403455734253
8,2,0,1,0,0,1,0,0,1,13,20,26,0,7,23,1517749200,0.17,1,0.9996322393417358
12,3,0,1,0,0,1,0,0,1,13,20,26,0,7,23,1517763600,0.005,1,0.9996410608291626
16,4,0,1,0,1,0,0,0,0,13,20,26,0,7,23,1517778000,0.0,1,0.9996411800384521
20,1,0,1,0,1,0,0,0,0,13,20,26,0,7,23,1517792400,0.0,1,0.9996411800384521
23,1,0,1,0,1,0,0,0,0,13,20,26,0,7,23,1517803200,0.0,1,0.9996412396430969
0,1,0,1,0,1,0,0,0,0,14,21,26,0,7,20,1517720400,0.0,1,0.9996395111083984
4,1,0,1,0,0,1,0,0,1,14,21,26,0,7,20,1517734800,0.044,1,0.9996376037597656
8,2,0,1,0,0,1,0,0,1,14,21,26,0,7,20,1517749200,0.172,1,0.9996088147163391
12,3,0,1,0,0,1,0,0,1,14,21,26,0,7,20,1517763600,0.005,1,0.9996395111083984
16,4,0,1,0,1,0,0,0,0,14,21,26,0,7,20,1517778000,0.0,1,0.9996398091316223
20,1,0,1,0,1,0,0,0,0,14,21,26,0,7,20,1517792400,0.0,1,0.9996398687362671
23,1,0,1,0,1,0,0,0,0,14,21,26,0,7,20,1517803200,0.0,1,0.9996398687362671
0,1,0,1,0,1,0,0,0,0,15,22,26,0,7,15,1517720400,0.0,1,0.9996292591094971
4,1,0,1,0,0,1,0,0,1,15,22,26,0,7,15,1517734800,0.043,1,0.9996151924133301
8,2,0,1,0,0,1,0,0,1,15,22,26,0,7,15,1517749200,0.173,1,0.9990674257278442
12,3,0,1,0,0,1,0,0,1,15,22,26,0,7,15,1517763600,0.005,1,0.999629020690918
16,4,0,1,0,1,0,0,0,0,15,22,26,0,7,15,1517778000,0.0,1,0.9996305108070374
20,1,0,1,0,1,0,0,0,0,15,22,26,0,7,15,1517792400,0.0,1,0.9996308088302612
23,1,0,1,0,1,0,0,0,0,15,22,26,0,7,15,1517803200,0.0,1,0.9996309280395508
0,1,0,1,0,1,0,0,0,0,16,23,26,0,7,21,1517720400,0.0,1,0.9996402263641357
4,1,0,1,0,0,1,0,0,1,16,23,26,0,7,21,1517734800,0.043,1,0.9996387362480164
8,2,0,1,0,0,1,0,0,1,16,23,26,0,7,21,1517749200,0.174,1,0.9996190071105957
12,3,0,1,0,0,1,0,0,1,16,23,26,0,7,21,1517763600,0.005,1,0.9996402263641357
16,4,0,1,0,1,0,0,0,0,16,23,26,0,7,21,1517778000,0.0,1,0.9996403455734253
20,1,0,1,0,1,0,0,0,0,16,23,26,0,7,21,1517792400,0.0,1,0.9996404647827148
23,1,0,1,0,1,0,0,0,0,16,23,26,0,7,21,1517803200,0.0,1,0.9996404051780701
0,1,0,1,0,1,0,0,0,0,17,24,26,0,7,12,1517720400,0.0,1,0.9995969533920288
4,1,0,1,0,0,1,0,0,1,17,24,26,0,7,12,1517734800,0.043,1,0.9995249509811401
8,2,0,1,0,0,1,0,0,1,17,24,26,0,7,12,1517749200,0.175,1,0.9825811386108398
12,3,0,1,0,0,1,0,0,1,17,24,26,0,7,12,1517763600,0.005,1,0.9995955228805542
16,4,0,1,0,1,0,0,0,0,17,24,26,0,7,12,1517778000,0.0,1,0.9996022582054138
20,1,0,1,0,1,0,0,0,0,17,24,26,0,7,12,1517792400,0.0,1,0.9996035099029541
23,1,0,1,0,1,0,0,0,0,17,24,26,0,7,12,1517803200,0.0,1,0.9996044039726257
0,1,0,1,0,1,0,0,0,0,18,25,26,0,7,7,1517720400,0.0,1,0.998682975769043
4,1,0,1,0,0,1,0,0,1,18,25,26,0,7,7,1517734800,0.043,1,0.9924263954162598
8,2,0,1,0,0,1,0,0,1,18,25,26,0,7,7,1517749200,0.176,0,0.009932518005371094
12,3,0,1,0,0,1,0,0,1,18,25,26,0,7,7,1517763600,0.004,1,0.9986580014228821
16,4,0,1,0,1,0,0,0,0,18,25,26,0,7,7,1517778000,0.0,1,0.9988607168197632
20,1,0,1,0,1,0,0,0,0,18,25,26,0,7,7,1517792400,0.0,1,0.9989013075828552
23,1,0,1,0,1,0,0,0,0,18,25,26,0,7,7,1517803200,0.0,1,0.9989306926727295
0,1,0,1,0,1,0,0,0,0,20,8,25,0,0,8,1517720400,0.0,1,0.9996427297592163
4,1,0,1,0,0,1,0,0,1,20,8,25,0,0,8,1517734800,0.052,1,0.9996426105499268
8,2,0,1,0,0,1,0,0,1,20,8,25,0,0,8,1517749200,0.156,1,0.9996426105499268
12,3,0,1,0,0,1,0,0,1,20,8,25,0,0,8,1517763600,0.007,1,0.9996426105499268
16,4,0,1,0,1,0,0,0,0,20,8,25,0,0,8,1517778000,0.0,1,0.9996426105499268
20,1,0,1,0,1,0,0,0,0,20,8,25,0,0,8,1517792400,0.0,1,0.9996426105499268
23,1,0,1,0,1,0,0,0,0,20,8,25,0,0,8,1517803200,0.0,1,0.9996426105499268
0,1,0,1,0,1,0,0,0,0,21,9,25,0,7,11,1517720400,0.0,1,0.999298095703125
4,1,0,1,0,0,1,0,0,1,21,9,25,0,7,11,1517734800,0.052,1,0.9972814321517944
8,2,0,1,0,0,1,0,0,1,21,9,25,0,7,11,1517749200,0.157,0,0.2066614031791687
12,3,0,1,0,0,1,0,0,1,21,9,25,0,7,11,1517763600,0.007,1,0.9992541074752808
16,4,0,1,0,1,0,0,0,0,21,9,25,0,7,11,1517778000,0.0,1,0.9993518590927124
20,1,0,1,0,1,0,0,0,0,21,9,25,0,7,11,1517792400,0.0,1,0.9993643164634705
23,1,0,1,0,1,0,0,0,0,21,9,25,0,7,11,1517803200,0.0,1,0.9993733167648315
0,1,0,1,0,1,0,0,0,0,22,10,25,0,0,1,1517720400,0.0,1,0.9996427297592163
4,1,0,1,0,0,1,0,0,1,22,10,25,0,0,1,1517734800,0.051,1,0.9996427297592163
8,2,0,1,0,0,1,0,0,1,22,10,25,0,0,1,1517749200,0.158,1,0.9996426105499268
12,3,0,1,0,0,1,0,0,1,22,10,25,0,0,1,1517763600,0.007,1,0.9996427297592163
16,4,0,1,0,1,0,0,0,0,22,10,25,0,0,1,1517778000,0.0,1,0.9996426105499268
20,1,0,1,0,1,0,0,0,0,22,10,25,0,0,1,1517792400,0.0,1,0.9996426105499268
23,1,0,1,0,1,0,0,0,0,22,10,25,0,0,1,1517803200,0.0,1,0.9996426105499268
0,1,0,1,0,1,0,0,0,0,23,11,25,1,0,1,1517720400,0.0,1,0.9996427297592163
4,1,0,1,0,0,1,0,0,1,23,11,25,1,0,1,1517734800,0.049,1,0.9996426105499268
8,2,0,1,0,0,1,0,0,1,23,11,25,1,0,1,1517749200,0.16,1,0.9996427297592163
12,3,0,1,0,0,1,0,0,1,23,11,25,1,0,1,1517763600,0.006,1,0.9996427297592163
16,4,0,1,0,1,0,0,0,0,23,11,25,1,0,1,1517778000,0.0,1,0.9996427297592163
20,1,0,1,0,1,0,0,0,0,23,11,25,1,0,1,1517792400,0.0,1,0.9996426105499268
23,1,0,1,0,1,0,0,0,0,23,11,25,1,0,1,1517803200,0.0,1,0.9996426105499268
0,1,0,1,0,1,0,0,0,0,24,12,25,1,0,1,1517720400,0.0,1,0.9996426105499268
4,1,0,1,0,0,1,0,0,1,24,12,25,1,0,1,1517734800,0.048,1,0.9996427297592163
8,2,0,1,0,0,1,0,0,1,24,12,25,1,0,1,1517749200,0.161,1,0.9996427297592163
12,3,0,1,0,0,1,0,0,1,24,12,25,1,0,1,1517763600,0.006,1,0.9996427297592163
16,4,0,1,0,1,0,0,0,0,24,12,25,1,0,1,1517778000,0.0,1,0.9996427297592163
