Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,Prediction,Probability
16,4,0,1,0.0,1.0,0.0,0.0,0.0,1.0,22,10,25,0,0,1,1517778000,0,0.08710473775863647
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,22,10,25,0,0,1,1517792400,0,0.08754143118858337
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,22,10,25,0,0,1,1517803200,0,0.08747807145118713
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,23,11,25,1,0,1,1517720400,1,0.983609676361084
4,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,23,11,25,1,0,1,1517734800,1,0.9830005764961243
8,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,23,11,25,1,0,1,1517749200,1,0.9837324023246765
12,3,0,1,0.0,0.0,1.0,0.0,0.0,1.0,23,11,25,1,0,1,1517763600,1,0.9828486442565918
16,4,0,1,0.0,1.0,0.0,0.0,0.0,1.0,23,11,25,1,0,1,1517778000,1,0.9835594892501831
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,23,11,25,1,0,1,1517792400,1,0.9837363958358765
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,23,11,25,1,0,1,1517803200,1,0.9837349057197571
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,24,12,25,1,0,1,1517720400,1,0.9836463928222656
4,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,24,12,25,1,0,1,1517734800,1,0.9831628799438477
8,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,24,12,25,1,0,1,1517749200,1,0.9837332367897034
12,3,0,1,0.0,0.0,1.0,0.0,0.0,1.0,24,12,25,1,0,1,1517763600,1,0.9829553365707397
16,4,0,1,0.0,1.0,0.0,0.0,0.0,1.0,24,12,25,1,0,1,1517778000,1,0.9836186170578003
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,24,12,25,1,0,1,1517792400,1,0.9837392568588257
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,24,12,25,1,0,1,1517803200,1,0.9837386012077332
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,25,13,25,0,2,1,1517720400,0,0.0868731439113617
4,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,25,13,25,0,2,1,1517734800,0,0.0868731439113617
8,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,25,13,25,0,2,1,1517749200,0,0.08688288927078247
12,3,0,1,0.0,0.0,1.0,0.0,0.0,1.0,25,13,25,0,2,1,1517763600,0,0.0868731439113617
16,4,0,1,0.0,1.0,0.0,0.0,0.0,1.0,25,13,25,0,2,1,1517778000,0,0.08921611309051514
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,25,13,25,0,2,1,1517792400,0,0.0872260332107544
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,25,13,25,0,2,1,1517803200,0,0.08708703517913818
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,26,14,25,1,5,1,1517720400,1,0.8853328227996826
4,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,26,14,25,1,5,1,1517734800,0,0.09826675057411194
8,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,26,14,25,1,5,1,1517749200,1,0.9827734231948853
12,3,0,1,0.0,0.0,1.0,0.0,0.0,1.0,26,14,25,1,5,1,1517763600,1,0.9778226613998413
16,4,0,1,0.0,1.0,0.0,0.0,0.0,1.0,26,14,25,1,5,1,1517778000,1,0.9835740327835083
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,26,14,25,1,5,1,1517792400,1,0.9836796522140503
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,26,14,25,1,5,1,1517803200,1,0.9836704730987549
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,27,15,25,0,4,9,1517720400,0,0.0868731439113617
4,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,27,15,25,0,4,9,1517734800,0,0.0868731439113617
8,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,27,15,25,0,4,9,1517749200,0,0.08690235018730164
12,3,0,1,0.0,0.0,1.0,0.0,0.0,1.0,27,15,25,0,4,9,1517763600,0,0.0868731439113617
16,4,0,1,0.0,1.0,0.0,0.0,0.0,1.0,27,15,25,0,4,9,1517778000,0,0.28348976373672485
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,27,15,25,0,4,9,1517792400,0,0.09233471751213074
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,27,15,25,0,4,9,1517803200,0,0.0999266505241394
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,28,16,25,0,5,10,1517720400,0,0.0868731439113617
4,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,28,16,25,0,5,10,1517734800,0,0.0868731439113617
8,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,28,16,25,0,5,10,1517749200,0,0.08690693974494934
12,3,0,1,0.0,0.0,1.0,0.0,0.0,1.0,28,16,25,0,5,10,1517763600,0,0.0868731439113617
16,4,0,1,0.0,1.0,0.0,0.0,0.0,1.0,28,16,25,0,5,10,1517778000,0,0.17911633849143982
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,28,16,25,0,5,10,1517792400,0,0.08736243844032288
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,28,16,25,0,5,10,1517803200,0,0.09004020690917969
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,29,17,25,0,0,1,1517720400,0,0.0868731439113617
4,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,29,17,25,0,0,1,1517734800,0,0.0868731439113617
8,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,29,17,25,0,0,1,1517749200,0,0.10119223594665527
12,3,0,1,0.0,0.0,1.0,0.0,0.0,1.0,29,17,25,0,0,1,1517763600,0,0.0868731439113617
16,4,0,1,0.0,1.0,0.0,0.0,0.0,1.0,29,17,25,0,0,1,1517778000,0,0.08692699670791626
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,29,17,25,0,0,1,1517792400,0,0.0891171395778656
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,29,17,25,0,0,1,1517803200,0,0.09149989485740662
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,30,18,25,0,0,9,1517720400,0,0.0868731439113617
4,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,30,18,25,0,0,9,1517734800,0,0.0868731439113617
8,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,30,18,25,0,0,9,1517749200,0,0.13182833790779114
12,3,0,1,0.0,0.0,1.0,0.0,0.0,1.0,30,18,25,0,0,9,1517763600,0,0.0868731439113617
16,4,0,1,0.0,1.0,0.0,0.0,0.0,1.0,30,18,25,0,0,9,1517778000,0,0.0868733823299408
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,30,18,25,0,0,9,1517792400,0,0.0871809720993042
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,30,18,25,0,0,9,1517803200,0,0.0882081687450409
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,31,19,25,0,7,18,1517720400,0,0.0868731439113617
4,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,31,19,25,0,7,18,1517734800,0,0.0868731439113617
8,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,31,19,25,0,7,18,1517749200,0,0.09238749742507935
12,3,0,1,0.0,0.0,1.0,0.0,0.0,1.0,31,19,25,0,7,18,1517763600,0,0.0868731439113617
16,4,0,1,0.0,1.0,0.0,0.0,0.0,1.0,31,19,25,0,7,18,1517778000,0,0.08688479661941528
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,31,19,25,0,7,18,1517792400,0,0.0868731439113617
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,31,19,25,0,7,18,1517803200,0,0.0868731439113617
0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,32,20,25,0,7,17,1517720400,0,0.0868731439113617
4,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,32,20,25,0,7,17,1517734800,0,0.0868731439113617
8,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,32,20,25,0,7,17,1517749200,0,0.08934187889099121
12,3,0,1,0.0,0.0,1.0,0.0,0.0,1.0,32,20,25,0,7,17,1517763600,0,0.0868731439113617
16,4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,32,20,25,0,7,17,1517778000,0,0.0868731439113617
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,32,20,25,0,7,17,1517792400,0,0.0868731439113617
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,32,20,25,0,7,17,1517803200,0,0.0868731439113617
0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,33,21,25,0,7,18,1517720400,0,0.0868731439113617
4,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,33,21,25,0,7,18,1517734800,0,0.0868731439113617
8,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,33,21,25,0,7,18,1517749200,0,0.08854639530181885
12,3,0,1,0.0,0.0,1.0,0.0,0.0,1.0,33,21,25,0,7,18,1517763600,0,0.0868731439113617
16,4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,33,21,25,0,7,18,1517778000,0,0.0868731439113617
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,33,21,25,0,7,18,1517792400,0,0.0868731439113617
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,33,21,25,0,7,18,1517803200,0,0.0868731439113617
0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,34,22,25,0,7,14,1517720400,0,0.0868731439113617
4,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,34,22,25,0,7,14,1517734800,0,0.0868731439113617
8,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,34,22,25,0,7,14,1517749200,0,0.08727464079856873
12,3,0,1,0.0,0.0,1.0,0.0,0.0,1.0,34,22,25,0,7,14,1517763600,0,0.0868731439113617
16,4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,34,22,25,0,7,14,1517778000,0,0.0868731439113617
