Response Date,Fixed Time CallClosed,Address,City,Latitude,Longitude,Problem
1/24/2020 3:23:43 PM,1/24/2020 3:40:30 PM,4120 - 4624 Shallowford Rd,CHATTANOOGA,35043287,85219729,ACC2-MVC No Injuries
1/24/2020 3:15:28 PM,1/24/2020 4:10:26 PM,400 Palmetto St,CHATTANOOGA,35047377,85293550,ACC2-MVC No Injuries
1/24/2020 3:09:11 PM,1/24/2020 4:55:59 PM,1182 Mountain Creek Rd,CHATTANOOGA,35118812,85316100,ACC2-MVC No Injuries
1/24/2020 3:05:38 PM,1/24/2020 3:19:23 PM,Carl White Pl / W 38th St,CHATTANOOGA,35009137,85320395,ACC3-MVC Unknown Injuries
1/24/2020 3:00:51 PM,1/24/2020 3:02:02 PM,Bonny Oaks Dr / Laguana Dr,CHATTANOOGA,35074100,85178727,ACC2-MVC No Injuries
1/24/2020 3:00:25 PM,1/24/2020 3:01:32 PM,6200 - 6217 Bonny Oaks Dr,CHATTANOOGA,35073967,85181319,ACC2-MVC No Injuries
1/24/2020 2:59:10 PM,1/24/2020 4:31:30 PM,6211 BONNY OAKS DR,CHATTANOOGA,35074407,85179849,ACC2-MVC No Injuries
1/24/2020 2:53:06 PM,1/24/2020 3:43:11 PM,1 - 9 Exit W M L King Blvd W On Ramp Nb,CHATTANOOGA,35046307,85313103,ACC2-MVC No Injuries
1/24/2020 2:43:04 PM,1/24/2020 5:09:11 PM,5528 HIGHWAY 153,CHATTANOOGA,35145210,85248538,ACC2-MVC No Injuries
1/24/2020 2:40:42 PM,1/24/2020 3:27:05 PM,1330 E 3rd St,CHATTANOOGA,35043072,85279331,ACCDEL-MVC Delayed
1/24/2020 2:14:20 PM,1/24/2020 2:24:10 PM,2427 Jenkins Rd,CHATTANOOGA,35042069,85129994,ACC1-MVC Injuries
1/24/2020 2:14:20 PM,1/24/2020 2:26:03 PM,2427 Jenkins Rd,CHATTANOOGA,35042069,85129994,ACC1-MVC Injuries
1/24/2020 2:13:23 PM,1/24/2020 2:14:30 PM,2427 Jenkins Rd,CHATTANOOGA,35042069,85129994,ACC1-MVC Injuries
1/24/2020 2:00:02 PM,1/24/2020 2:45:49 PM,2427 JENKINS RD,CHATTANOOGA,35042069,85129994,ACC1-MVC Injuries
1/24/2020 1:55:43 PM,1/24/2020 2:20:57 PM,501 Signal Mountain Rd,CHATTANOOGA,35094368,85331318,ACC2-MVC No Injuries
1/24/2020 1:47:35 PM,1/24/2020 2:15:48 PM,377-399 Thrasher Pike,SODDY DAISY,35211380,85215400,ACC2-MVC No Injuries
1/24/2020 1:27:24 PM,1/24/2020 1:52:31 PM,301 Market St,CHATTANOOGA,35053320,85309891,ACC2-MVC No Injuries
1/24/2020 1:26:05 PM,1/24/2020 2:28:56 PM,7400 E BRAINERD RD,CHATTANOOGA,35015214,85163699,ACC2-MVC No Injuries
1/24/2020 1:21:56 PM,1/24/2020 2:11:47 PM,1327 S SEMINOLE DR,EAST RIDGE,34995598,85269762,ACC1-MVC Injuries
1/24/2020 1:21:09 PM,1/24/2020 1:49:31 PM,S Seminole Dr / Crabtree Dr,EAST RIDGE,34995722,85267828,ACC3-MVC Unknown Injuries
1/24/2020 1:20:45 PM,1/24/2020 3:25:36 PM,1300-1399 S SEMINOLE DR,EAST RIDGE,34995264,85269472,ACC1-MVC Injuries
1/24/2020 12:53:18 PM,1/24/2020 2:22:54 PM,2122 HAMILL RD,CHATTANOOGA,35123682,85235397,ACC2-MVC No Injuries
1/24/2020 12:49:27 PM,1/24/2020 1:56:29 PM,600 S GERMANTOWN RD,CHATTANOOGA,35012880,85252595,ACC2-MVC No Injuries
1/24/2020 12:38:14 PM,1/24/2020 12:41:01 PM,Pineville Rd / Signal Mountain Rd,CHATTANOOGA,35085441,85326045,ACC2-MVC No Injuries
1/24/2020 12:37:42 PM,1/24/2020 1:32:02 PM,1200-1298 Pineville Rd,CHATTANOOGA,35085230,85326063,ACC2-MVC No Injuries
1/24/2020 12:16:35 PM,1/24/2020 12:56:24 PM,6901-6909 Shallowford Rd,CHATTANOOGA,35044780,85161830,ACC2-MVC No Injuries
1/24/2020 12:08:24 PM,1/24/2020 12:33:57 PM,301 Gadd Rd,CHATTANOOGA,35144897,85270163,ACC1-MVC Injuries
1/24/2020 11:50:57 AM,1/24/2020 1:55:29 PM,301 Gadd Rd,CHATTANOOGA,35144897,85270163,ACC1-MVC Injuries
1/24/2020 11:48:58 AM,1/24/2020 12:25:06 PM,1609 Long St,CHATTANOOGA,35035371,85309090,ACC2-MVC No Injuries
1/24/2020 11:45:46 AM,1/24/2020 1:46:07 PM,3619 ELDER MOUNTAIN RD,CHATTANOOGA,35044492,85369499,ACC2-MVC No Injuries
1/24/2020 11:35:00 AM,1/24/2020 12:01:28 PM,2346 Shallowford Village Dr,CHATTANOOGA,35044987,85154939,ACC2-MVC No Injuries
1/24/2020 11:28:17 AM,1/24/2020 12:56:35 PM,205 Manufacturers Rd,CHATTANOOGA,35063154,85313005,ACCDEL-MVC Delayed
1/24/2020 11:21:05 AM,1/24/2020 11:21:26 AM,205 Manufacturers Rd,CHATTANOOGA,35063154,85313005,ACCDEL-MVC Delayed
1/24/2020 11:18:15 AM,1/24/2020 11:20:46 AM,205 Manufacturers Rd,CHATTANOOGA,35063154,85313005,ACCDEL-MVC Delayed
1/24/2020 11:05:51 AM,1/24/2020 12:56:05 PM,70 Highway 27 Sb,CHATTANOOGA,35040213,85316845,ACC2-MVC No Injuries
1/24/2020 10:51:21 AM,1/24/2020 12:25:56 PM,650 HIGHWAY 153 NB,CHATTANOOGA,35101390,85228924,ACC2-MVC No Injuries
1/24/2020 10:50:34 AM,1/24/2020 10:53:46 AM,659 Highway 153 Nb,CHATTANOOGA,35102698,85228966,ACC2-MVC No Injuries
1/24/2020 10:12:22 AM,1/24/2020 10:46:35 AM,800 INTERSTATE 75 NB,CHATTANOOGA,35065968,85125035,ACC2-MVC No Injuries
1/24/2020 9:47:42 AM,1/24/2020 10:29:13 AM,208 Morningside Dr,CHATTANOOGA,35024293,85283803,ACCDEL-MVC Delayed
1/24/2020 9:45:56 AM,1/24/2020 10:41:47 AM,5124 Hixson Pike,CHATTANOOGA,35136138,85237976,ACC2-MVC No Injuries
1/24/2020 9:28:48 AM,1/24/2020 9:49:47 AM,S GERMANTOWN RD / BRAINERD RD,CHATTANOOGA,35024158,85246468,ACCDEL-MVC Delayed
1/24/2020 9:23:26 AM,1/24/2020 9:56:01 AM,3251 Rossville Blvd,CHATTANOOGA,35005280,85293784,ACC2-MVC No Injuries
1/24/2020 9:11:33 AM,1/24/2020 9:41:57 AM,114 Sylvan City Dr,WALDEN,35156935,85306262,ACC2-MVC No Injuries
1/24/2020 9:01:37 AM,1/24/2020 9:38:32 AM,1290 S Seminole Dr,EAST RIDGE,34995870,85267351,ACC2-MVC No Injuries
1/24/2020 8:45:47 AM,1/24/2020 9:19:39 AM,1200 Tunnel Blvd,CHATTANOOGA,35042458,85238304,ACC2-MVC No Injuries
1/24/2020 8:28:24 AM,1/24/2020 9:30:16 AM,2410 Westside Dr,CHATTANOOGA,35012824,85271672,ACC2-MVC No Injuries
1/24/2020 8:24:06 AM,1/24/2020 9:39:28 AM,3600 TENNESSEE AVE,CHATTANOOGA,35014497,85325187,ACC2-MVC No Injuries
