Accident,Latitude,Longitude,Date,Time,Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Unix,precipIntensity,Unnamed: 23,Unnamed: 24
1,35.037712,-85.15674399999999,2019-03-17,0:57:01,0,1,6,0,1,3.81,0.0001,0.0012,0,1,0,0,0,0,417,33,14,1,2,6
1,35.011028,-85.189563,2019-03-17,1:38:21,1,1,6,0,1,4.96,0.0,0.0,1,0,0,0,0,0,173,31,20,1,7,4
1,35.01246,-85.184679,2019-03-17,1:39:05,1,1,6,0,1,5.02,0.0,0.0,1,0,0,0,0,0,206,31,19,1,7,4
1,35.032626,-85.17362299999999,2019-03-17,2:24:50,2,1,6,0,1,5.46,0.0,0.0,1,0,0,0,0,0,325,31,16,1,7,10
1,35.115281,-85.26244,2019-03-17,2:51:58,2,1,6,0,1,10.0,0.0,0.0,1,0,0,0,0,0,622,16,9,0,7,12
1,35.069184,-85.24991,2019-03-17,3:45:08,3,1,6,0,1,7.39,0.0,0.0,1,0,0,0,0,0,359,20,15,0,7,31
1,35.093862,-85.177514,2019-03-17,9:34:53,9,2,6,0,1,7.21,0.0,0.0,1,0,0,0,0,0,711,27,7,0,7,8
1,35.045442,-85.08398299999999,2019-03-17,9:46:59,9,2,6,0,1,5.59,0.0,0.0,1,0,0,0,0,0,647,41,9,0,7,11
1,34.996398,-85.245409,2019-03-17,10:17:41,10,3,6,0,1,5.64,0.0,0.0,1,0,0,0,0,0,37,25,25,0,7,17
1,35.035614,-85.306377,2019-03-17,10:41:43,10,3,6,0,1,3.05,0.0,0.0,0,1,0,0,0,0,99,16,22,0,7,20
1,35.051313,-85.147882,2019-03-17,10:58:03,10,3,6,0,1,6.05,0.0,0.0,1,0,0,0,0,0,507,33,12,1,7,7
1,35.012954,-85.228277,2019-03-17,11:27:42,11,3,6,0,1,5.33,0.0,0.0,1,0,0,0,0,0,137,26,21,0,7,21
1,35.02629,-85.323702,2019-03-17,13:30:04,13,4,6,0,1,2.2,0.0,0.0,1,0,0,0,0,0,47,14,24,1,5,2
1,35.102643,-85.27575,2019-03-17,13:44:47,13,4,6,0,1,4.89,0.0,0.0,1,0,0,0,0,0,534,15,11,0,7,13
1,35.042164,-85.220198,2019-03-17,14:35:41,14,4,6,0,1,3.29,0.0,0.0,1,0,0,0,0,0,274,25,17,0,7,13
1,35.042164,-85.220198,2019-03-17,14:36:13,14,4,6,0,1,3.29,0.0,0.0,1,0,0,0,0,0,274,25,17,0,7,13
1,35.036256,-85.143126,2019-03-17,14:47:03,14,4,6,0,1,4.12,0.0,0.0,1,0,0,0,0,0,419,35,14,0,7,6
1,35.049848,-85.243558,2019-03-17,15:00:46,15,4,6,0,1,2.56,0.0,0.0,1,0,0,0,0,0,271,22,17,0,7,14
1,35.015679999999996,-85.277396,2019-03-17,15:11:28,15,4,6,0,1,2.86,0.0,0.0,1,0,0,0,0,0,77,20,23,1,7,19
1,35.015769,-85.270262,2019-03-17,15:37:00,15,4,6,0,1,2.88,0.0,0.0,1,0,0,0,0,0,78,21,23,1,7,23
1,35.029438,-85.31139,2019-03-17,15:42:29,15,4,6,0,1,2.04,0.0,0.0,1,0,0,0,0,0,72,15,23,1,2,15
1,35.0178,-85.17345999999999,2019-03-17,16:01:56,16,4,6,0,1,3.95,0.0,0.0,1,0,0,0,0,0,242,32,18,1,7,17
1,35.148021,-85.273262,2019-03-17,17:25:29,17,4,6,0,1,3.9,0.0,0.0,1,0,0,0,0,0,765,13,5,0,7,18
1,35.123666,-85.24046700000001,2019-03-17,18:27:27,18,1,6,0,1,8.1,0.0,0.0,1,0,0,0,0,0,737,18,6,1,2,9
1,35.1241,-85.24042,2019-03-17,18:29:00,18,1,6,0,1,8.1,0.0,0.0,1,0,0,0,0,0,737,18,6,1,2,9
1,35.084826,-85.193545,2019-03-17,18:29:14,18,1,6,0,1,7.72,0.0,0.0,1,0,0,0,0,0,632,26,9,0,7,14
1,35.043791,-85.149742,2019-03-17,18:50:33,18,1,6,0,1,7.85,0.0,0.0,1,0,0,0,0,0,462,33,13,1,2,10
1,35.014767,-85.163566,2019-03-17,18:52:33,18,1,6,0,1,7.64,0.0,0.0,1,0,0,0,0,0,244,34,18,0,7,14
1,35.015214,-85.163699,2019-03-17,18:52:59,18,1,6,0,1,7.64,0.0,0.0,1,0,0,0,0,0,243,33,18,0,7,12
1,35.005828,-85.207205,2019-03-17,22:40:24,22,1,6,0,1,5.61,0.0,0.0,1,0,0,0,0,0,140,29,21,1,2,8
1,35.005828,-85.207205,2019-03-17,22:48:38,22,1,6,0,1,5.61,0.0,0.0,1,0,0,0,0,0,140,29,21,1,2,8
1,35.005828,-85.207205,2019-03-17,22:53:09,22,1,6,0,1,5.61,0.0,0.0,1,0,0,0,0,0,140,29,21,1,2,8
1,35.02432,-85.174239,2019-03-17,23:46:03,23,1,6,0,1,5.8,0.0,0.0,1,0,0,0,0,0,281,32,17,1,7,18
1,35.027515,-85.172623,2019-03-17,23:46:22,23,1,6,0,1,5.84,0.0,0.0,1,0,0,0,0,0,326,32,16,1,7,16
1,35.02432,-85.174239,2019-03-17,23:48:27,23,1,6,0,1,5.8,0.0,0.0,1,0,0,0,0,0,281,32,17,1,7,18
1,35.041393,-85.157013,2019-03-17,23:55:12,23,1,6,0,1,5.94,0.0,0.0,1,0,0,0,0,0,417,33,14,1,2,6
