Clear,Cloudy,DayFrame,DayOfWeek,FUNC_CLASS,Foggy,Grid_Num,Hour,Join_Count,NBR_LANES,Rain,RainBefore,Snow,TY_TERRAIN,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed
0,0,1,4,11.0,0,1,0,14,4.0,1,1,0,2.0,1579842000,1,0.99,37.42,0.89,0.0823,40.33,9.81
0,0,1,4,11.0,0,1,4,14,4.0,1,1,0,2.0,1579856400,1,0.97,38.34,0.92,0.0272,40.59,7.18
0,0,2,4,11.0,0,1,8,14,4.0,1,1,0,2.0,1579870800,1,0.95,40.23,0.94,0.0589,41.71,5.55
0,0,3,4,11.0,0,1,12,14,4.0,1,1,0,2.0,1579885200,1,0.99,45.02,1.0,0.0119,45.02,6.17
0,1,4,4,11.0,0,1,16,14,4.0,0,0,0,2.0,1579899600,1,0.51,42.39,0.72,0.0,51.11,8.0
0,1,1,4,11.0,0,1,20,14,4.0,0,0,0,2.0,1579914000,1,0.62,39.07,0.8,0.0014,44.91,6.04
0,1,1,4,11.0,0,1,23,14,4.0,0,0,0,2.0,1579924800,1,0.63,36.04,0.83,0.0026,40.91,6.9
0,0,1,4,17.0,0,2,0,2,2.0,1,1,0,2.0,1579842000,1,0.99,37.25,0.89,0.0819,40.32,9.66
0,0,1,4,17.0,0,2,4,2,2.0,1,1,0,2.0,1579856400,1,0.97,38.2,0.91,0.0272,40.62,7.14
0,0,2,4,17.0,0,2,8,2,2.0,1,1,0,2.0,1579870800,1,0.95,40.29,0.96,0.0581,41.37,5.54
0,0,3,4,17.0,0,2,12,2,2.0,1,1,0,2.0,1579885200,1,0.99,44.48,1.0,0.0117,44.48,6.19
0,1,4,4,17.0,0,2,16,2,2.0,0,0,0,2.0,1579899600,1,0.51,41.45,0.73,0.0,49.71,7.96
0,1,1,4,17.0,0,2,20,2,2.0,0,0,0,2.0,1579914000,1,0.62,38.77,0.81,0.0014,44.08,6.03
0,1,1,4,17.0,0,2,23,2,2.0,0,0,0,2.0,1579924800,1,0.63,35.25,0.83,0.0026,39.9,6.85
0,0,1,4,11.0,0,3,0,111,4.0,1,1,0,2.0,1579842000,1,0.99,37.53,0.89,0.0872,40.38,9.09
0,0,1,4,11.0,0,3,4,111,4.0,1,1,0,2.0,1579856400,1,0.97,37.91,0.9,0.0274,40.67,7.09
0,0,2,4,11.0,0,3,8,111,4.0,1,1,0,2.0,1579870800,1,0.96,40.17,0.92,0.0488,42.19,5.69
