Clear,Cloudy,DayFrame,DayOfWeek,FUNC_CLASS,Foggy,Grid_Num,Hour,Join_Count,NBR_LANES,Rain,RainBefore,Snow,TY_TERRAIN,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed
1,0,1,2,11.0,0,1,0,14,4.0,0,0,0,2.0,1579669200,1,0.0,13.97,0.61,0.0013,25.53,4.56
1,0,1,2,11.0,0,1,4,14,4.0,0,0,0,2.0,1579683600,1,0.0,13.42,0.65,0.0013,23.5,3.69
0,1,2,2,11.0,0,1,8,14,4.0,0,0,0,2.0,1579698000,1,0.57,14.97,0.7,0.0,23.27,3.92
0,1,3,2,11.0,0,1,12,14,4.0,0,0,0,2.0,1579712400,1,0.76,14.8,0.4,0.0,36.74,2.8
0,1,4,2,11.0,0,1,16,14,4.0,0,0,0,2.0,1579726800,1,0.57,15.36,0.33,0.0,42.83,3.72
0,1,1,2,11.0,0,1,20,14,4.0,0,0,0,2.0,1579741200,1,1.0,17.69,0.45,0.0,37.29,3.54
0,1,1,2,11.0,0,1,23,14,4.0,0,0,0,2.0,1579752000,1,1.0,17.37,0.47,0.0,35.49,4.5
1,0,1,2,17.0,0,2,0,2,2.0,0,0,0,2.0,1579669200,1,0.0,14.07,0.61,0.0013,25.7,4.53
1,0,1,2,17.0,0,2,4,2,2.0,0,0,0,2.0,1579683600,1,0.0,13.59,0.65,0.0013,23.56,3.67
0,1,2,2,17.0,0,2,8,2,2.0,0,0,0,2.0,1579698000,1,0.56,15.17,0.71,0.0,23.31,3.9
0,1,3,2,17.0,0,2,12,2,2.0,0,0,0,2.0,1579712400,1,0.76,14.51,0.41,0.0,36.26,2.73
0,1,4,2,17.0,0,2,16,2,2.0,0,0,0,2.0,1579726800,1,0.57,14.93,0.33,0.0,42.34,3.66
0,1,1,2,17.0,0,2,20,2,2.0,0,0,0,2.0,1579741200,1,1.0,17.81,0.45,0.0,37.34,3.51
0,1,1,2,17.0,0,2,23,2,2.0,0,0,0,2.0,1579752000,1,1.0,17.68,0.48,0.0,35.65,4.4
1,0,1,2,11.0,0,3,0,111,4.0,0,0,0,2.0,1579669200,1,0.0,14.24,0.62,0.0013,25.38,4.42
1,0,1,2,11.0,0,3,4,111,4.0,0,0,0,2.0,1579683600,1,0.0,13.69,0.66,0.0013,23.27,3.54
0,1,2,2,11.0,0,3,8,111,4.0,0,0,0,2.0,1579698000,1,0.51,14.9,0.72,0.0,22.64,3.73
0,1,3,2,11.0,0,3,12,111,4.0,0,0,0,2.0,1579712400,1,0.77,15.53,0.42,0.0,36.29,2.41
0,1,4,2,11.0,0,3,16,111,4.0,0,0,0,2.0,1579726800,1,0.56,15.97,0.33,0.0,43.19,3.32
0,1,1,2,11.0,0,3,20,111,4.0,0,0,0,2.0,1579741200,1,1.0,18.44,0.46,0.0,37.09,3.2
0,1,1,2,11.0,0,3,23,111,4.0,0,0,0,2.0,1579752000,1,1.0,18.42,0.5,0.0,35.16,3.77
1,0,1,2,11.0,0,4,0,38,4.0,0,0,0,2.0,1579669200,1,0.0,14.14,0.62,0.0013,25.21,4.38
1,0,1,2,11.0,0,4,4,38,4.0,0,0,0,2.0,1579683600,1,0.0,13.68,0.67,0.0013,23.18,3.52
0,1,2,2,11.0,0,4,8,38,4.0,0,0,0,2.0,1579698000,1,0.5,15.06,0.72,0.0,22.69,3.71
0,1,3,2,11.0,0,4,12,38,4.0,0,0,0,2.0,1579712400,1,0.78,15.87,0.43,0.0,36.39,2.34
0,1,4,2,11.0,0,4,16,38,4.0,0,0,0,2.0,1579726800,1,0.56,16.16,0.33,0.0,43.3,3.26
0,1,1,2,11.0,0,4,20,38,4.0,0,0,0,2.0,1579741200,1,1.0,18.49,0.47,0.0,36.97,3.17
0,1,1,2,11.0,0,4,23,38,4.0,0,0,0,2.0,1579752000,1,1.0,18.48,0.51,0.0,34.97,3.67
1,0,1,2,16.0,0,5,0,11,2.0,0,0,0,2.0,1579669200,1,0.0,14.07,0.62,0.0013,25.17,4.38
1,0,1,2,16.0,0,5,4,11,2.0,0,0,0,2.0,1579683600,1,0.0,13.61,0.66,0.0013,23.15,3.5
0,1,2,2,16.0,0,5,8,11,2.0,0,0,0,2.0,1579698000,1,0.5,14.87,0.72,0.0,22.57,3.68
0,1,3,2,16.0,0,5,12,11,2.0,0,0,0,2.0,1579712400,1,0.78,15.92,0.43,0.0,36.38,2.31
0,1,4,2,16.0,0,5,16,11,2.0,0,0,0,2.0,1579726800,1,0.55,16.37,0.33,0.0,43.46,3.21
0,1,1,2,16.0,0,5,20,11,2.0,0,0,0,2.0,1579741200,1,1.0,18.39,0.47,0.0,36.87,3.12
0,1,1,2,16.0,0,5,23,11,2.0,0,0,0,2.0,1579752000,1,0.99,18.54,0.51,0.0,34.92,3.59
1,0,1,2,19.0,0,6,0,14,1.0,0,0,0,3.0,1579669200,1,0.0,14.09,0.62,0.0013,25.15,4.34
1,0,1,2,19.0,0,6,4,14,1.0,0,0,0,3.0,1579683600,1,0.0,13.64,0.67,0.0013,23.13,3.48
0,1,2,2,19.0,0,6,8,14,1.0,0,0,0,3.0,1579698000,1,0.49,14.87,0.72,0.0,22.51,3.66
0,1,3,2,19.0,0,6,12,14,1.0,0,0,0,3.0,1579712400,1,0.78,16.09,0.43,0.0,36.31,2.25
0,1,4,2,19.0,0,6,16,14,1.0,0,0,0,3.0,1579726800,1,0.56,16.45,0.33,0.0,43.47,3.16
0,1,1,2,19.0,0,6,20,14,1.0,0,0,0,3.0,1579741200,1,1.0,18.48,0.47,0.0,36.84,3.09
0,1,1,2,19.0,0,6,23,14,1.0,0,0,0,3.0,1579752000,1,0.99,18.73,0.51,0.0,34.87,3.49
1,0,1,2,19.0,0,7,0,0,2.0,0,0,0,2.0,1579669200,1,0.0,14.01,0.61,0.0013,25.73,4.3
1,0,1,2,19.0,0,7,4,0,2.0,0,0,0,2.0,1579683600,1,0.0,14.67,0.67,0.0013,23.98,3.43
0,1,2,2,19.0,0,7,8,0,2.0,0,0,0,2.0,1579698000,1,0.47,15.64,0.73,0.0,23.16,3.58
0,1,3,2,19.0,0,7,12,0,2.0,0,0,0,2.0,1579712400,1,0.78,15.25,0.43,0.0,35.47,2.12
0,1,4,2,19.0,0,7,16,0,2.0,0,0,0,2.0,1579726800,1,0.55,14.08,0.33,0.0,41.06,3.01
