Response Date,Fixed Time CallClosed,Address,City,Latitude,Longitude,Problem
2/11/2020 10:37:59 PM,2/11/2020 11:17:47 PM,18500 Interstate 24 Wb,CHATTANOOGA,35004613,85220466,ACC2-MVC No Injuries
2/11/2020 10:35:27 PM,2/11/2020 10:56:30 PM,8401-8469 E Brainerd Rd,CHATTANOOGA,35002430,85140390,ACC1-MVC Injuries
2/11/2020 10:35:27 PM,2/11/2020 11:47:05 PM,8401-8469 E Brainerd Rd,CHATTANOOGA,35002430,85140390,ACC1-MVC Injuries
2/11/2020 10:27:58 PM,2/12/2020 1:03:52 AM,8212 E BRAINERD RD,CHATTANOOGA,35002824,85145789,ACC1-MVC Injuries
2/11/2020 10:17:20 PM,2/11/2020 10:59:07 PM,720 Mount Vernon Ave,CHATTANOOGA,35075855,85298184,ACC1-MVC Injuries
2/11/2020 10:17:20 PM,2/11/2020 10:49:50 PM,720 Mount Vernon Ave,CHATTANOOGA,35075855,85298184,ACC1-MVC Injuries
2/11/2020 10:13:51 PM,2/12/2020 1:34:34 AM,720 Mount Vernon Ave,CHATTANOOGA,35075855,85298184,ACC1-MVC Injuries
2/11/2020 9:09:42 PM,2/11/2020 9:16:11 PM,700 CENTRAL AVE,CHATTANOOGA,35041926,85290932,ACC2-MVC No Injuries
2/11/2020 8:56:40 PM,2/11/2020 9:12:40 PM,5525 Highway 153,CHATTANOOGA,35145605,85249961,ACCDEL-MVC Delayed
2/11/2020 8:34:07 PM,2/11/2020 8:45:04 PM,E 42ND ST / DODDS AVE,CHATTANOOGA,34994140,85284979,ACC3-MVC Unknown Injuries
2/11/2020 8:10:46 PM,2/11/2020 8:38:32 PM,Greenway View Dr / Brainerd Rd,CHATTANOOGA,35013904,85211097,ACC2-MVC No Injuries
2/11/2020 8:07:24 PM,2/11/2020 8:25:33 PM,2200 - 2289 E Main St,CHATTANOOGA,35024527,85275778,ACC1-MVC Injuries
2/11/2020 8:07:24 PM,2/11/2020 9:08:55 PM,2200 - 2289 E Main St,CHATTANOOGA,35024527,85275778,ACC1-MVC Injuries
2/11/2020 8:06:46 PM,2/11/2020 10:50:46 PM,2200 - 2289 E Main St,CHATTANOOGA,35024527,85275778,ACC1-MVC Injuries
2/11/2020 7:06:20 PM,2/11/2020 8:23:39 PM,5120 Highway 153,CHATTANOOGA,35122929,85238444,ACC2-MVC No Injuries
2/11/2020 6:59:55 PM,2/11/2020 8:26:44 PM,1112 E 10th St,CHATTANOOGA,35038156,85291896,ACC2-MVC No Injuries
2/11/2020 6:58:53 PM,2/11/2020 6:59:38 PM,1620 - 1649 Morris Hill Rd,CHATTANOOGA,35007668,85129112,ACC2-MVC No Injuries
2/11/2020 6:58:47 PM,2/11/2020 8:26:25 PM,George Town Trace Dr / Morris Hill Rd,CHATTANOOGA,35007668,85129112,ACC2-MVC No Injuries
2/11/2020 6:46:27 PM,2/11/2020 8:14:41 PM,8616 - 8699 BLANCHE RD,HAMILTON COUNTY,35118454,85047068,ACC2-MVC No Injuries
2/11/2020 6:02:29 PM,2/11/2020 7:08:04 PM,701 Vine St,CHATTANOOGA,35047034,85296689,ACC2-MVC No Injuries
2/11/2020 5:50:56 PM,2/11/2020 6:36:50 PM,511 E 4TH ST,CHATTANOOGA,35052537,85303659,ACC2-MVC No Injuries
2/11/2020 5:03:56 PM,2/11/2020 5:21:00 PM,9500-9899 Apison Pike,COLLEGEDALE,35057866,85059551,ACC2-MVC No Injuries
2/11/2020 4:25:33 PM,2/11/2020 4:48:10 PM,5061 Colcord Dr,COLLEGEDALE,35051053,85052351,ACC2-MVC No Injuries
2/11/2020 4:25:33 PM,2/11/2020 5:06:43 PM,450 Interstate 75 Nb,CHATTANOOGA,35030273,85169238,ACCDEL-MVC Delayed
2/11/2020 3:56:47 PM,2/11/2020 4:21:38 PM,5805 Ringgold Rd,EAST RIDGE,34990833,85220561,ACC1-MVC Injuries
2/11/2020 3:56:14 PM,2/11/2020 4:03:39 PM,5805 Ringgold Rd,EAST RIDGE,34990833,85220561,ACC3-MVC Unknown Injuries
2/11/2020 3:55:38 PM,2/11/2020 4:57:22 PM,5805 Ringgold Rd,EAST RIDGE,34990833,85220561,ACC1-MVC Injuries
2/11/2020 3:53:05 PM,2/11/2020 4:36:34 PM,500 Canyon Edge Ln,HAMILTON COUNTY,35186025,85265125,ACC2-MVC No Injuries
2/11/2020 3:23:45 PM,2/11/2020 4:13:12 PM,7800 VOLKSWAGEN DR,CHATTANOOGA,35074170,85131166,ACC2-MVC No Injuries
2/11/2020 3:22:12 PM,2/11/2020 3:51:52 PM,17740 INTERSTATE 24 WB,CHATTANOOGA,35019869,85328594,ACC2-MVC No Injuries
2/11/2020 2:12:29 PM,2/11/2020 3:04:30 PM,3117-3199 Hamill Rd,CHATTANOOGA,35130380,85207250,ACC2-MVC No Injuries
2/11/2020 2:12:09 PM,2/11/2020 2:58:24 PM,Ringgold Rd / Mcbrien Rd,EAST RIDGE,34995433,85235377,ACC2-MVC No Injuries
2/11/2020 1:52:38 PM,2/11/2020 2:43:57 PM,100 MARKET ST,CHATTANOOGA,35055677,85309741,ACC2-MVC No Injuries
2/11/2020 1:49:32 PM,2/11/2020 2:48:42 PM,5084 S Terrace,CHATTANOOGA,35003145,85222338,ACC2-MVC No Injuries
2/11/2020 1:38:54 PM,2/11/2020 2:33:00 PM,5756 Highway 153,CHATTANOOGA,35155840,85248678,ACC2-MVC No Injuries
2/11/2020 1:37:52 PM,2/11/2020 1:42:35 PM,5764 HIGHWAY 153,CHATTANOOGA,35152975,85245620,ACC2-MVC No Injuries
2/11/2020 1:33:41 PM,2/11/2020 2:39:24 PM,4700 S Terrace,EAST RIDGE,35006517,85232744,ACC2-MVC No Injuries
2/11/2020 1:12:41 PM,2/11/2020 2:12:20 PM,3116-3199 Hamill Rd,CHATTANOOGA,35130171,85207392,ACC2-MVC No Injuries
2/11/2020 1:05:11 PM,2/11/2020 1:37:08 PM,8981 Dayton Pike,SODDY DAISY,35228463,85212456,ACC2-MVC No Injuries
2/11/2020 12:32:15 PM,2/11/2020 2:03:05 PM,6800 E BRAINERD RD,CHATTANOOGA,35017209,85184253,ACC2-MVC No Injuries
2/11/2020 12:16:22 PM,2/11/2020 1:19:04 PM,HIGHWAY 153 / GRUBB RD,CHATTANOOGA,35158162,85248507,ACC2-MVC No Injuries
2/11/2020 12:08:41 PM,2/11/2020 12:23:34 PM,7734 Lee Hwy,CHATTANOOGA,35062573,85130056,ACC2-MVC No Injuries
2/11/2020 12:09:45 PM,2/11/2020 12:40:18 PM,TACOA AVE / OLD MISSION RD,CHATTANOOGA,35014934,85221554,ACC2-MVC No Injuries
2/11/2020 11:53:07 AM,2/11/2020 12:26:01 PM,7001 Middle Valley Rd,HAMILTON COUNTY,35175185,85204870,ACC2-MVC No Injuries
2/11/2020 11:47:09 AM,2/11/2020 12:22:23 PM,3300 Taft Hwy,WALDEN,35168996,85322409,ACC2-MVC No Injuries
2/11/2020 11:25:05 AM,2/11/2020 12:31:36 PM,2706 BRYANT RD,CHATTANOOGA,35130316,85223870,ACCDEL-MVC Delayed
2/11/2020 11:02:53 AM,2/11/2020 11:03:35 AM,1525 Springvale Rd,EAST RIDGE,34989618,85226006,ACC1-MVC Injuries
2/11/2020 11:02:53 AM,2/11/2020 11:34:48 AM,1525 Springvale Rd,EAST RIDGE,34989618,85226006,ACC1-MVC Injuries
2/11/2020 11:00:44 AM,2/11/2020 11:34:51 AM,1525 Springvale Rd,EAST RIDGE,34989618,85226006,ACC1-MVC Injuries
2/11/2020 10:53:13 AM,2/11/2020 11:55:59 AM,1525 Springvale Rd,EAST RIDGE,34989618,85226006,ACC1-MVC Injuries
2/11/2020 10:44:23 AM,2/11/2020 11:39:20 AM,7439 Shallowford Rd,CHATTANOOGA,35038911,85145985,ACC2-MVC No Injuries
2/11/2020 10:43:20 AM,2/11/2020 11:21:01 AM,1900 MORRIS HILL RD,CHATTANOOGA,35016434,85125262,ACC2-MVC No Injuries
2/11/2020 10:40:32 AM,2/11/2020 11:21:36 AM,150 Interstate 75 Nb,CHATTANOOGA,35005156,85208866,ACC2-MVC No Injuries
2/11/2020 10:34:56 AM,2/11/2020 11:09:35 AM,420 W Bell Ave,CHATTANOOGA,35068331,85314265,ACC2-MVC No Injuries
2/11/2020 10:34:37 AM,2/11/2020 11:35:40 AM,700 VINE ST,CHATTANOOGA,35046913,85297605,ACC2-MVC No Injuries
2/11/2020 9:51:01 AM,2/11/2020 10:58:53 AM,4758 Highway 58,CHATTANOOGA,35086859,85188743,ACC2-MVC No Injuries
2/11/2020 9:48:57 AM,2/11/2020 11:24:37 AM,Airport Rd / Exit Airport Connector On Ramp,CHATTANOOGA,35033117,85194453,ACC2-MVC No Injuries
2/11/2020 9:03:21 AM,2/11/2020 10:45:07 AM,400 INTERSTATE 75 NB,CHATTANOOGA,35024320,85174239,ACC2-MVC No Injuries
2/11/2020 8:30:47 AM,2/11/2020 8:56:42 AM,6800-6898 Northside Dr,CHATTANOOGA,35025983,85176680,ACC2-MVC No Injuries
2/11/2020 8:29:38 AM,2/11/2020 10:13:01 AM,20 Highway 153 Nb,CHATTANOOGA,35029336,85178917,ACC2-MVC No Injuries
2/11/2020 8:16:47 AM,2/11/2020 9:28:44 AM,1315 E 23rd St,CHATTANOOGA,35022380,85291030,ACC2-MVC No Injuries
2/11/2020 8:05:33 AM,2/11/2020 8:45:06 AM,750 Highway 153 Sb,CHATTANOOGA,35115035,85231278,ACC2-MVC No Injuries
2/11/2020 7:51:00 AM,2/11/2020 8:00:49 AM,750 HIGHWAY 153 SB,CHATTANOOGA,35115035,85231278,ACC2-MVC No Injuries
2/11/2020 7:48:18 AM,2/11/2020 8:13:07 AM,711-739 Highway 153 Sb,CHATTANOOGA,35111200,85229470,ACC2-MVC No Injuries
2/11/2020 7:28:48 AM,2/11/2020 8:03:16 AM,ASHLAND TER / TACOMA AVE,RED BANK,35120740,85286421,ACC2-MVC No Injuries
2/11/2020 7:03:42 AM,2/11/2020 8:35:10 AM,7111 IGOU GAP RD,CHATTANOOGA,35029354,85163289,ACC2-MVC No Injuries
2/11/2020 5:58:17 AM,2/11/2020 8:00:01 AM,4000 Hixson Pike,CHATTANOOGA,35113717,85259169,ACC2-MVC No Injuries
2/11/2020 4:05:42 AM,2/11/2020 4:53:25 AM,850 INTERSTATE 75 SB,CHATTANOOGA,35070003,85119477,ACC2-MVC No Injuries
2/11/2020 3:12:18 AM,2/11/2020 5:04:49 AM,3012 3rd Ave,CHATTANOOGA,35008463,85285767,ACC2-MVC No Injuries
2/11/2020 2:50:04 AM,2/11/2020 2:50:58 AM,300 INTERSTATE 75 NB,CHATTANOOGA,35012460,85184679,ACC3-MVC Unknown Injuries
2/11/2020 2:47:02 AM,2/11/2020 2:49:02 AM,160-318 Interstate 75 Nb,CHATTANOOGA,35010220,85191770,ACC3-MVC Unknown Injuries
2/11/2020 2:42:20 AM,2/11/2020 3:30:30 AM,300 INTERSTATE 75 NB,CHATTANOOGA,35012460,85184679,ACC2-MVC No Injuries
