,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP
0,90.22027508411665,0.10199216774258993,90.04276114844228,0.09998231895907103,0.9585137176186568,10277.0,939.0,1506.0,11833.0
1,91.34259577912093,0.07436230877549754,91.18305844023621,0.07148397933558455,0.9642492948877612,10315.0,901.0,1264.0,12075.0
2,91.9028837154974,0.06954583363219526,91.67990226023213,0.0668697086277985,0.9656089914015504,10406.0,810.0,1233.0,12106.0
3,91.98317341379035,0.06804331782721804,91.71655467318264,0.06546166408420538,0.9661054815344704,10393.0,823.0,1211.0,12128.0
4,91.9866656779344,0.06697325539343563,91.81836693137852,0.0645915166181881,0.9666583448200706,10485.0,731.0,1278.0,12061.0
5,92.19786356815969,0.0660278081975086,91.92425167990228,0.06378641806490841,0.9670714282200392,10456.0,760.0,1223.0,12116.0
6,92.24499030535358,0.06526027163610752,92.02199144777029,0.06320558967596956,0.9673485349503922,10376.0,840.0,1119.0,12220.0
7,92.38288091612804,0.06466307038362944,92.15231113826107,0.0627438396213536,0.9675677311999746,10448.0,768.0,1159.0,12180.0
8,92.46142491493313,0.06384560523723225,92.27041335776829,0.0620845584551584,0.968085927737131,10502.0,714.0,1184.0,12155.0
9,92.56440631039754,0.0629427281888274,92.35593565465281,0.06137693698784045,0.9682792768226856,10464.0,752.0,1125.0,12214.0
10,92.60106125682259,0.0623945017373759,92.32742822235798,0.06089824201998105,0.9684106849542584,10517.0,699.0,1185.0,12154.0
11,92.62549814578337,0.061887230698231585,92.34779067399715,0.06046282395073345,0.9685998364657218,10487.0,729.0,1150.0,12189.0
12,92.67437038812477,0.06125751195501512,92.35593565465281,0.0599717710927861,0.9687274413812788,10418.0,798.0,1079.0,12260.0
13,92.82447824196501,0.060394984411484574,92.57177764202812,0.05922536572407774,0.9689508285209172,10396.0,820.0,1004.0,12335.0
14,92.76164171291714,0.05976420791446189,92.49440032579923,0.05866027393943566,0.9690845459866434,10430.0,786.0,1057.0,12282.0
15,92.73371594433077,0.0594808800971055,92.49847281612708,0.05846014435100717,0.9690705997472472,10521.0,695.0,1147.0,12192.0
16,92.81400619734684,0.05920121801586198,92.59621258399513,0.058206179764182575,0.9691032178389092,10443.0,773.0,1045.0,12294.0
17,92.8436781951754,0.05894297179774088,92.62064752596213,0.057998531622562514,0.9692436794961288,10540.0,676.0,1136.0,12203.0
18,92.85240479706802,0.058746786587308725,92.63286499694564,0.057788011119683964,0.9694139853704116,10458.0,758.0,1051.0,12288.0
19,93.01996743063982,0.05846670894586387,92.78761962940338,0.05757861682494984,0.9694623109447386,10490.0,726.0,1045.0,12294.0
20,92.95189628502527,0.0581499099751999,92.73874974546936,0.05733444312470223,0.9696406577133392,10549.0,667.0,1116.0,12223.0
21,92.98855019399744,0.05779058637687048,92.78761962940338,0.05703146262721737,0.9697675474371324,10485.0,731.0,1040.0,12299.0
22,92.99902251743366,0.057575354275199976,92.79169211973122,0.056826240482286176,0.9696619263132712,10496.0,720.0,1050.0,12289.0
23,93.04789526747366,0.05737840890446815,92.82834453268171,0.05664385497834324,0.9695742551658768,10490.0,726.0,1035.0,12304.0
24,93.05662185688186,0.05709921752508008,92.89350437792707,0.05645992378413262,0.9699001954572302,10474.0,742.0,1003.0,12336.0
25,93.13865809777523,0.05695148566715931,92.9505192425168,0.05626855908986207,0.9696902766484728,10463.0,753.0,978.0,12361.0
26,93.18753133054504,0.05672906690729537,92.88535939727144,0.05609099750637464,0.9699567123166664,10552.0,664.0,1083.0,12256.0
27,93.18578534266771,0.0565563190211807,92.98717165546732,0.055959918403851394,0.9699106025000004,10512.0,704.0,1018.0,12321.0
28,93.2241855154222,0.056382499249461634,93.02789655874572,0.05579442413792325,0.9699143154815408,10554.0,662.0,1050.0,12289.0
29,93.3079659173103,0.05618385287016352,93.12156383628587,0.0555757860460524,0.9699801064397846,10539.0,677.0,1012.0,12327.0
30,93.35160352102932,0.05594930597657241,93.15414375890856,0.05535930579807742,0.9702013847663244,10511.0,705.0,976.0,12363.0
31,93.38476675803341,0.055690542545788514,93.22337609448178,0.05511065830219413,0.97026582889148,10529.0,687.0,977.0,12362.0
32,93.43538445558477,0.05548276989151465,93.21930360415394,0.05493928715206649,0.9703539612373016,10569.0,647.0,1018.0,12321.0
33,93.42840204256868,0.05534460754037528,93.23966605579314,0.05483886414899988,0.9703988545595654,10601.0,615.0,1045.0,12294.0
34,93.5104374969454,0.055261278956870837,93.30075341071064,0.05478982703080632,0.9704906932028924,10593.0,623.0,1022.0,12317.0
35,93.38651145460852,0.05512955106013246,93.21115862349826,0.05473371244534242,0.9705149194883901,10604.0,612.0,1055.0,12284.0
36,93.45109294365213,0.05497504908323655,93.2274485848096,0.05462308910448962,0.9705425746839332,10596.0,620.0,1043.0,12296.0
37,93.58374581676216,0.05480125070301646,93.36998574628386,0.054496597671679005,0.9706056318717896,10573.0,643.0,985.0,12354.0
38,93.58898249866327,0.05462635777293643,93.36998574628386,0.05437837556103895,0.9706295473496518,10570.0,646.0,982.0,12357.0
39,93.59421918056437,0.05450685699603605,93.38220321726736,0.0543124708021239,0.9706631580205374,10586.0,630.0,995.0,12344.0
40,93.63785498236956,0.05436692243550228,93.45958053349622,0.05421315924742896,0.9706550068396392,10593.0,623.0,983.0,12356.0
