Unnamed: 0,Clear,Cloudy,DayFrame,DayOfWeek,FUNC_CLASS,Foggy,Grid_Num,Hour,Join_Count,NBR_LANES,Rain,RainBefore,Snow,TY_TERRAIN,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed,visibility,uvIndex
31,1,0,3,1,16.0,0,5,12,11,2.0,0,0,0,2.0,1579626000,1,0.04,15.25,0.5,0.001,31.81,8.21,10.0,3
32,1,0,4,1,16.0,0,5,16,11,2.0,0,0,0,2.0,1579640400,1,0.0,15.31,0.38,0.0,38.81,7.01,10.0,1
33,1,0,1,1,16.0,0,5,20,11,2.0,0,0,0,2.0,1579654800,1,0.0,14.66,0.53,0.0,29.57,3.82,10.0,0
34,1,0,1,1,16.0,0,5,23,11,2.0,0,0,0,2.0,1579665600,1,0.0,14.93,0.63,0.0,25.9,3.99,10.0,0
35,1,0,1,1,19.0,0,6,0,14,1.0,0,0,0,3.0,1579582800,1,0.08,12.57,0.59,0.0,24.97,7.35,10.0,0
36,0,1,1,1,19.0,0,6,4,14,1.0,0,0,0,3.0,1579597200,1,0.54,13.36,0.6,0.0005,25.47,8.58,10.0,0
37,1,0,2,1,19.0,0,6,8,14,1.0,0,0,0,3.0,1579611600,1,0.2,13.81,0.61,0.0,25.23,8.43,10.0,0
38,1,0,3,1,19.0,0,6,12,14,1.0,0,0,0,3.0,1579626000,1,0.04,15.08,0.5,0.001,31.72,8.23,10.0,3
39,1,0,4,1,19.0,0,6,16,14,1.0,0,0,0,3.0,1579640400,1,0.0,15.21,0.38,0.0,38.74,7.04,10.0,1
40,1,0,1,1,19.0,0,6,20,14,1.0,0,0,0,3.0,1579654800,1,0.0,14.5,0.53,0.0,29.42,3.82,10.0,0
41,1,0,1,1,19.0,0,6,23,14,1.0,0,0,0,3.0,1579665600,1,0.0,14.99,0.63,0.0,25.97,3.99,10.0,0
42,1,0,1,1,19.0,0,7,0,0,2.0,0,0,0,2.0,1579582800,1,0.09,10.43,0.6,0.0,22.11,7.43,10.0,0
43,0,1,1,1,19.0,0,7,4,0,2.0,0,0,0,2.0,1579597200,1,0.53,11.31,0.62,0.0005,22.31,8.62,10.0,0
44,1,0,2,1,19.0,0,7,8,0,2.0,0,0,0,2.0,1579611600,1,0.21,12.54,0.65,0.0,22.5,8.53,10.0,0
45,1,0,3,1,19.0,0,7,12,0,2.0,0,0,0,2.0,1579626000,1,0.04,12.17,0.51,0.0009,27.93,8.4,10.0,3
46,1,0,4,1,19.0,0,7,16,0,2.0,0,0,0,2.0,1579640400,1,0.0,11.61,0.38,0.0,34.39,7.22,10.0,1
47,1,0,1,1,19.0,0,7,20,0,2.0,0,0,0,2.0,1579654800,1,0.0,13.86,0.55,0.0,27.85,3.88,10.0,0
48,1,0,1,1,19.0,0,7,23,0,2.0,0,0,0,2.0,1579665600,1,0.0,14.62,0.62,0.0,25.88,4.02,10.0,0
49,1,0,1,1,19.0,0,8,0,3,2.0,0,0,0,2.0,1579582800,1,0.09,10.04,0.6,0.0,21.7,7.45,10.0,0
50,0,1,1,1,19.0,0,8,4,3,2.0,0,0,0,2.0,1579597200,1,0.53,11.08,0.63,0.0005,21.93,8.63,10.0,0
51,1,0,2,1,19.0,0,8,8,3,2.0,0,0,0,2.0,1579611600,1,0.21,12.05,0.65,0.0,21.86,8.54,10.0,0
52,1,0,3,1,19.0,0,8,12,3,2.0,0,0,0,2.0,1579626000,1,0.04,11.65,0.51,0.001,27.35,8.43,10.0,3
53,1,0,4,1,19.0,0,8,16,3,2.0,0,0,0,2.0,1579640400,1,0.0,11.18,0.39,0.0,33.75,7.25,10.0,1
54,1,0,1,1,19.0,0,8,20,3,2.0,0,0,0,2.0,1579654800,1,0.0,13.6,0.55,0.0,27.53,3.88,10.0,0
55,1,0,1,1,19.0,0,8,23,3,2.0,0,0,0,2.0,1579665600,1,0.0,14.4,0.62,0.0,25.67,4.02,10.0,0
56,1,0,1,1,17.0,0,9,0,5,2.0,0,0,0,3.0,1579582800,1,0.09,10.57,0.6,0.0,22.28,7.48,10.0,0
57,0,1,1,1,17.0,0,9,4,5,2.0,0,0,0,3.0,1579597200,1,0.52,11.43,0.62,0.0005,22.5,8.65,10.0,0
58,1,0,2,1,17.0,0,9,8,5,2.0,0,0,0,3.0,1579611600,1,0.21,12.65,0.65,0.0,22.66,8.58,10.0,0
59,1,0,3,1,17.0,0,9,12,5,2.0,0,0,0,3.0,1579626000,1,0.04,12.3,0.51,0.001,28.08,8.5,10.0,3
60,1,0,4,1,17.0,0,9,16,5,2.0,0,0,0,3.0,1579640400,1,0.0,11.66,0.38,0.0,34.5,7.32,10.0,1
61,1,0,1,1,17.0,0,9,20,5,2.0,0,0,0,3.0,1579654800,1,0.0,13.98,0.55,0.0,27.92,3.91,10.0,0
62,1,0,1,1,17.0,0,9,23,5,2.0,0,0,0,3.0,1579665600,1,0.0,14.68,0.62,0.0,25.93,4.04,10.0,0
63,1,0,1,1,16.0,0,10,0,30,2.0,0,0,0,3.0,1579582800,1,0.1,11.87,0.6,0.0,23.78,7.5,10.0,0
64,0,1,1,1,16.0,0,10,4,30,2.0,0,0,0,3.0,1579597200,1,0.52,12.63,0.61,0.0005,24.07,8.65,10.0,0
65,1,0,2,1,16.0,0,10,8,30,2.0,0,0,0,3.0,1579611600,1,0.21,13.44,0.64,0.0,23.82,8.6,10.0,0
66,1,0,3,1,16.0,0,10,12,30,2.0,0,0,0,3.0,1579626000,1,0.04,13.4,0.51,0.0009,29.23,8.53,10.0,3
67,1,0,4,1,16.0,0,10,16,30,2.0,0,0,0,3.0,1579640400,1,0.0,12.64,0.38,0.0,35.83,7.36,10.0,1
68,1,0,1,1,16.0,0,10,20,30,2.0,0,0,0,3.0,1579654800,1,0.0,14.69,0.55,0.0,28.75,3.91,10.0,0
69,1,0,1,1,16.0,0,10,23,30,2.0,0,0,0,3.0,1579665600,1,0.0,15.38,0.63,0.0,26.21,4.03,10.0,0
70,1,0,1,1,19.0,0,11,0,6,2.0,0,0,0,2.0,1579582800,1,0.1,13.07,0.6,0.0,25.18,7.53,10.0,0
71,0,1,1,1,19.0,0,11,4,6,2.0,0,0,0,2.0,1579597200,1,0.52,13.94,0.6,0.0005,25.74,8.68,10.0,0
72,1,0,2,1,19.0,0,11,8,6,2.0,0,0,0,2.0,1579611600,1,0.21,14.23,0.63,0.0,25.2,8.64,10.0,0
73,1,0,3,1,19.0,0,11,12,6,2.0,0,0,0,2.0,1579626000,1,0.04,15.15,0.51,0.001,31.28,8.6,10.0,3
74,1,0,4,1,19.0,0,11,16,6,2.0,0,0,0,2.0,1579640400,1,0.0,14.67,0.38,0.0,38.13,7.43,10.0,1
75,1,0,1,1,19.0,0,11,20,6,2.0,0,0,0,2.0,1579654800,1,0.0,15.19,0.55,0.0,29.47,3.94,10.0,0
76,1,0,1,1,19.0,0,11,23,6,2.0,0,0,0,2.0,1579665600,1,0.0,15.4,0.64,0.0,25.93,4.05,10.0,0
77,1,0,1,1,19.0,0,12,0,37,2.0,0,0,0,2.0,1579582800,1,0.1,13.05,0.59,0.0,25.34,7.55,10.0,0
78,0,1,1,1,19.0,0,12,4,37,2.0,0,0,0,2.0,1579597200,1,0.52,13.88,0.6,0.0005,25.91,8.68,10.0,0
79,1,0,2,1,19.0,0,12,8,37,2.0,0,0,0,2.0,1579611600,1,0.21,14.12,0.62,0.0,25.39,8.66,10.0,0
80,1,0,3,1,19.0,0,12,12,37,2.0,0,0,0,2.0,1579626000,1,0.04,15.29,0.51,0.0009,31.55,8.63,10.0,3
81,1,0,4,1,19.0,0,12,16,37,2.0,0,0,0,2.0,1579640400,1,0.0,14.85,0.38,0.0,38.34,7.47,10.0,1
82,1,0,1,1,19.0,0,12,20,37,2.0,0,0,0,2.0,1579654800,1,0.0,15.07,0.54,0.0,29.56,3.94,10.0,0
83,1,0,1,1,19.0,0,12,23,37,2.0,0,0,0,2.0,1579665600,1,0.0,15.35,0.64,0.0,25.89,4.05,10.0,0
84,1,0,1,1,19.0,0,13,0,5,2.0,0,0,0,2.0,1579582800,1,0.1,12.96,0.59,0.0,25.46,7.58,10.0,0
85,0,1,1,1,19.0,0,13,4,5,2.0,0,0,0,2.0,1579597200,1,0.51,13.77,0.59,0.0005,26.04,8.7,10.0,0
86,1,0,2,1,19.0,0,13,8,5,2.0,0,0,0,2.0,1579611600,1,0.22,13.97,0.61,0.0,25.58,8.71,10.0,0
87,1,0,3,1,19.0,0,13,12,5,2.0,0,0,0,2.0,1579626000,1,0.04,15.24,0.5,0.0009,31.85,8.7,10.0,3
88,1,0,4,1,19.0,0,13,16,5,2.0,0,0,0,2.0,1579640400,1,0.0,14.91,0.38,0.0,38.55,7.55,10.0,1
89,1,0,1,1,19.0,0,13,20,5,2.0,0,0,0,2.0,1579654800,1,0.0,14.82,0.54,0.0,29.6,3.97,10.0,0
90,1,0,1,1,19.0,0,13,23,5,2.0,0,0,0,2.0,1579665600,1,0.0,15.12,0.63,0.0,25.82,4.06,10.0,0
91,1,0,1,1,19.0,0,14,0,17,2.0,0,0,0,2.0,1579582800,1,0.11,12.98,0.58,0.0,25.53,7.59,10.0,0
92,0,1,1,1,19.0,0,14,4,17,2.0,0,0,0,2.0,1579597200,1,0.51,13.8,0.59,0.0005,26.11,8.7,10.0,0
93,1,0,2,1,19.0,0,14,8,17,2.0,0,0,0,2.0,1579611600,1,0.22,13.96,0.61,0.0,25.63,8.72,10.0,0
94,1,0,3,1,19.0,0,14,12,17,2.0,0,0,0,2.0,1579626000,1,0.04,15.26,0.5,0.0009,31.89,8.73,10.0,3
95,1,0,4,1,19.0,0,14,16,17,2.0,0,0,0,2.0,1579640400,1,0.0,14.92,0.38,0.0,38.56,7.59,10.0,1
96,1,0,1,1,19.0,0,14,20,17,2.0,0,0,0,2.0,1579654800,1,0.0,14.85,0.54,0.0,29.64,3.97,10.0,0
97,1,0,1,1,19.0,0,14,23,17,2.0,0,0,0,2.0,1579665600,1,0.0,15.14,0.63,0.0,25.83,4.06,10.0,0
98,1,0,1,1,,0,15,0,1,,0,0,0,,1579582800,1,0.11,12.98,0.58,0.0,25.6,7.63,10.0,0
99,0,1,1,1,,0,15,4,1,,0,0,0,,1579597200,1,0.51,13.78,0.59,0.0005,26.15,8.84,10.0,0
100,1,0,2,1,,0,15,8,1,,0,0,0,,1579611600,1,0.2,13.92,0.61,0.0,25.67,8.78,10.0,0
101,1,0,3,1,,0,15,12,1,,0,0,0,,1579626000,1,0.04,15.19,0.5,0.0009,31.95,8.8,10.0,3
102,1,0,4,1,,0,15,16,1,,0,0,0,,1579640400,1,0.0,14.84,0.38,0.0,38.58,7.67,10.0,1
103,1,0,1,1,,0,15,20,1,,0,0,0,,1579654800,1,0.0,14.78,0.53,0.0,29.64,4.08,10.0,0
104,1,0,1,1,,0,15,23,1,,0,0,0,,1579665600,1,0.0,15.07,0.63,0.0,25.81,4.08,10.0,0
105,1,0,1,1,19.0,0,16,0,9,2.0,0,0,0,2.0,1579582800,1,0.11,13.02,0.58,0.0,25.64,7.64,10.0,0
106,0,1,1,1,19.0,0,16,4,9,2.0,0,0,0,2.0,1579597200,1,0.5,13.83,0.59,0.0005,26.19,8.86,10.0,0
107,1,0,2,1,19.0,0,16,8,9,2.0,0,0,0,2.0,1579611600,1,0.2,13.93,0.61,0.0,25.67,8.8,10.0,0
108,1,0,3,1,19.0,0,16,12,9,2.0,0,0,0,2.0,1579626000,1,0.04,15.24,0.5,0.0009,31.91,8.83,10.0,3
109,1,0,4,1,19.0,0,16,16,9,2.0,0,0,0,2.0,1579640400,1,0.0,14.83,0.38,0.0,38.52,7.72,10.0,1
110,1,0,1,1,19.0,0,16,20,9,2.0,0,0,0,2.0,1579654800,1,0.0,14.86,0.54,0.0,29.66,4.1,10.0,0
111,1,0,1,1,19.0,0,16,23,9,2.0,0,0,0,2.0,1579665600,1,0.0,15.17,0.64,0.0,25.83,4.08,10.0,0
112,1,0,1,1,19.0,0,17,0,18,2.0,0,0,0,2.0,1579582800,1,0.11,13.06,0.58,0.0,25.61,7.68,10.0,0
113,0,1,1,1,19.0,0,17,4,18,2.0,0,0,0,2.0,1579597200,1,0.5,13.87,0.59,0.0005,26.16,8.9,10.0,0
114,1,0,2,1,19.0,0,17,8,18,2.0,0,0,0,2.0,1579611600,1,0.2,13.95,0.61,0.0,25.61,8.85,10.0,0
115,1,0,3,1,19.0,0,17,12,18,2.0,0,0,0,2.0,1579626000,1,0.04,15.22,0.5,0.0009,31.8,8.91,10.0,3
116,1,0,4,1,19.0,0,17,16,18,2.0,0,0,0,2.0,1579640400,1,0.0,14.69,0.38,0.0,38.39,7.8,10.0,1
117,1,0,1,1,19.0,0,17,20,18,2.0,0,0,0,2.0,1579654800,1,0.0,14.93,0.54,0.0,29.62,4.13,10.0,0
118,1,0,1,1,19.0,0,17,23,18,2.0,0,0,0,2.0,1579665600,1,0.0,15.25,0.64,0.0,25.84,4.1,10.0,0
119,1,0,1,1,19.0,0,18,0,188,2.0,0,0,0,2.0,1579582800,1,0.12,13.16,0.59,0.0,25.45,7.69,10.0,0
120,0,1,1,1,19.0,0,18,4,188,2.0,0,0,0,2.0,1579597200,1,0.5,14.1,0.6,0.0005,26.0,8.92,10.0,0
121,1,0,2,1,19.0,0,18,8,188,2.0,0,0,0,2.0,1579611600,1,0.2,14.17,0.62,0.0,25.34,8.88,10.0,0
122,1,0,3,1,19.0,0,18,12,188,2.0,0,0,0,2.0,1579626000,1,0.04,15.07,0.51,0.0009,31.28,8.94,10.0,3
123,1,0,4,1,19.0,0,18,16,188,2.0,0,0,0,2.0,1579640400,1,0.0,14.37,0.38,0.0,37.92,7.86,10.0,1
124,1,0,1,1,19.0,0,18,20,188,2.0,0,0,0,2.0,1579654800,1,0.0,15.35,0.55,0.0,29.53,4.15,10.0,0
125,1,0,1,1,19.0,0,18,23,188,2.0,0,0,0,2.0,1579665600,1,0.0,15.52,0.64,0.0,25.94,4.09,10.0,0
126,1,0,1,1,19.0,0,20,0,45,2.0,0,0,0,2.0,1579582800,1,0.12,13.01,0.59,0.0,25.22,7.74,10.0,0
127,0,1,1,1,19.0,0,20,4,45,2.0,0,0,0,2.0,1579597200,1,0.5,13.95,0.61,0.0004,25.74,8.99,10.0,0
128,1,0,2,1,19.0,0,20,8,45,2.0,0,0,0,2.0,1579611600,1,0.2,14.08,0.63,0.0,25.04,8.97,10.0,0
129,1,0,3,1,19.0,0,20,12,45,2.0,0,0,0,2.0,1579626000,1,0.03,14.67,0.51,0.0008,30.74,9.05,10.0,3
130,1,0,4,1,19.0,0,20,16,45,2.0,0,0,0,2.0,1579640400,1,0.0,13.76,0.38,0.0,37.26,8.01,10.0,1
131,1,0,1,1,19.0,0,20,20,45,2.0,0,0,0,2.0,1579654800,1,0.0,15.38,0.55,0.0,29.4,4.2,10.0,0
132,1,0,1,1,19.0,0,20,23,45,2.0,0,0,0,2.0,1579665600,1,0.0,15.64,0.64,0.0,26.06,4.11,10.0,0
133,1,0,1,1,19.0,0,21,0,1,2.0,0,0,0,2.0,1579582800,1,0.16,12.81,0.58,0.0,25.38,8.31,10.0,0
134,0,1,1,1,19.0,0,21,4,1,2.0,0,0,0,2.0,1579597200,1,0.47,13.28,0.58,0.0004,25.93,9.39,10.0,0
135,1,0,2,1,19.0,0,21,8,1,2.0,0,0,0,2.0,1579611600,1,0.21,13.31,0.6,0.0,25.41,9.38,10.0,0
136,1,0,3,1,19.0,0,21,12,1,2.0,0,0,0,2.0,1579626000,1,0.03,14.62,0.48,0.0007,31.89,9.74,10.0,3
137,1,0,4,1,19.0,0,21,16,1,2.0,0,0,0,2.0,1579640400,1,0.0,13.43,0.37,0.0,37.61,8.86,10.0,1
138,1,0,1,1,19.0,0,21,20,1,2.0,0,0,0,2.0,1579654800,1,0.0,13.9,0.52,0.0,29.38,4.68,10.0,0
139,1,0,1,1,19.0,0,21,23,1,2.0,0,0,0,2.0,1579665600,1,0.0,14.62,0.62,0.0,25.82,4.47,10.0,0
140,1,0,1,1,19.0,0,22,0,3,2.0,0,0,0,2.0,1579582800,1,0.17,12.79,0.58,0.0,25.36,8.33,10.0,0
141,0,1,1,1,19.0,0,22,4,3,2.0,0,0,0,2.0,1579597200,1,0.47,13.23,0.58,0.0004,25.91,9.44,10.0,0
142,1,0,2,1,19.0,0,22,8,3,2.0,0,0,0,2.0,1579611600,1,0.2,13.29,0.6,0.0,25.38,9.42,10.0,0
143,1,0,3,1,19.0,0,22,12,3,2.0,0,0,0,2.0,1579626000,1,0.03,14.58,0.48,0.0007,31.87,9.75,10.0,3
144,1,0,4,1,19.0,0,22,16,3,2.0,0,0,0,2.0,1579640400,1,0.0,13.4,0.37,0.0,37.58,8.88,10.0,1
145,1,0,1,1,19.0,0,22,20,3,2.0,0,0,0,2.0,1579654800,1,0.0,13.85,0.52,0.0,29.34,4.71,10.0,0
146,1,0,1,1,19.0,0,22,23,3,2.0,0,0,0,2.0,1579665600,1,0.0,14.58,0.62,0.0,25.78,4.49,10.0,0
147,1,0,1,1,19.0,0,23,0,0,2.0,0,0,0,2.0,1579582800,1,0.17,12.73,0.58,0.0,25.31,8.39,10.0,0
148,0,1,1,1,19.0,0,23,4,0,2.0,0,0,0,2.0,1579597200,1,0.46,13.13,0.58,0.0004,25.83,9.5,10.0,0
149,1,0,2,1,19.0,0,23,8,0,2.0,0,0,0,2.0,1579611600,1,0.21,13.25,0.6,0.0,25.36,9.37,10.0,0
150,1,0,3,1,19.0,0,23,12,0,2.0,0,0,0,2.0,1579626000,1,0.03,14.51,0.48,0.0008,31.9,9.84,10.0,3
151,1,0,4,1,19.0,0,23,16,0,2.0,0,0,0,2.0,1579640400,1,0.0,13.26,0.36,0.0,37.53,8.92,10.0,1
152,1,0,1,1,19.0,0,23,20,0,2.0,0,0,0,2.0,1579654800,1,0.0,13.7,0.52,0.0,29.3,4.71,10.0,0
153,1,0,1,1,19.0,0,23,23,0,2.0,0,0,0,2.0,1579665600,1,0.0,14.45,0.62,0.0,25.74,4.54,10.0,0
154,1,0,1,1,19.0,0,24,0,10,2.0,0,0,0,2.0,1579582800,1,0.17,12.75,0.59,0.0,25.26,8.42,10.0,0
155,0,1,1,1,19.0,0,24,4,10,2.0,0,0,0,2.0,1579597200,1,0.47,13.13,0.58,0.0004,25.79,9.54,10.0,0
156,1,0,2,1,19.0,0,24,8,10,2.0,0,0,0,2.0,1579611600,1,0.2,13.26,0.6,0.0,25.29,9.42,10.0,0
157,1,0,3,1,19.0,0,24,12,10,2.0,0,0,0,2.0,1579626000,1,0.03,14.44,0.48,0.0008,31.8,9.84,10.0,3
158,1,0,4,1,19.0,0,24,16,10,2.0,0,0,0,2.0,1579640400,1,0.0,13.21,0.37,0.0,37.45,8.92,10.0,1
159,1,0,1,1,19.0,0,24,20,10,2.0,0,0,0,2.0,1579654800,1,0.0,13.72,0.52,0.0,29.24,4.75,10.0,0
160,1,0,1,1,19.0,0,24,23,10,2.0,0,0,0,2.0,1579665600,1,0.0,14.45,0.62,0.0,25.69,4.55,10.0,0
161,1,0,1,1,19.0,0,25,0,6,2.0,0,0,0,2.0,1579582800,1,0.18,12.73,0.59,0.0,25.03,8.48,10.0,0
162,0,1,1,1,19.0,0,25,4,6,2.0,0,0,0,2.0,1579597200,1,0.46,13.24,0.59,0.0004,25.52,9.61,10.0,0
163,1,0,2,1,19.0,0,25,8,6,2.0,0,0,0,2.0,1579611600,1,0.21,13.28,0.61,0.0,25.02,9.39,10.0,0
164,1,0,3,1,19.0,0,25,12,6,2.0,0,0,0,2.0,1579626000,1,0.03,14.09,0.48,0.0008,31.36,9.91,10.0,3
165,1,0,4,1,19.0,0,25,16,6,2.0,0,0,0,2.0,1579640400,1,0.0,12.9,0.37,0.0,37.0,8.95,10.0,1
166,1,0,1,1,19.0,0,25,20,6,2.0,0,0,0,2.0,1579654800,1,0.0,13.88,0.52,0.0,29.13,4.76,10.0,0
167,1,0,1,1,19.0,0,25,23,6,2.0,0,0,0,2.0,1579665600,1,0.0,14.47,0.62,0.0,25.72,4.6,10.0,0
168,1,0,1,1,19.0,0,26,0,2,2.0,0,0,0,2.0,1579582800,1,0.18,12.67,0.59,0.0,24.93,8.5,10.0,0
169,0,1,1,1,19.0,0,26,4,2,2.0,0,0,0,2.0,1579597200,1,0.46,13.21,0.59,0.0005,25.43,9.65,10.0,0
170,1,0,2,1,19.0,0,26,8,2,2.0,0,0,0,2.0,1579611600,1,0.2,13.25,0.61,0.0,24.89,9.44,10.0,0
171,1,0,3,1,19.0,0,26,12,2,2.0,0,0,0,2.0,1579626000,1,0.03,13.93,0.48,0.0008,31.17,9.91,10.0,3
172,1,0,4,1,19.0,0,26,16,2,2.0,0,0,0,2.0,1579640400,1,0.0,12.78,0.37,0.0,36.82,8.94,10.0,1
173,1,0,1,1,19.0,0,26,20,2,2.0,0,0,0,2.0,1579654800,1,0.0,13.89,0.53,0.0,29.05,4.79,10.0,0
174,1,0,1,1,19.0,0,26,23,2,2.0,0,0,0,2.0,1579665600,1,0.0,14.45,0.62,0.0,25.66,4.61,10.0,0
175,1,0,1,1,,0,27,0,1,,0,0,0,,1579582800,1,0.05,12.09,0.61,0.0,23.74,7.08,10.0,0
176,0,1,1,1,,0,27,4,1,,0,0,0,,1579597200,1,0.57,12.84,0.62,0.0005,24.07,8.44,10.0,0
177,1,0,2,1,,0,27,8,1,,0,0,0,,1579611600,1,0.2,13.49,0.64,0.0,23.78,8.11,10.0,0
178,1,0,3,1,,0,27,12,1,,0,0,0,,1579626000,1,0.05,13.67,0.51,0.0009,29.42,7.7,10.0,3
179,1,0,4,1,,0,27,16,1,,0,0,0,,1579640400,1,0.0,13.61,0.38,0.0,36.63,6.48,10.0,1
180,1,0,1,1,,0,27,20,1,,0,0,0,,1579654800,1,0.0,14.39,0.54,0.0,28.93,3.64,10.0,0
181,1,0,1,1,,0,27,23,1,,0,0,0,,1579665600,1,0.0,15.37,0.63,0.0,26.4,3.9,10.0,0
182,1,0,1,1,11.0,0,28,0,125,4.0,0,0,0,2.0,1579582800,1,0.08,12.85,0.6,0.0,24.74,7.29,10.0,0
183,0,1,1,1,11.0,0,28,4,125,4.0,0,0,0,2.0,1579597200,1,0.55,13.73,0.61,0.0005,25.27,8.55,10.0,0
184,1,0,2,1,11.0,0,28,8,125,4.0,0,0,0,2.0,1579611600,1,0.2,14.2,0.64,0.0,24.78,8.35,10.0,0
185,1,0,3,1,11.0,0,28,12,125,4.0,0,0,0,2.0,1579626000,1,0.04,14.91,0.51,0.001,30.75,8.09,10.0,3
186,1,0,4,1,11.0,0,28,16,125,4.0,0,0,0,2.0,1579640400,1,0.0,14.75,0.38,0.0,37.94,6.9,10.0,1
187,1,0,1,1,11.0,0,28,20,125,4.0,0,0,0,2.0,1579654800,1,0.0,15.09,0.55,0.0,29.38,3.76,10.0,0
