,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP,Y_test,Y_pred
0,77.13624000182477,0.1827732801584858,76.95325511676968,0.17915768896554646,0.8487891203443556,10796.0,3076.0,3151.0,9996.0,,
1,77.62796823751098,0.16100257453480782,77.46400681002257,0.1568574319453249,0.8547300958446189,10750.0,3122.0,2967.0,10180.0,,
2,78.87473619060049,0.15525479509764073,78.70017395166364,0.15090214982070305,0.8690869422234552,11068.0,2804.0,2951.0,10196.0,,
3,79.03018556745019,0.15076300267860168,78.90743550834598,0.14620100144579945,0.8722100919168916,10888.0,2984.0,2715.0,10432.0,,
4,79.24432450674071,0.14940614753093556,79.17391465265183,0.14480122454070662,0.8737191568782735,11206.0,2666.0,2961.0,10186.0,,
5,79.43625788826469,0.1484178782436049,79.41078500314593,0.14387834197947105,0.8754896526930989,11213.0,2659.0,2904.0,10243.0,,
6,79.49177457878487,0.14759873161484172,79.51071468226063,0.1430534767438746,0.8762418849704903,11401.0,2471.0,3065.0,10082.0,,
7,79.51715544151922,0.1472408138423647,79.53292127761945,0.1426506088803144,0.8767557213266473,11160.0,2712.0,2818.0,10329.0,,
8,79.59488023328286,0.14679056312379196,79.65875865131946,0.14240591606860326,0.8774113861894719,11378.0,2494.0,3002.0,10145.0,,
9,79.66784529090485,0.14655253591567755,79.6920685443577,0.1420062524171923,0.8777151692962788,11250.0,2622.0,2865.0,10282.0,,
10,79.75191559298109,0.14589295390216453,79.7512861319812,0.14143146647919744,0.8793680997739255,11132.0,2740.0,2731.0,10416.0,,
11,79.97081479360187,0.14492638108302985,80.0362707724194,0.14052202099103686,0.8806536091006767,11344.0,2528.0,2866.0,10281.0,,
12,79.98508912038336,0.14430706773412366,79.92153669639883,0.13995104640140904,0.8811692137895253,11168.0,2704.0,2721.0,10426.0,,
13,79.95495150180142,0.1438397561320813,79.87342240645472,0.13957672974226126,0.8819868880845104,11043.0,2829.0,2609.0,10538.0,,
14,80.1944710883559,0.1433627154863239,80.15100484844,0.13912931179806393,0.8823068959864627,11369.0,2503.0,2860.0,10287.0,,
15,80.22936671996379,0.14312633092596866,80.18061364225177,0.13889061564467164,0.882609478272,11373.0,2499.0,2856.0,10291.0,,
16,80.18495279877776,0.1429211173806206,80.16210814611941,0.13873572940317475,0.8829310050209462,11396.0,2476.0,2884.0,10263.0,,
17,80.27219594979995,0.14253979181797574,80.19911913838409,0.13840528356293014,0.8835675252834838,11233.0,2639.0,2711.0,10436.0,,
18,80.34516141047159,0.1421399084850567,80.33976090898996,0.1380196125753656,0.8841406816620402,11452.0,2420.0,2892.0,10255.0,,
19,80.4657132077818,0.1416599252201416,80.3249565120841,0.13760841726678455,0.8848038859278136,11262.0,2610.0,2706.0,10441.0,,
20,80.55771443271763,0.14110610392660575,80.38047300048116,0.1371989690416112,0.8855852394917941,11296.0,2576.0,2725.0,10422.0,,
21,80.5053691311638,0.14064419721009086,80.25463562678115,0.13679764902205052,0.8859446771003671,11114.0,2758.0,2577.0,10570.0,,
22,80.5910246582077,0.1402470533979127,80.58033235871055,0.1364904651428018,0.8864799418105043,11445.0,2427.0,2820.0,10327.0,,
23,80.72426738244802,0.1398025203094643,80.69876753395758,0.13611110991598746,0.8871740823027764,11509.0,2363.0,2852.0,10295.0,,
24,80.72268196110828,0.1393796509780345,80.6876642362782,0.13580250085340356,0.8873025153466054,11488.0,2384.0,2834.0,10313.0,,
25,80.76233752710634,0.1392500557269871,80.76168622080758,0.13566534233973654,0.8875531305838189,11476.0,2396.0,2802.0,10345.0,,
26,80.69095716083432,0.13906959127745,80.62844664865464,0.13561737590746664,0.8876472086246121,11649.0,2223.0,3011.0,10136.0,,
27,80.87019928848808,0.13894481854878618,80.6358488471076,0.13543706905019878,0.8879051110374754,11313.0,2559.0,2673.0,10474.0,,
28,80.93047638612849,0.13872225734137406,80.78389281616641,0.13525593080205087,0.8882387721127674,11410.0,2462.0,2730.0,10417.0,,
29,80.89875185833613,0.1384654958134137,80.82460490765757,0.13507235640496648,0.8884327732878394,11396.0,2476.0,2705.0,10442.0,,
30,80.99868380333032,0.13820326803089494,80.89122469373405,0.13497256817696776,0.8887666811072279,11397.0,2475.0,2688.0,10459.0,,
31,81.03040751623054,0.13808519980549125,80.92083348754579,0.13475463906833032,0.8888643232294148,11446.0,2426.0,2729.0,10418.0,,
32,80.98282119973031,0.1378164939903794,80.6839631370517,0.13456918266119025,0.8891549466510749,11133.0,2739.0,2480.0,10667.0,,
33,81.03992479066812,0.13748160312398822,80.99485547207522,0.13435853042745524,0.8893985406479425,11562.0,2310.0,2825.0,10322.0,,
34,81.09702912038851,0.13731462526971036,80.90973018986641,0.13428673310866254,0.8897265211258127,11273.0,2599.0,2559.0,10588.0,,
35,81.13351305538241,0.1371368301263338,81.00225767052814,0.13408814402905658,0.8899646154709293,11441.0,2431.0,2702.0,10445.0,,
36,81.16999574199069,0.13700301894556474,80.9837521743958,0.1340043486706655,0.8900538655522344,11489.0,2383.0,2755.0,10392.0,,
37,81.15889212732064,0.13684715628269414,81.01706206743404,0.1338702273334348,0.8901869236770722,11321.0,2551.0,2578.0,10569.0,,
38,81.20806436445814,0.1367115633470237,81.06517635737816,0.13376338446094246,0.8904165135756628,11363.0,2509.0,2607.0,10540.0,,
39,81.2826160195723,0.13648177324175892,81.12439394500166,0.13359294950227782,0.8905152989454971,11441.0,2431.0,2669.0,10478.0,,
40,81.2588233993363,0.13623854314745826,81.04296976201933,0.1334241733427173,0.8908412725713822,11351.0,2521.0,2601.0,10546.0,,
