BLM,ELM,Sp. Case,Co. Seq.,ID_NUMBER,Sub Route,Ad_Sys,Gov_Cont,Func_Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,State Aid Code
3.18,4.26,0,1,3302158001,0,18,2,18,,52,22,33049
0,5.27,0,1,3302160001,0,11,2,8,,,22,33034
5.27,6.04,0,1,3302160001,0,11,2,8,,,22,33034
0,0.128,0,1,3302162001,0,18,4,16,52,52,22,33008
0.128,4.96,0,1,3302162001,0,18,4,16,272,52,22,33008
0,0.55,0,1,3302199001,0,18,4,16,52,52,,
0.55,2.81,0,1,3302199001,0,18,4,16,52,52,,
0,1.94,0,1,3302201001,0,18,4,16,60,52,22,33027
1.94,2.1,0,1,3302201001,0,18,4,16,60,52,22,33027
0,5.43,0,1,3302205001,0,18,2,16,,52,22,33053
5.43,5.999,0,1,3302205001,0,18,4,16,52,52,22,33053
5.999,6.11,0,1,3302205001,0,18,2,16,,52,22,33053
6.11,6.12,0,1,3302205001,0,18,2,16,,52,22,33053
6.12,6.28,0,1,3302205001,0,18,4,16,52,52,22,33053
0,0.311,0,1,3302207001,0,18,2,16,,52,22,33029
0.311,0.35,0,1,3302207001,0,18,4,16,52,52,22,33029
0.35,0.371,0,1,3302207001,0,18,4,17,52,52,22,33030
0.371,6.13,0,1,3302207001,0,18,2,17,,52,22,33030
6.13,7.11,0,1,3302207001,0,18,2,17,,52,22,33030
0,0.4,0,1,3302209001,0,18,4,17,266,52,,
0.4,0.43,0,1,3302209001,0,18,4,17,266,52,,
0.43,0.89,0,1,3302209001,0,18,4,17,266,52,,
0.89,1.533,0,1,3302209001,0,18,4,17,266,52,,
1.533,2.99,0,1,3302209001,0,18,4,17,266,52,,
0,0.049,0,1,3302211001,0,18,2,16,,52,22,33029
0.049,0.064,0,1,3302211001,0,18,2,18,,52,22,33029
0.064,9.37,0,1,3302211001,0,11,2,8,,,22,33029
0,0.63,0,1,3302213001,0,18,2,18,,52,22,33009
0,1.19,0,1,3302215001,0,18,2,18,,52,22,33011
0,3.737,0,1,3302217001,0,11,2,8,,,22,33014
3.737,3.8,0,1,3302217001,0,18,4,18,272,52,22,33014
3.8,4.07,0,1,3302217001,0,18,4,18,272,52,22,33014
0,0.24,0,1,3302219001,0,18,4,16,272,52,22,33015
0.24,0.91,0,1,3302219001,0,18,4,16,272,52,22,33015
0.91,1.512,0,1,3302219001,0,18,4,16,272,52,22,33015
1.512,4.271,0,1,3302219001,0,18,4,16,272,52,22,33015
4.271,4.294,0,1,3302219001,0,18,2,16,,52,22,33015
4.294,5.908,0,1,3302219001,0,11,2,8,,,22,33015
5.908,6.18,0,1,3302219001,0,11,2,8,,,22,33015
0,5.45,0,1,3302221001,0,11,2,8,,,22,33033
0,2.52,0,1,3302223001,0,11,2,8,,,22,33019
0,1.99,0,1,3302227001,0,11,2,8,,,22,33022
0,2.05,0,1,3303542001,0,18,4,16,52,52,,
0,0.41,0,1,3303546001,0,18,4,16,52,52,,
0.41,0.42,0,1,3303546001,0,18,4,16,52,52,,
