BLM,ELM,Co. Seq.,ID NUMBER,Adm. Sys.,Gov. Cont.,Func. Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,State Aid Code
3.99,5.2,1,3301122001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MAJ COL,--,52 - CHATTANOOGA,STATE AID SYSTEM
5.2,5.685,1,3301122001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,60 - COLLEGEDALE,52 - CHATTANOOGA,STATE AID SYSTEM
0,0.05,1,3301126001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,161 - LAKESITE,52 - CHATTANOOGA,STATE AID SYSTEM
0.05,2.11,1,3301126001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
2.11,3.081,1,3301126001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
3.081,3.282,1,3301126001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
3.282,3.394,1,3301126001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
3.394,5.15,1,3301126001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
5.15,5.8,1,3301126001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
5.8,6.17,1,3301126001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
6.17,6.18,1,3301126001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
6.18,6.803,1,3301126001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN COL,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
6.803,9.37,1,3301126001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,--,STATE AID SYSTEM
9.37,9.386,1,3301126001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,--,STATE AID SYSTEM
9.386,9.61,1,3301126001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,--,STATE AID SYSTEM
9.61,13.76,1,3301126001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,--,STATE AID SYSTEM
0,0.45,1,3301128001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,--,--
0,0.8,1,3301143001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
0.8,1.87,1,3301143001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
1.87,3.55,1,3301143001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
3.55,5.57,1,3301143001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
0,4.17,1,3301145001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
4.17,6.657,1,3301145001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,--
6.657,6.88,1,3301145001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0,0.14,1,3301147001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,STATE AID SYSTEM
0.14,0.64,1,3301147001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,STATE AID SYSTEM
0.64,0.769,1,3301147001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,STATE AID SYSTEM
0.769,3.726,1,3301147001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
3.726,3.88,1,3301147001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,327 - WALDEN,52 - CHATTANOOGA,STATE AID SYSTEM
3.88,4.15,1,3301147001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,327 - WALDEN,52 - CHATTANOOGA,STATE AID SYSTEM
4.15,5.19,1,3301147001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,327 - WALDEN,52 - CHATTANOOGA,STATE AID SYSTEM
5.19,5.72,1,3301147001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,327 - WALDEN,52 - CHATTANOOGA,STATE AID SYSTEM
5.72,6.069,1,3301147001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,327 - WALDEN,52 - CHATTANOOGA,STATE AID SYSTEM
6.069,6.74,1,3301147001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,327 - WALDEN,52 - CHATTANOOGA,STATE AID SYSTEM
6.74,6.741,1,3301147001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,327 - WALDEN,52 - CHATTANOOGA,STATE AID SYSTEM
6.741,8.95,1,3301147001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
8.95,11.87,1,3301147001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MAJ COL,--,52 - CHATTANOOGA,STATE AID SYSTEM
0,0.019,1,3301149001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN COL,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
0.019,2.967,1,3301149001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33040
2.967,5.648,1,3301149001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33040
5.648,5.65,1,3301149001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33040
5.65,6.59,1,3301149001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33046
6.59,9.83,1,3301149001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33017
0,2.97,1,3301151001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33021
2.97,4.45,1,3301151001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33021
4.45,4.836,1,3301151001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33021
4.836,6,1,3301151001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33021
0,0.12,2,3301151002,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33021
0,3.12,1,3301406001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,241 - RED BANK,52 - CHATTANOOGA,--
3.12,3.52,1,3301406001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,241 - RED BANK,52 - CHATTANOOGA,--
3.52,5,1,3301406001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,241 - RED BANK,52 - CHATTANOOGA,--
5,7.86,1,3301406001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0,0.61,1,3301431001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN COL,60 - COLLEGEDALE,52 - CHATTANOOGA,--
0.61,1.55,1,3301431001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN COL,60 - COLLEGEDALE,52 - CHATTANOOGA,STATE AID SYSTEM
0,2.58,1,3302154001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
2.58,4.373,1,3302154001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
4.373,5.39,1,3302154001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,60 - COLLEGEDALE,52 - CHATTANOOGA,STATE AID SYSTEM
0,3.32,1,3302156001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN COL,--,52 - CHATTANOOGA,STATE AID SYSTEM
0,0.25,1,3302158001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
0.25,2.26,1,3302158001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
