BLM,ELM,Co. Seq.,ID NUMBER,Adm. Sys.,Gov. Cont.,Func. Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,State Aid Code
0.3,0.523,1,330B353001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.043,1,330B354001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.043,0.28,1,330B354001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.155,1,330B355001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.303,1,330B356001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.503,1,330B357001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.111,1,330B358001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.023,1,330B359001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.182,1,330B360001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.652,1,330B361001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.389,1,330B362001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.224,1,330B363001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.149,1,330B364001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.103,1,330B365001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.197,1,330B366001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.319,1,330B367001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.22,1,330B368001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.203,1,330B369001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.175,1,330B370001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.5,1,330B371001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.039,1,330B372001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.051,1,330B373001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.136,1,330B374001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.336,1,330B375001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.361,1,330B376001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.094,1,330B377001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.353,1,330B378001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.256,1,330B379001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.165,1,330B380001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.165,0.302,1,330B380001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.174,1,330B381001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.06,1,330B382001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.074,1,330B383001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.265,1,330B384001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.18,1,330B385001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.18,0.289,1,330B385001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.259,1,330B386001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.259,0.337,1,330B386001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.185,1,330B387001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.153,1,330B388001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.153,0.201,1,330B388001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.062,1,330B389001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.056,1,330B390001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.169,1,330B391001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.131,1,330B392001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.131,0.346,1,330B392001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.072,1,330B393001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.074,1,330B394001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.22,1,330B395001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.223,1,330B396001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.223,0.49,1,330B396001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.122,1,330B397001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.282,1,330B398001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.049,1,330B399001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.159,1,330B400001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.375,1,330B401001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.375,0.47,1,330B401001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.05,1,330B402001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.054,1,330B403001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.066,1,330B404001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.659,1,330B405001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.115,1,330B406001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.116,1,330B407001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.237,1,330B408001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.074,1,330B409001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.494,1,330B410001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.477,1,330B411001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.477,0.654,1,330B411001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.172,1,330B412001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.279,1,330B413001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.138,1,330B414001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.249,1,330B415001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.097,1,330B416001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.24,1,330B417001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.062,1,330B418001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.481,1,330B419001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.239,1,330B420001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.124,1,330B421001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.115,1,330B422001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.29,1,330B423001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,U / LOCAL,--,52 - CHATTANOOGA,--,--
0,0.38,1,330B424001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.058,1,330B425001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.068,1,330B426001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.157,1,330B427001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.376,1,330B428001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.452,1,330B429001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.644,1,330B430001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.357,1,330B431001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.357,0.358,1,330B431001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.358,0.499,1,330B431001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.131,1,330B432001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.131,0.36,1,330B432001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.083,1,330B433001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.238,1,330B434001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.238,0.819,1,330B434001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.108,1,330B435001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.205,1,330B436001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.036,1,330B437001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.613,1,330B438001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.437,1,330B439001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.339,1,330B440001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.352,1,330B441001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.172,1,330B442001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.378,1,330B443001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.235,1,330B444001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.278,1,330B445001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.32,1,330B446001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.292,1,330B447001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.596,1,330B448001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.022,1,330B449001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.154,1,330B450001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.067,1,330B451001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.128,1,330B452001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.58,1,330B453001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.58,0.94,1,330B453001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.116,1,330B454001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.164,1,330B455001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.164,0.825,1,330B455001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.096,1,330B456001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.042,1,330B457001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.067,1,330B458001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.166,1,330B459001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.204,1,330B460001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.204,0.284,1,330B460001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.308,1,330B461001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.157,1,330B462001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.07,1,330B463001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.121,1,330B464001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.066,1,330B465001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.365,1,330B466001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.365,0.559,1,330B466001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.07,1,330B467001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.07,0.163,1,330B467001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.163,0.237,1,330B467001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.034,1,330B468001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.072,1,330B469001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.224,1,330B470001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.198,1,330B471001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.084,1,330B472001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.342,1,330B473001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.731,1,330B474001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.731,1.267,1,330B474001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.077,1,330B475001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.625,1,330B476001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.625,0.63,1,330B476001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.63,0.778,1,330B476001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.778,0.78,1,330B476001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.78,0.89,1,330B476001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.89,1.03,1,330B476001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.315,1,330B477001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.097,1,330B478001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.251,1,330B479001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.251,1,330B480001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.251,1,330B481001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.249,1,330B482001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.373,1,330B483001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,1.248,1,330B484001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.689,1,330B485001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.625,1,330B486001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.082,1,330B487001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.306,1,330B488001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.295,1,330B489001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.256,1,330B490001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.251,1,330B491001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.251,0.506,1,330B491001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0,0.829,1,330B492001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
0.829,0.996,1,330B492001,12-OTHER CITY STREETS,MUNICIPAL HWAY AGENCY,U / LOCAL,52 - CHATTANOOGA,52 - CHATTANOOGA,--,--
