BLM,ELM,Special Case,Co. Seq.,Feat Seq Nbr,ID_NUMBER,Feature_Type,Feat_Width,Feature_Composition,
2.71,2.88,0-NONE ,1,13,3304988001,PAVEMENT,26,ASPHALT CONCRETE,
2.71,2.88,0-NONE ,1,15,3304988001,SHOULDER (OUTSIDE),2,PORTLAND CEMENT CONCRETE,
2.71,2.88,0-NONE ,1,17,3304988001,DRAINAGE,,CURB, GUTTER & SIDEWALK
2.88,2.97,0-NONE ,1,1,3304988001,DRAINAGE,,CURB AND GUTTER,
2.88,2.97,0-NONE ,1,3,3304988001,SHOULDER (OUTSIDE),2,PORTLAND CEMENT CONCRETE,
2.88,2.97,0-NONE ,1,5,3304988001,PAVEMENT,12,ASPHALT CONCRETE,
2.88,2.97,0-NONE ,1,9,3304988001,MEDIAN,12,PAINTED,
2.88,2.97,0-NONE ,1,13,3304988001,PAVEMENT,12,ASPHALT CONCRETE,
2.88,2.97,0-NONE ,1,15,3304988001,SHOULDER (OUTSIDE),4,ASPHALT CONCRETE,
2.88,2.97,0-NONE ,1,17,3304988001,DRAINAGE,,CURB, GUTTER & SIDEWALK
2.97,3.01,0-NONE ,1,1,3304988001,DRAINAGE,,CURB AND GUTTER,
2.97,3.01,0-NONE ,1,3,3304988001,SHOULDER (OUTSIDE),2,PORTLAND CEMENT CONCRETE,
2.97,3.01,0-NONE ,1,5,3304988001,PAVEMENT,12,ASPHALT CONCRETE,
2.97,3.01,0-NONE ,1,9,3304988001,LEFT TURN LANE,12,ASPHALT CONCRETE,
2.97,3.01,0-NONE ,1,13,3304988001,PAVEMENT,12,ASPHALT CONCRETE,
2.97,3.01,0-NONE ,1,15,3304988001,RIGHT TURN LANE,12,ASPHALT CONCRETE,
2.97,3.01,0-NONE ,1,16,3304988001,SHOULDER (OUTSIDE),2,PORTLAND CEMENT CONCRETE,
2.97,3.01,0-NONE ,1,17,3304988001,DRAINAGE,,CURB, GUTTER & SIDEWALK
3.01,3.06,0-NONE ,1,1,3304988001,DRAINAGE,,CURB AND GUTTER,
3.01,3.06,0-NONE ,1,3,3304988001,SHOULDER (OUTSIDE),1,PORTLAND CEMENT CONCRETE,
3.01,3.06,0-NONE ,1,5,3304988001,PAVEMENT,11,ASPHALT CONCRETE,
3.01,3.06,0-NONE ,1,9,3304988001,LEFT TURN LANE,11,ASPHALT CONCRETE,
3.01,3.06,0-NONE ,1,13,3304988001,PAVEMENT,11,ASPHALT CONCRETE,
3.01,3.06,0-NONE ,1,15,3304988001,SHOULDER (OUTSIDE),1,PORTLAND CEMENT CONCRETE,
3.01,3.06,0-NONE ,1,17,3304988001,DRAINAGE,,CURB AND GUTTER,
3.06,3.422,0-NONE ,1,9,3304988001,DRAINAGE,,DITCH,
3.06,3.422,0-NONE ,1,11,3304988001,SHOULDER (OUTSIDE),1,SOIL (DIRT),
3.06,3.422,0-NONE ,1,13,3304988001,PAVEMENT,18,ASPHALT CONCRETE,
3.06,3.422,0-NONE ,1,15,3304988001,SHOULDER (OUTSIDE),1,SOIL (DIRT),
3.06,3.422,0-NONE ,1,17,3304988001,DRAINAGE,,DITCH,
3.422,3.655,0-NONE ,1,9,3304988001,DRAINAGE,,DITCH,
3.422,3.655,0-NONE ,1,10,3304988001,SHOULDER (OUTSIDE),10,GRAVEL,
3.422,3.655,0-NONE ,1,12,3304988001,PAVEMENT,24,ASPHALT CONCRETE,
3.422,3.655,0-NONE ,1,14,3304988001,SHOULDER (OUTSIDE),10,GRAVEL,
3.422,3.655,0-NONE ,1,15,3304988001,DRAINAGE,,DITCH,
0,0.91,0-NONE ,1,1,3304989001,DRAINAGE,,CURB AND GUTTER,
0,0.91,0-NONE ,1,2,3304989001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
0,0.91,0-NONE ,1,3,3304989001,PAVEMENT,24,ASPHALT CONCRETE,
0,0.91,0-NONE ,1,4,3304989001,2-WAY LT.  TURN LN.,12,ASPHALT CONCRETE,
0,0.91,0-NONE ,1,5,3304989001,PAVEMENT,24,ASPHALT CONCRETE,
0,0.91,0-NONE ,1,6,3304989001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
0,0.91,0-NONE ,1,7,3304989001,DRAINAGE,,CURB AND GUTTER,
0.91,1.02,0-NONE ,1,1,3304989001,DRAINAGE,,DITCH,
0.91,1.02,0-NONE ,1,2,3304989001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
0.91,1.02,0-NONE ,1,3,3304989001,PAVEMENT,36,ASPHALT CONCRETE,
0.91,1.02,0-NONE ,1,4,3304989001,2-WAY LT.  TURN LN.,12,ASPHALT CONCRETE,
0.91,1.02,0-NONE ,1,5,3304989001,PAVEMENT,24,ASPHALT CONCRETE,
0.91,1.02,0-NONE ,1,6,3304989001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
0.91,1.02,0-NONE ,1,7,3304989001,DRAINAGE,,CURB AND GUTTER,
1.02,1.08,0-NONE ,1,1,3304989001,DRAINAGE,,CURB AND GUTTER,
1.02,1.08,0-NONE ,1,3,3304989001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
1.02,1.08,0-NONE ,1,5,3304989001,PAVEMENT,24,ASPHALT CONCRETE,
1.02,1.08,0-NONE ,1,9,3304989001,LEFT TURN LANE,24,ASPHALT CONCRETE,
1.02,1.08,0-NONE ,1,13,3304989001,PAVEMENT,12,ASPHALT CONCRETE,
1.02,1.08,0-NONE ,1,15,3304989001,RIGHT TURN LANE,10,ASPHALT CONCRETE,
1.02,1.08,0-NONE ,1,16,3304989001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
1.02,1.08,0-NONE ,1,17,3304989001,DRAINAGE,,CURB AND GUTTER,
0,3.162,0-NONE ,1,8,3304990001,DRAINAGE,,DITCH,
0,3.162,0-NONE ,1,9,3304990001,SHOULDER (OUTSIDE),1,ASPHALT CONCRETE,
0,3.162,0-NONE ,1,10,3304990001,PAVEMENT,18,ASPHALT CONCRETE,
0,3.162,0-NONE ,1,12,3304990001,SHOULDER (OUTSIDE),1,ASPHALT CONCRETE,
0,3.162,0-NONE ,1,13,3304990001,DRAINAGE,,DITCH,
3.162,3.46,0-NONE ,1,8,3304990001,DRAINAGE,,DITCH,
3.162,3.46,0-NONE ,1,9,3304990001,SHOULDER (OUTSIDE),2,GRAVEL,
3.162,3.46,0-NONE ,1,10,3304990001,PAVEMENT,20,ASPHALT CONCRETE,
3.162,3.46,0-NONE ,1,12,3304990001,SHOULDER (OUTSIDE),2,GRAVEL,
3.162,3.46,0-NONE ,1,13,3304990001,DRAINAGE,,DITCH,
0,0.06,0-NONE ,1,8,3304991001,DRAINAGE,,DITCH,
0,0.06,0-NONE ,1,9,3304991001,SHOULDER (OUTSIDE),6,ASPHALT CONCRETE,
0,0.06,0-NONE ,1,10,3304991001,PAVEMENT,24,ASPHALT CONCRETE,
0,0.06,0-NONE ,1,12,3304991001,SHOULDER (OUTSIDE),6,ASPHALT CONCRETE,
0,0.06,0-NONE ,1,13,3304991001,DRAINAGE,,DITCH,
0.06,1.03,0-NONE ,1,9,3304991001,DRAINAGE,,DITCH,
0.06,1.03,0-NONE ,1,11,3304991001,SHOULDER (OUTSIDE),2,SOIL (DIRT),
0.06,1.03,0-NONE ,1,13,3304991001,PAVEMENT,20,ASPHALT CONCRETE,
0.06,1.03,0-NONE ,1,15,3304991001,SHOULDER (OUTSIDE),2,SOIL (DIRT),
0.06,1.03,0-NONE ,1,17,3304991001,DRAINAGE,,DITCH,
1.03,1.96,0-NONE ,1,8,3304991001,DRAINAGE,,DITCH,
1.03,1.96,0-NONE ,1,9,3304991001,SHOULDER (OUTSIDE),1,ASPHALT CONCRETE,
1.03,1.96,0-NONE ,1,10,3304991001,PAVEMENT,20,ASPHALT CONCRETE,
1.03,1.96,0-NONE ,1,12,3304991001,SHOULDER (OUTSIDE),1,ASPHALT CONCRETE,
1.03,1.96,0-NONE ,1,13,3304991001,DRAINAGE,,DITCH,
0,2.82,0-NONE ,1,8,3304992001,DRAINAGE,,DITCH,
0,2.82,0-NONE ,1,9,3304992001,SHOULDER (OUTSIDE),1,GRAVEL,
0,2.82,0-NONE ,1,10,3304992001,PAVEMENT,20,ASPHALT CONCRETE,
0,2.82,0-NONE ,1,12,3304992001,SHOULDER (OUTSIDE),1,GRAVEL,
0,2.82,0-NONE ,1,13,3304992001,DRAINAGE,,DITCH,
0,0.05,0-NONE ,1,8,3304995001,DRAINAGE,,CURB ONLY,
0,0.05,0-NONE ,1,9,3304995001,SHOULDER (OUTSIDE),1,ASPHALT CONCRETE,
0,0.05,0-NONE ,1,10,3304995001,PAVEMENT,12,ASPHALT CONCRETE,
0,0.05,0-NONE ,1,12,3304995001,LEFT TURN LANE,12,ASPHALT CONCRETE,
0,0.05,0-NONE ,1,13,3304995001,PAVEMENT,12,ASPHALT CONCRETE,
0,0.05,0-NONE ,1,14,3304995001,SHOULDER (OUTSIDE),1,ASPHALT CONCRETE,
0,0.05,0-NONE ,1,15,3304995001,DRAINAGE,,CURB ONLY,
0.05,0.477,0-NONE ,1,8,3304995001,DRAINAGE,,CURB ONLY,
0.05,0.477,0-NONE ,1,9,3304995001,PAVEMENT,26,ASPHALT CONCRETE,
0.05,0.477,0-NONE ,1,11,3304995001,DRAINAGE,,CURB ONLY,
0.477,0.72,0-NONE ,1,8,3304995001,DRAINAGE,,CURB ONLY,
0.477,0.72,0-NONE ,1,9,3304995001,PAVEMENT,28,ASPHALT CONCRETE,
0.477,0.72,0-NONE ,1,11,3304995001,DRAINAGE,,CURB ONLY,
0,0.18,0-NONE ,1,8,3304996001,DRAINAGE,,DITCH,
0,0.18,0-NONE ,1,9,3304996001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.18,0-NONE ,1,10,3304996001,PAVEMENT,28,ASPHALT CONCRETE,
0,0.18,0-NONE ,1,13,3304996001,DRAINAGE,,CURB AND GUTTER,
0.18,0.62,0-NONE ,1,8,3304996001,DRAINAGE,,DITCH,
0.18,0.62,0-NONE ,1,9,3304996001,SHOULDER (OUTSIDE),1,SOIL (DIRT),
0.18,0.62,0-NONE ,1,10,3304996001,PAVEMENT,22,ASPHALT CONCRETE,
0.18,0.62,0-NONE ,1,12,3304996001,SHOULDER (OUTSIDE),1,SOIL (DIRT),
0.18,0.62,0-NONE ,1,13,3304996001,DRAINAGE,,DITCH,
0,0.49,0-NONE ,1,8,3304997001,DRAINAGE,,CURB ONLY,
0,0.49,0-NONE ,1,9,3304997001,PAVEMENT,30,ASPHALT CONCRETE,
0,0.49,0-NONE ,1,11,3304997001,DRAINAGE,,CURB ONLY,
0.49,1.24,0-NONE ,1,8,3304997001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.49,1.24,0-NONE ,1,9,3304997001,PAVEMENT,30,ASPHALT CONCRETE,
0.49,1.24,0-NONE ,1,11,3304997001,DRAINAGE,,CURB, GUTTER & SIDEWALK
1.24,1.62,0-NONE ,1,8,3304997001,DRAINAGE,,CURB, GUTTER & SIDEWALK
1.24,1.62,0-NONE ,1,9,3304997001,SHOULDER (OUTSIDE),10,ASPHALT CONCRETE,
1.24,1.62,0-NONE ,1,10,3304997001,PAVEMENT,24,ASPHALT CONCRETE,
1.24,1.62,0-NONE ,1,12,3304997001,SHOULDER (OUTSIDE),10,ASPHALT CONCRETE,
1.24,1.62,0-NONE ,1,13,3304997001,DRAINAGE,,CURB, GUTTER & SIDEWALK
1.62,1.788,0-NONE ,1,8,3304997001,DRAINAGE,,CURB, GUTTER & SIDEWALK
1.62,1.788,0-NONE ,1,10,3304997001,PAVEMENT,44,ASPHALT CONCRETE,
1.62,1.788,0-NONE ,1,13,3304997001,DRAINAGE,,CURB, GUTTER & SIDEWALK
1.788,2.64,0-NONE ,1,8,3304997001,DRAINAGE,,CURB, GUTTER & SIDEWALK
1.788,2.64,0-NONE ,1,9,3304997001,SHOULDER (OUTSIDE),10,ASPHALT CONCRETE,
1.788,2.64,0-NONE ,1,10,3304997001,PAVEMENT,24,ASPHALT CONCRETE,
1.788,2.64,0-NONE ,1,12,3304997001,SHOULDER (OUTSIDE),10,ASPHALT CONCRETE,
1.788,2.64,0-NONE ,1,13,3304997001,DRAINAGE,,CURB, GUTTER & SIDEWALK
2.64,3.018,0-NONE ,1,8,3304997001,DRAINAGE,,CURB, GUTTER & SIDEWALK
2.64,3.018,0-NONE ,1,9,3304997001,PAVEMENT,30,ASPHALT CONCRETE,
2.64,3.018,0-NONE ,1,11,3304997001,DRAINAGE,,CURB, GUTTER & SIDEWALK
3.018,3.56,0-NONE ,1,8,3304997001,DRAINAGE,,CURB ONLY,
3.018,3.56,0-NONE ,1,9,3304997001,PAVEMENT,30,ASPHALT CONCRETE,
3.018,3.56,0-NONE ,1,11,3304997001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0,0.05,0-NONE ,1,9,3304998001,DRAINAGE,,CURB AND GUTTER,
0,0.05,0-NONE ,1,11,3304998001,SHOULDER (OUTSIDE),7,ASPHALT CONCRETE,
0,0.05,0-NONE ,1,13,3304998001,PAVEMENT,22,ASPHALT CONCRETE,
0,0.05,0-NONE ,1,15,3304998001,SHOULDER (OUTSIDE),7,ASPHALT CONCRETE,
0,0.05,0-NONE ,1,17,3304998001,DRAINAGE,,CURB AND GUTTER,
0.05,0.334,0-NONE ,1,8,3304998001,DRAINAGE,,DITCH,
0.05,0.334,0-NONE ,1,9,3304998001,PAVEMENT,22,ASPHALT CONCRETE,
0.05,0.334,0-NONE ,1,11,3304998001,DRAINAGE,,DITCH,
0.334,0.584,0-NONE ,1,8,3304998001,DRAINAGE,,DITCH,
0.334,0.584,0-NONE ,1,9,3304998001,PAVEMENT,21,ASPHALT CONCRETE,
0.334,0.584,0-NONE ,1,11,3304998001,DRAINAGE,,DITCH,
0.584,1.11,0-NONE ,1,9,3304998001,DRAINAGE,,DITCH,
0.584,1.11,0-NONE ,1,12,3304998001,PAVEMENT,21,ASPHALT CONCRETE,
0.584,1.11,0-NONE ,1,15,3304998001,DRAINAGE,,DITCH,
0,0.4,0-NONE ,1,8,3304999001,DRAINAGE,,DITCH,
0,0.4,0-NONE ,1,9,3304999001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.4,0-NONE ,1,10,3304999001,PAVEMENT,18,ASPHALT CONCRETE,
0,0.4,0-NONE ,1,12,3304999001,SHOULDER (OUTSIDE),1,GRAVEL,
0,0.4,0-NONE ,1,13,3304999001,DRAINAGE,,DITCH,
0.4,1.3,0-NONE ,1,8,3304999001,DRAINAGE,,DITCH,
0.4,1.3,0-NONE ,1,9,3304999001,SHOULDER (OUTSIDE),1,GRAVEL,
0.4,1.3,0-NONE ,1,10,3304999001,PAVEMENT,20,ASPHALT CONCRETE,
0.4,1.3,0-NONE ,1,12,3304999001,SHOULDER (OUTSIDE),1,GRAVEL,
0.4,1.3,0-NONE ,1,13,3304999001,DRAINAGE,,DITCH,
1.3,2.4,0-NONE ,1,8,3304999001,DRAINAGE,,DITCH,
1.3,2.4,0-NONE ,1,9,3304999001,SHOULDER (OUTSIDE),1,SOIL (DIRT),
1.3,2.4,0-NONE ,1,10,3304999001,PAVEMENT,22,ASPHALT CONCRETE,
1.3,2.4,0-NONE ,1,12,3304999001,SHOULDER (OUTSIDE),1,SOIL (DIRT),
1.3,2.4,0-NONE ,1,13,3304999001,DRAINAGE,,DITCH,
2.4,2.51,0-NONE ,1,1,3304999001,DRAINAGE,,DITCH,
2.4,2.51,0-NONE ,1,2,3304999001,SHOULDER (OUTSIDE),2,SOIL (DIRT),
2.4,2.51,0-NONE ,1,3,3304999001,PAVEMENT,11,ASPHALT CONCRETE,
2.4,2.51,0-NONE ,1,4,3304999001,MEDIAN,11,PAINTED,
2.4,2.51,0-NONE ,1,5,3304999001,PAVEMENT,11,ASPHALT CONCRETE,
2.4,2.51,0-NONE ,1,6,3304999001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
2.4,2.51,0-NONE ,1,7,3304999001,DRAINAGE,,DITCH,
2.51,2.845,0-NONE ,1,1,3304999001,DRAINAGE,,DITCH,
2.51,2.845,0-NONE ,1,2,3304999001,SHOULDER (OUTSIDE),1,SOIL (DIRT),
2.51,2.845,0-NONE ,1,3,3304999001,PAVEMENT,22,ASPHALT CONCRETE,
2.51,2.845,0-NONE ,1,4,3304999001,SHOULDER (OUTSIDE),1,SOIL (DIRT),
2.51,2.845,0-NONE ,1,5,3304999001,DRAINAGE,,DITCH,
0,0.11,0-NONE ,1,8,3305000001,DRAINAGE,,DITCH,
0,0.11,0-NONE ,1,9,3305000001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.11,0-NONE ,1,10,3305000001,PAVEMENT,22,ASPHALT CONCRETE,
0,0.11,0-NONE ,1,12,3305000001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.11,0-NONE ,1,13,3305000001,DRAINAGE,,DITCH,
0.11,1.2,0-NONE ,1,9,3305000001,SHOULDER (OUTSIDE),2,GRAVEL,
0.11,1.2,0-NONE ,1,10,3305000001,PAVEMENT,20,ASPHALT CONCRETE,
0.11,1.2,0-NONE ,1,12,3305000001,SHOULDER (OUTSIDE),2,GRAVEL,
0.11,1.2,0-NONE ,1,13,3305000001,DRAINAGE,,DITCH,
0,0.08,0-NONE ,1,8,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0,0.08,0-NONE ,1,10,3305001001,PAVEMENT,24,ASPHALT CONCRETE,
0,0.08,0-NONE ,1,13,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.08,0.25,0-NONE ,1,8,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.08,0.25,0-NONE ,1,10,3305001001,PAVEMENT,24,ASPHALT CONCRETE,
0.08,0.25,0-NONE ,1,12,3305001001,SHOULDER (OUTSIDE),6,ASPHALT CONCRETE,
0.08,0.25,0-NONE ,1,13,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.25,0.318,0-NONE ,1,1,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.25,0.318,0-NONE ,1,2,3305001001,PAVEMENT,21,ASPHALT CONCRETE,
0.25,0.318,0-NONE ,1,3,3305001001,PARKING LANE,7,ASPHALT CONCRETE,
0.25,0.318,0-NONE ,1,4,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.318,0.405,0-NONE ,1,8,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.318,0.405,0-NONE ,1,9,3305001001,PARKING LANE,7,ASPHALT CONCRETE,
0.318,0.405,0-NONE ,1,10,3305001001,PAVEMENT,22,ASPHALT CONCRETE,
0.318,0.405,0-NONE ,1,12,3305001001,PARKING LANE,7,ASPHALT CONCRETE,
0.318,0.405,0-NONE ,1,13,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.405,0.48,0-NONE ,1,8,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.405,0.48,0-NONE ,1,9,3305001001,PAVEMENT,30,ASPHALT CONCRETE,
0.405,0.48,0-NONE ,1,11,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.48,0.505,0-NONE ,1,8,3305001001,DRAINAGE,,CURB ONLY,
0.48,0.505,0-NONE ,1,10,3305001001,PAVEMENT,12,ASPHALT CONCRETE,
0.48,0.505,0-NONE ,1,11,3305001001,DRAINAGE,,CURB ONLY,
0.48,0.505,0-NONE ,1,12,3305001001,MEDIAN,4,NON-MOUNTABLE (CONCRETE),
0.48,0.505,0-NONE ,1,13,3305001001,DRAINAGE,,CURB ONLY,
0.48,0.505,0-NONE ,1,14,3305001001,PAVEMENT,12,ASPHALT CONCRETE,
0.48,0.505,0-NONE ,1,15,3305001001,RIGHT TURN LANE,12,ASPHALT CONCRETE,
0.48,0.505,0-NONE ,1,16,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.505,0.61,0-NONE ,1,8,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.505,0.61,0-NONE ,1,10,3305001001,PAVEMENT,48,ASPHALT CONCRETE,
0.505,0.61,0-NONE ,1,13,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.61,0.655,0-NONE ,1,1,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.61,0.655,0-NONE ,1,3,3305001001,SHOULDER (OUTSIDE),1,PORTLAND CEMENT CONCRETE,
0.61,0.655,0-NONE ,1,5,3305001001,PAVEMENT,12,PORTLAND CEMENT CONCRETE,
0.61,0.655,0-NONE ,1,9,3305001001,LEFT TURN LANE,13,PORTLAND CEMENT CONCRETE,
0.61,0.655,0-NONE ,1,13,3305001001,PAVEMENT,12,PORTLAND CEMENT CONCRETE,
0.61,0.655,0-NONE ,1,15,3305001001,SHOULDER (OUTSIDE),1,PORTLAND CEMENT CONCRETE,
0.61,0.655,0-NONE ,1,17,3305001001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0,0.14,0-NONE ,1,8,3305003001,DRAINAGE,,CURB AND GUTTER,
0,0.14,0-NONE ,1,10,3305003001,PAVEMENT,36,ASPHALT CONCRETE,
0,0.14,0-NONE ,1,11,3305003001,DRAINAGE,,CURB AND GUTTER,
0.14,0.75,0-NONE ,1,9,3305003001,DRAINAGE,,CURB AND GUTTER,
0.14,0.75,0-NONE ,1,12,3305003001,PAVEMENT,28,ASPHALT CONCRETE,
0.14,0.75,0-NONE ,1,15,3305003001,DRAINAGE,,CURB AND GUTTER,
0.75,1.205,0-NONE ,1,9,3305003001,DRAINAGE,,CURB AND GUTTER,
0.75,1.205,0-NONE ,1,12,3305003001,PAVEMENT,24,ASPHALT CONCRETE,
0.75,1.205,0-NONE ,1,15,3305003001,DRAINAGE,,CURB AND GUTTER,
0,0.29,0-NONE ,1,8,3305292001,DRAINAGE,,DITCH,
0,0.29,0-NONE ,1,9,3305292001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.29,0-NONE ,1,10,3305292001,PAVEMENT,20,ASPHALT CONCRETE,
0,0.29,0-NONE ,1,12,3305292001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.29,0-NONE ,1,13,3305292001,DRAINAGE,,DITCH,
0,0.18,0-NONE ,1,8,3305293001,DRAINAGE,,DITCH,
0,0.18,0-NONE ,1,9,3305293001,SHOULDER (OUTSIDE),3,ASPHALT CONCRETE,
0,0.18,0-NONE ,1,10,3305293001,PAVEMENT,22,ASPHALT CONCRETE,
0,0.18,0-NONE ,1,12,3305293001,SHOULDER (OUTSIDE),3,ASPHALT CONCRETE,
0,0.18,0-NONE ,1,13,3305293001,DRAINAGE,,DITCH,
0,0.408,0-NONE ,1,8,3305297001,DRAINAGE,,DITCH,
0,0.408,0-NONE ,1,9,3305297001,SHOULDER (OUTSIDE),1,ASPHALT CONCRETE,
0,0.408,0-NONE ,1,10,3305297001,PAVEMENT,22,ASPHALT CONCRETE,
0,0.408,0-NONE ,1,12,3305297001,SHOULDER (OUTSIDE),1,ASPHALT CONCRETE,
0,0.408,0-NONE ,1,13,3305297001,DRAINAGE,,DITCH,
0.408,1.27,0-NONE ,1,8,3305297001,DRAINAGE,,DITCH,
0.408,1.27,0-NONE ,1,9,3305297001,SHOULDER (OUTSIDE),1,ASPHALT CONCRETE,
0.408,1.27,0-NONE ,1,10,3305297001,PAVEMENT,20,ASPHALT CONCRETE,
0.408,1.27,0-NONE ,1,12,3305297001,SHOULDER (OUTSIDE),1,ASPHALT CONCRETE,
0.408,1.27,0-NONE ,1,13,3305297001,DRAINAGE,,DITCH,
1.27,2.206,0-NONE ,1,8,3305297001,DRAINAGE,,DITCH,
1.27,2.206,0-NONE ,1,9,3305297001,SHOULDER (OUTSIDE),1,GRAVEL,
1.27,2.206,0-NONE ,1,10,3305297001,PAVEMENT,18,ASPHALT CONCRETE,
1.27,2.206,0-NONE ,1,12,3305297001,SHOULDER (OUTSIDE),1,GRAVEL,
1.27,2.206,0-NONE ,1,13,3305297001,DRAINAGE,,DITCH,
2.206,2.71,0-NONE ,1,8,3305297001,DRAINAGE,,DITCH,
2.206,2.71,0-NONE ,1,9,3305297001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
2.206,2.71,0-NONE ,1,10,3305297001,PAVEMENT,20,ASPHALT CONCRETE,
2.206,2.71,0-NONE ,1,12,3305297001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
2.206,2.71,0-NONE ,1,13,3305297001,DRAINAGE,,DITCH,
0,0.274,0-NONE ,1,1,3305395001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0,0.274,0-NONE ,1,2,3305395001,BIKE LANE,6,PORTLAND CEMENT CONCRETE,
0,0.274,0-NONE ,1,3,3305395001,PAVEMENT,30,PORTLAND CEMENT CONCRETE,
0,0.274,0-NONE ,1,4,3305395001,DRAINAGE,,CURB ONLY,
0,0.274,0-NONE ,1,5,3305395001,MEDIAN,11,NON-MOUNTABLE (CONCRETE),
0,0.274,0-NONE ,1,6,3305395001,DRAINAGE,,CURB ONLY,
0,0.274,0-NONE ,1,7,3305395001,PAVEMENT,30,PORTLAND CEMENT CONCRETE,
0,0.274,0-NONE ,1,8,3305395001,BIKE LANE,6,PORTLAND CEMENT CONCRETE,
0,0.274,0-NONE ,1,9,3305395001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.274,0.4,0-NONE ,1,1,3305395001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.274,0.4,0-NONE ,1,4,3305395001,PAVEMENT,36,PORTLAND CEMENT CONCRETE,
0.274,0.4,0-NONE ,1,7,3305395001,DRAINAGE,,CURB ONLY,
0.274,0.4,0-NONE ,1,9,3305395001,MEDIAN,11,NON-MOUNTABLE (CONCRETE),
0.274,0.4,0-NONE ,1,11,3305395001,DRAINAGE,,CURB ONLY,
0.274,0.4,0-NONE ,1,14,3305395001,PAVEMENT,36,PORTLAND CEMENT CONCRETE,
0.274,0.4,0-NONE ,1,17,3305395001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.4,0.52,0-NONE ,1,1,3305395001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.4,0.52,0-NONE ,1,3,3305395001,SHOULDER (OUTSIDE),2,PORTLAND CEMENT CONCRETE,
0.4,0.52,0-NONE ,1,5,3305395001,PAVEMENT,36,ASPHALT CONCRETE,
0.4,0.52,0-NONE ,1,8,3305395001,DRAINAGE,,CURB ONLY,
0.4,0.52,0-NONE ,1,10,3305395001,MEDIAN,8,NON-MOUNTABLE (CONCRETE),
0.4,0.52,0-NONE ,1,12,3305395001,DRAINAGE,,CURB ONLY,
0.4,0.52,0-NONE ,1,14,3305395001,LEFT TURN LANE,12,ASPHALT CONCRETE,
0.4,0.52,0-NONE ,1,16,3305395001,PAVEMENT,24,ASPHALT CONCRETE,
0.4,0.52,0-NONE ,1,18,3305395001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
0.4,0.52,0-NONE ,1,20,3305395001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.52,0.6,0-NONE ,1,1,3305395001,DRAINAGE,,CURB, GUTTER & SIDEWALK
0.52,0.6,0-NONE ,1,4,3305395001,PAVEMENT,36,PORTLAND CEMENT CONCRETE,
0.52,0.6,0-NONE ,1,7,3305395001,DRAINAGE,,CURB ONLY,
0.52,0.6,0-NONE ,1,9,3305395001,MEDIAN,8,NON-MOUNTABLE (CONCRETE),
0.52,0.6,0-NONE ,1,11,3305395001,DRAINAGE,,CURB ONLY,
0.52,0.6,0-NONE ,1,13,3305395001,SHOULDER (INSIDE),6,PORTLAND CEMENT CONCRETE,
0.52,0.6,0-NONE ,1,15,3305395001,PAVEMENT,24,PORTLAND CEMENT CONCRETE,
