BLM,ELM,Special Case,Co. Seq.,Feat Seq Nbr,ID_NUMBER,Feature_Type,Feat_Width,Feature_Composition,
1.39,1.425,0-NONE ,1,14,3301122001,SHOULDER (INSIDE),2,PORTLAND CEMENT CONCRETE,
1.39,1.425,0-NONE ,1,16,3301122001,PAVEMENT,12,PORTLAND CEMENT CONCRETE,
1.39,1.425,0-NONE ,1,18,3301122001,SHOULDER (OUTSIDE),2,PORTLAND CEMENT CONCRETE,
1.39,1.425,0-NONE ,1,20,3301122001,DRAINAGE,,CURB, GUTTER & SIDEWALK
1.425,1.445,0-NONE ,1,1,3301122001,DRAINAGE,,CURB, GUTTER & SIDEWALK
1.425,1.445,0-NONE ,1,3,3301122001,SHOULDER (OUTSIDE),2,PORTLAND CEMENT CONCRETE,
1.425,1.445,0-NONE ,1,5,3301122001,PAVEMENT,12,ASPHALT CONCRETE,
1.425,1.445,0-NONE ,1,7,3301122001,SHOULDER (INSIDE),2,PORTLAND CEMENT CONCRETE,
1.425,1.445,0-NONE ,1,9,3301122001,DRAINAGE,,CURB ONLY,
1.425,1.445,0-NONE ,1,11,3301122001,MEDIAN,10,NON-MOUNTABLE (CONCRETE),
1.425,1.445,0-NONE ,1,13,3301122001,DRAINAGE,,CURB ONLY,
1.425,1.445,0-NONE ,1,15,3301122001,SHOULDER (INSIDE),2,PORTLAND CEMENT CONCRETE,
1.425,1.445,0-NONE ,1,17,3301122001,PAVEMENT,12,PORTLAND CEMENT CONCRETE,
1.425,1.445,0-NONE ,1,19,3301122001,SHOULDER (OUTSIDE),2,PORTLAND CEMENT CONCRETE,
1.425,1.445,0-NONE ,1,21,3301122001,DRAINAGE,,CURB, GUTTER & SIDEWALK
1.445,1.495,0-NONE ,1,9,3301122001,DRAINAGE,,CURB, GUTTER & SIDEWALK
1.445,1.495,0-NONE ,1,11,3301122001,SHOULDER (OUTSIDE),4,ASPHALT CONCRETE,
1.445,1.495,0-NONE ,1,13,3301122001,RIGHT TURN LANE,12,ASPHALT CONCRETE,
1.445,1.495,0-NONE ,1,14,3301122001,PAVEMENT,22,ASPHALT CONCRETE,
1.445,1.495,0-NONE ,1,15,3301122001,SHOULDER (OUTSIDE),7,ASPHALT CONCRETE,
1.445,1.495,0-NONE ,1,16,3301122001,DRAINAGE,,CURB, GUTTER & SIDEWALK
1.495,2.14,0-NONE ,1,8,3301122001,DRAINAGE,,DITCH,
1.495,2.14,0-NONE ,1,9,3301122001,SHOULDER (OUTSIDE),1,GRAVEL,
1.495,2.14,0-NONE ,1,10,3301122001,PAVEMENT,20,ASPHALT CONCRETE,
1.495,2.14,0-NONE ,1,12,3301122001,SHOULDER (OUTSIDE),1,GRAVEL,
1.495,2.14,0-NONE ,1,13,3301122001,DRAINAGE,,DITCH,
2.14,2.23,0-NONE ,1,1,3301122001,DRAINAGE,,CURB AND GUTTER,
2.14,2.23,0-NONE ,1,3,3301122001,SHOULDER (OUTSIDE),2,PORTLAND CEMENT CONCRETE,
2.14,2.23,0-NONE ,1,5,3301122001,PAVEMENT,12,ASPHALT CONCRETE,
2.14,2.23,0-NONE ,1,9,3301122001,LEFT TURN LANE,12,ASPHALT CONCRETE,
2.14,2.23,0-NONE ,1,13,3301122001,PAVEMENT,12,ASPHALT CONCRETE,
2.14,2.23,0-NONE ,1,15,3301122001,SHOULDER (OUTSIDE),2,PORTLAND CEMENT CONCRETE,
2.14,2.23,0-NONE ,1,17,3301122001,DRAINAGE,,CURB AND GUTTER,
2.23,2.92,0-NONE ,1,8,3301122001,DRAINAGE,,DITCH,
2.23,2.92,0-NONE ,1,9,3301122001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
2.23,2.92,0-NONE ,1,10,3301122001,PAVEMENT,22,ASPHALT CONCRETE,
2.23,2.92,0-NONE ,1,12,3301122001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
2.23,2.92,0-NONE ,1,13,3301122001,DRAINAGE,,DITCH,
2.92,5.685,0-NONE ,1,8,3301122001,DRAINAGE,,DITCH,
2.92,5.685,0-NONE ,1,9,3301122001,SHOULDER (OUTSIDE),2,GRAVEL,
2.92,5.685,0-NONE ,1,10,3301122001,PAVEMENT,20,ASPHALT CONCRETE,
2.92,5.685,0-NONE ,1,12,3301122001,SHOULDER (OUTSIDE),2,GRAVEL,
2.92,5.685,0-NONE ,1,13,3301122001,DRAINAGE,,DITCH,
0,0.246,0-NONE ,1,8,3301126001,DRAINAGE,,DITCH,
0,0.246,0-NONE ,1,9,3301126001,SHOULDER (OUTSIDE),8,GRAVEL,
0,0.246,0-NONE ,1,10,3301126001,PAVEMENT,24,ASPHALT CONCRETE,
0,0.246,0-NONE ,1,12,3301126001,SHOULDER (OUTSIDE),8,GRAVEL,
0,0.246,0-NONE ,1,13,3301126001,DRAINAGE,,DITCH,
0.246,0.38,0-NONE ,1,8,3301126001,DRAINAGE,,DITCH,
0.246,0.38,0-NONE ,1,9,3301126001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
