BLM,ELM,Co. Seq.,ID_NUMBER,Thru_Lanes,ROW ,Num_Lns,Spd Limit,Terrain,Land Use,Illum,Operation,Acc. Ctrl.,Sch Spd Limit,Truck Spd Limit
4.38,5.87,1,3302219001,2,50,2,35,2,0,,2,0,,
5.87,6.18,1,3302219001,2,40,2,35,2,0,,2,0,,
0,3.06,1,3302221001,2,44,2,40,2,0,,2,0,,
3.06,3.23,1,3302221001,2,44,2,35,2,0,,2,0,,
3.23,5.45,1,3302221001,2,44,2,40,2,0,,2,0,,
0,2.52,1,3302223001,2,40,2,30,2,0,,2,0,,
0,1.99,1,3302227001,2,40,2,35,2,0,,2,0,,
0,0.04,1,3303542001,4,300,4,40,1,5,1,2,0,,
0.04,0.08,1,3303542001,4,300,5,40,1,5,1,2,0,,
0.08,0.29,1,3303542001,4,100,5,40,1,2,1,2,0,,
0.29,0.315,1,3303542001,4,100,4,40,1,2,1,2,0,,
0.315,0.32,1,3303542001,4,100,4,50,1,2,1,2,0,,
0.32,0.47,1,3303542001,4,150,5,50,1,9,1,2,0,,
0.47,0.5,1,3303542001,4,150,4,50,1,9,1,2,0,,
0.5,1.73,1,3303542001,4,100,4,50,2,5,1,2,0,,
1.73,1.76,1,3303542001,3,160,3,50,2,9,1,2,0,,
1.76,1.93,1,3303542001,3,120,3,50,2,9,1,2,0,,
1.93,1.96,1,3303542001,3,100,3,50,2,9,1,2,0,,
1.96,2.02,1,3303542001,2,100,2,50,2,9,1,2,0,,
2.02,2.05,1,3303542001,1,150,1,50,2,9,1,1,0,,
0,0.22,1,3303546001,4,75,4,30,2,2,1,2,0,,
0.22,0.305,1,3303546001,4,60,4,30,2,2,1,2,0,,
0.305,0.41,1,3303546001,3,100,3,30,2,2,1,2,0,,
0.41,0.92,1,3303546001,5,100,5,35,2,2,1,2,0,,
0.92,1.04,1,3303546001,4,70,4,30,2,2,1,2,0,,
1.04,1.12,1,3303546001,3,68,3,30,2,2,1,2,0,,
1.12,1.325,1,3303546001,2,80,2,30,2,2,1,2,0,,
1.325,1.425,1,3303546001,3,50,3,30,2,2,1,1,0,,
1.425,1.53,1,3303546001,4,60,4,30,2,2,1,1,0,,
0,0.07,1,3303547001,2,52,2,30,2,7,1,1,0,,
0.07,0.41,1,3303547001,2,56,2,30,2,2,1,1,0,,
0.41,0.66,1,3303547001,2,40,2,30,2,2,1,1,0,,
0.66,0.72,1,3303547001,2,50,2,30,2,2,1,1,0,,
0.72,0.82,1,3303547001,2,80,2,30,2,2,1,1,0,,
0,0.03,1,3303548001,4,80,4,35,2,2,1,2,0,,
0.03,0.1,1,3303548001,2,40,2,35,2,2,1,1,0,,
0.1,0.15,1,3303548001,2,50,2,35,2,2,1,1,0,,
0.15,0.21,1,3303548001,2,56,2,35,2,2,1,1,0,,
0.21,0.394,1,3303548001,2,50,2,35,2,2,1,1,0,,
0.394,0.46,1,3303548001,3,50,3,35,2,2,1,1,0,,
0.46,0.618,1,3303548001,2,58,2,30,2,2,1,1,0,,
0.618,0.68,1,3303548001,3,55,3,30,2,7,1,1,0,,
0.68,0.8,1,3303548001,2,58,2,30,2,2,1,1,0,,
0.8,0.865,1,3303548001,2,40,2,30,2,2,1,1,0,,
0,0.16,1,3303549001,3,50,3,30,2,2,1,1,0,,
0.16,0.22,1,3303549001,2,60,2,30,2,2,1,1,0,,
0.22,0.27,1,3303549001,3,60,4,30,2,2,1,2,0,,
0.27,0.29,1,3303549001,3,60,3,30,2,2,1,2,0,,
0.29,0.4,1,3303549001,3,56,3,30,2,2,1,2,0,,
0.4,0.46,1,3303549001,2,50,2,30,2,2,1,2,0,,
0.46,0.599,1,3303549001,2,56,2,30,2,2,1,2,0,,
0.599,0.84,1,3303549001,3,50,3,30,2,2,1,1,0,,
0,0.06,1,3303550001,3,60,3,35,2,2,1,2,0,,
0.06,0.17,1,3303550001,4,60,4,35,2,2,1,2,0,,
0.17,0.29,1,3303550001,2,80,2,35,2,2,1,2,0,,
0.29,0.41,1,3303550001,2,60,2,35,2,2,1,2,0,,
0.41,0.47,1,3303550001,2,44,2,35,2,2,1,1,0,,
0.47,0.54,1,3303550001,3,44,3,35,2,2,1,1,0,,
0.54,0.719,1,3303550001,2,44,2,35,2,2,1,1,0,,
0.719,0.74,1,3303550001,2,44,2,35,2,2,1,2,0,,
0,0.46,1,3303551001,4,102,4,30,2,2,1,2,0,,
0,0.062,1,3303552001,6,100,6,30,2,2,1,2,0,,
0.062,0.18,1,3303552001,4,100,4,30,2,2,1,2,0,,
0.18,0.28,1,3303552001,4,110,4,30,2,2,1,2,0,,
0.28,0.33,1,3303552001,4,84,4,30,2,2,1,2,0,,
0.33,0.46,1,3303552001,3,56,3,30,2,2,1,2,0,,
0.46,0.58,1,3303552001,2,60,2,30,2,2,1,1,0,,
0.58,0.69,1,3303552001,3,60,3,30,2,9,1,1,0,,
0.69,0.78,1,3303552001,3,54,3,30,2,9,1,2,0,,
0.78,0.8,1,3303552001,3,64,3,30,2,9,1,2,0,15,
0.8,0.88,1,3303552001,4,64,4,30,2,9,1,2,0,15,
0.88,0.95,1,3303552001,4,66,4,30,2,9,1,2,0,,
0.95,1.05,1,3303552001,4,64,4,30,2,2,1,2,0,,
1.05,1.48,1,3303552001,4,70,4,30,2,2,1,2,0,,
1.48,1.73,1,3303552001,4,74,4,30,2,2,1,2,0,,
1.73,1.82,1,3303552001,4,80,4,30,2,2,1,2,0,,
1.82,1.97,1,3303552001,4,70,4,30,2,2,1,2,0,,
1.97,2.27,1,3303552001,4,56,4,35,2,4,1,2,0,,
2.27,2.48,1,3303552001,4,60,4,35,2,4,1,2,0,15,
2.48,2.605,1,3303552001,4,60,4,35,2,4,1,2,0,,
2.605,2.86,1,3303552001,2,60,2,35,2,4,1,2,0,,
0,0.13,1,3303553001,4,84,4,30,2,7,1,2,0,,
0.13,0.29,1,3303553001,4,84,4,30,2,2,1,2,0,,
0.29,0.54,1,3303553001,2,54,2,30,2,2,1,2,0,,
0,1.509,1,3303554001,4,52,4,40,2,2,1,2,0,,
1.509,2.13,1,3303554001,4,52,4,45,2,2,1,2,0,,
2.13,2.2,1,3303554001,4,70,4,45,2,4,1,2,0,,
0,0.15,1,3303556001,4,96,4,35,2,2,1,2,0,,
0.15,0.31,1,3303556001,4,58,4,35,2,2,1,2,0,,
0.31,1.21,1,3303556001,4,70,4,35,2,2,1,2,0,,
1.21,1.66,1,3303556001,2,60,2,35,2,2,1,2,0,,
1.66,1.746,1,3303556001,2,60,2,35,2,7,1,2,0,,
1.746,2.07,1,3303556001,3,60,3,35,2,7,1,2,0,,
2.07,2.29,1,3303556001,2,70,2,40,2,4,1,2,0,,
2.29,3.08,1,3303556001,2,50,2,40,2,4,1,2,0,,
3.08,3.18,1,3303556001,2,80,2,40,2,4,1,2,0,,
3.18,3.66,1,3303556001,4,80,4,40,2,7,1,2,0,,
3.66,4.16,1,3303556001,4,100,4,40,2,2,1,2,0,,
4.16,4.27,1,3303556001,3,60,3,45,2,2,1,2,0,,
4.27,5.05,1,3303556001,3,60,2,45,,,1,2,0,,
5.05,5.33,1,3303556001,3,80,3,45,2,2,1,2,0,,
5.33,5.392,1,3303556001,4,90,4,45,2,2,1,2,0,,
5.392,5.52,1,3303556001,4,120,4,45,2,2,1,2,0,,
5.52,5.59,1,3303556001,4,250,4,45,2,2,1,2,0,,
0,0.81,1,3303557001,2,46,2,30,2,2,1,2,0,,
0.81,0.867,1,3303557001,2,48,2,30,2,2,1,2,0,,
0.867,0.93,1,3303557001,4,48,4,30,2,2,1,2,0,,
0.93,1.118,1,3303557001,4,50,4,30,2,2,1,2,0,15,
1.118,1.15,1,3303557001,4,50,4,35,2,2,1,2,0,15,
1.15,1.202,1,3303557001,4,50,4,35,2,2,1,2,0,,
1.202,2,1,3303557001,4,50,4,35,2,2,1,2,0,,
2,2.14,1,3303557001,4,90,4,35,2,2,1,2,0,,
0,0.402,1,3303559001,2,56,2,35,2,2,1,2,0,,
0.402,0.55,1,3303559001,2,,2,,2,P,,2,0,,
0.55,0.68,1,3303559001,2,62,2,35,2,2,1,2,0,,
0.68,0.72,1,3303559001,2,52,2,35,2,2,1,2,0,,
0.72,0.905,1,3303559001,3,56,3,35,2,2,1,2,0,,
0.905,1.27,1,3303559001,4,62,4,35,2,2,1,2,0,,
0,0.06,1,3303560001,4,70,4,,1,2,1,2,0,,
0.06,0.12,1,3303560001,2,60,2,,1,2,1,2,0,,
0,0.62,1,3303561001,6,122,6,30,2,2,1,2,0,,
0,0.088,1,3303565001,2,56,2,30,2,7,1,2,0,,
0.088,0.266,1,3303565001,2,76,2,30,2,7,1,2,0,,
0.266,0.31,1,3303565001,2,50,2,30,2,7,1,2,0,,
0.31,0.419,1,3303565001,2,50,2,30,2,2,1,2,0,,
0.419,0.88,1,3303565001,2,50,2,30,1,2,1,2,0,,
0.88,1.03,1,3303565001,2,50,2,30,2,2,1,2,0,,
1.03,1.09,1,3303565001,2,50,2,30,2,2,1,2,0,,
0,0.375,1,3303566001,2,58,2,35,2,2,1,2,0,,
0.375,0.49,1,3303566001,2,60,2,35,2,2,1,2,0,,
0.49,0.98,1,3303566001,2,60,3,35,2,4,1,2,0,,
0.98,1.065,1,3303566001,2,60,2,35,2,4,1,2,0,,
0,0.108,1,3303570001,2,40,2,30,2,2,1,2,0,,
0.108,0.18,1,3303570001,2,50,2,30,2,2,1,2,0,,
0.18,0.69,1,3303570001,2,40,2,40,2,5,1,2,0,,
0,0.303,1,3303572001,2,46,2,30,2,7,1,2,0,,
0.303,0.31,1,3303572001,2,50,2,30,2,7,1,2,0,,
0.31,1.112,1,3303572001,2,46,2,30,2,7,1,2,0,,
1.112,1.2,1,3303572001,4,88,4,35,2,2,1,2,0,,
0,0.05,1,3303573001,4,84,4,30,2,2,1,2,0,,
0.05,0.1,1,3303573001,3,84,3,30,2,2,1,2,0,,
0.1,0.221,1,3303573001,2,48,2,30,2,2,1,2,0,,
0.221,0.467,1,3303573001,2,48,2,30,2,7,1,2,0,,
0.467,0.547,1,3303573001,2,50,2,30,2,7,1,2,0,,
0.547,0.67,1,3303573001,2,58,2,30,2,7,1,2,0,,
0,0.18,1,3303574001,2,40,2,35,2,4,1,2,0,,
0.18,0.62,1,3303574001,2,54,2,35,2,2,1,2,0,,
0.62,1.73,1,3303574001,3,60,3,35,2,2,1,2,0,,
1.73,1.865,1,3303574001,2,66,2,35,2,4,1,2,0,,
1.865,2.19,1,3303574001,2,50,2,35,2,4,1,2,0,,
0,0.121,1,3303576001,2,40,2,30,2,7,1,2,0,15,
0.121,1.61,1,3303576001,2,40,2,30,2,7,1,2,0,,
1.61,1.72,1,3303576001,2,30,2,30,2,7,1,2,0,,
0,0.866,1,3303577001,4,70,4,40,2,7,1,2,0,,
0.866,0.931,1,3303577001,4,100,4,30,2,7,1,2,2,,
0.931,1,1,3303577001,2,40,2,30,2,7,1,2,0,,
1,1.77,1,3303577001,2,40,2,30,2,4,1,2,0,,
1.77,1.88,1,3303577001,2,42,2,30,2,7,1,2,0,15,
1.88,2.122,1,3303577001,2,46,2,30,2,7,1,2,0,,
2.122,2.226,1,3303577001,2,44,2,30,2,7,1,2,0,,
2.226,2.596,1,3303577001,2,50,2,30,2,7,1,2,0,,
2.596,2.7,1,3303577001,2,40,2,30,2,2,1,2,0,,
2.7,3.35,1,3303577001,2,40,2,30,2,4,1,2,0,,
3.35,5.64,1,3303577001,2,40,2,35,2,7,1,2,0,,
0,0.598,1,3303578001,2,40,2,30,2,7,1,2,0,,
0.598,0.77,1,3303578001,2,40,2,30,2,7,1,2,0,15,
0.77,0.8,1,3303578001,2,40,2,30,2,7,1,2,0,15,
0.8,0.863,1,3303578001,3,80,3,30,2,7,1,2,0,,
0.863,1.17,1,3303578001,4,66,4,30,2,7,1,2,0,,
1.17,1.35,1,3303578001,4,80,4,30,2,7,1,2,0,15,
1.35,1.38,1,3303578001,4,71,4,35,2,7,1,2,0,,
1.38,1.425,1,3303578001,4,60,4,35,2,7,1,2,0,,
1.425,2.308,1,3303578001,4,50,4,35,2,7,1,2,0,,
2.308,2.58,1,3303578001,4,50,4,35,2,7,1,2,0,15,
2.58,3.67,1,3303578001,4,50,4,35,2,7,1,2,0,,
0,0.5,1,3303580001,4,100,4,40,2,2,1,2,0,,
0.5,0.77,1,3303580001,4,120,4,40,2,4,1,2,0,,
0.77,0.88,1,3303580001,4,100,4,40,2,7,1,2,0,,
0.88,1.54,1,3303580001,4,100,4,45,2,7,1,2,0,,
1.54,1.69,1,3303580001,4,90,4,45,2,2,1,2,0,,
1.69,1.86,1,3303580001,4,110,4,45,2,2,1,2,0,,
1.86,2.045,1,3303580001,4,74,4,45,2,2,1,2,2,,
2.045,2.12,1,3303580001,4,100,4,45,2,2,1,2,0,,
2.12,2.18,1,3303580001,4,100,4,45,2,2,1,2,0,,
0,0.03,1,3303582001,2,60,2,40,2,2,1,2,0,,
0.03,0.43,1,3303582001,2,44,2,40,2,4,1,2,0,,
0.43,2.71,1,3303582001,2,40,2,40,2,7,1,2,0,,
2.71,2.775,1,3303582001,2,50,2,40,2,4,1,2,0,,
0,0.11,1,3303584001,2,36,2,,3,7,1,2,0,,25
0,0.095,1,3303587001,2,70,2,35,2,4,1,2,0,,
0.095,0.414,1,3303587001,4,60,4,35,2,7,1,2,0,,
0.414,0.455,1,3303587001,4,70,4,35,2,4,1,2,0,,
0.455,1.06,1,3303587001,4,70,4,40,2,4,1,2,0,,
1.06,1.22,1,3303587001,4,70,4,40,2,7,1,2,0,15,
1.22,1.41,1,3303587001,4,70,4,40,2,7,1,2,0,,
1.41,1.61,1,3303587001,4,70,4,40,2,7,1,2,0,15,
1.61,1.79,1,3303587001,4,80,4,40,2,2,1,2,0,,
0,0.23,1,3303588001,4,80,4,40,2,7,1,2,0,,
0.23,1.242,1,3303588001,4,60,4,40,2,7,1,2,0,,
1.242,1.42,1,3303588001,4,60,4,40,2,7,1,2,0,15,
1.42,1.49,1,3303588001,4,60,4,40,2,7,1,2,0,,
1.49,2.66,1,3303588001,4,74,4,40,2,2,1,2,0,,
2.66,2.77,1,3303588001,4,96,4,40,2,2,1,2,0,,
2.77,2.95,1,3303588001,4,74,4,40,2,2,1,2,0,,
2.95,3.14,1,3303588001,4,74,4,40,2,2,1,2,0,15,
3.14,3.3,1,3303588001,4,74,4,40,2,2,1,2,0,,
3.3,4.11,1,3303588001,4,60,4,40,2,2,1,2,0,,
4.11,4.19,1,3303588001,4,72,4,40,2,2,1,2,0,,
4.19,4.31,1,3303588001,4,200,4,40,2,2,1,2,0,,
0,0.035,1,3303589001,4,80,4,35,2,7,1,2,0,,
0.035,0.15,1,3303589001,3,80,3,35,2,7,1,2,0,,
0.15,0.35,1,3303589001,3,50,3,35,2,7,1,2,0,,
0.35,0.905,1,3303589001,2,50,2,35,2,7,1,2,0,,
0.905,1.003,1,3303589001,4,78,4,35,2,2,1,2,0,,
1.003,1.309,1,3303589001,4,70,4,40,2,2,1,2,0,,
1.309,1.85,1,3303589001,4,70,4,40,2,7,1,2,0,,
1.85,1.97,1,3303589001,4,70,4,40,2,7,1,2,0,15,
1.97,2.38,1,3303589001,2,60,2,40,2,7,1,2,0,,
0,0.2,1,3303590001,4,54,4,35,2,2,1,2,0,,
0.2,0.581,1,3303590001,4,60,4,35,2,2,1,2,0,,
0.581,1.06,1,3303590001,4,100,4,35,2,2,1,2,0,,
1.06,1.208,1,3303590001,4,100,4,35,2,2,1,2,0,15,
1.208,1.35,1,3303590001,4,70,4,35,2,2,1,2,0,15,
1.35,1.405,1,3303590001,2,36,2,35,2,7,1,2,0,15,
1.405,1.697,1,3303590001,2,36,2,35,2,7,1,2,0,,
1.697,2.05,1,3303590001,2,44,2,35,2,7,1,2,0,,
0,0.16,1,3303591001,4,120,4,40,2,9,1,2,0,,
0.16,0.28,1,3303591001,2,100,2,40,2,9,1,2,0,,
0.28,0.81,1,3303591001,2,40,2,40,2,7,1,2,0,,
0.81,0.86,1,3303591001,2,40,2,40,2,7,1,2,0,,
0.86,2.903,1,3303591001,2,50,2,40,2,0,,2,0,,
2.903,3.055,1,3303591001,2,70,2,40,2,2,,2,0,,
3.055,3.15,1,3303591001,3,70,3,40,2,2,,2,0,15,
3.15,3.296,1,3303591001,2,44,2,40,2,0,,2,0,15,
3.296,3.643,1,3303591001,2,44,2,40,2,0,,2,0,,
3.643,4.14,1,3303591001,2,50,2,40,2,0,,2,0,,
4.14,4.46,1,3303591001,2,50,2,30,2,0,,2,0,,
4.46,4.55,1,3303591001,2,30,2,30,2,0,,2,0,,
4.55,4.95,1,3303591001,2,50,2,30,2,0,,2,0,,
0,0.064,1,3303592001,2,50,2,30,2,2,1,2,0,,
0.064,0.11,1,3303592001,2,50,2,30,2,7,1,2,0,,
0.11,0.369,1,3303592001,2,40,2,30,2,4,1,2,0,,
0.369,1.059,1,3303592001,2,40,2,35,2,7,1,2,0,,
1.059,1.167,1,3303592001,2,70,2,35,2,2,1,2,0,,
0,0.187,1,3303593001,2,50,2,40,2,2,1,2,0,,
0.187,2.02,1,3303593001,2,50,2,40,2,4,1,2,0,,
2.02,2.12,1,3303593001,2,60,2,40,2,7,1,2,0,,
2.12,2.227,1,3303593001,2,80,2,40,2,2,1,2,0,,
0,0.15,1,3303594001,2,50,2,40,2,7,1,2,0,,
0.15,0.27,1,3303594001,2,50,2,40,2,7,1,2,0,15,
0.27,0.39,1,3303594001,2,50,3,40,2,7,1,2,0,15,
