,BLM,ELM,Co. Seq.,ID_NUMBER,Thru_Lanes,ROW ,Num_Lns,Spd_Limit,Terrain,Land_Use,Illum,Operation,Acc_Ctrl,Sch Spd Limit,Truck Spd Limit,BLM_Lat,BLM_Long,ELM_Lat,ELM_Long
0,0.0,0.37,1,330D390001,2,32,2,,,9.0,,2,0,,,0.0,0.0,0,0
1,0.0,0.09,1,330E038001,2,50,2,,2.0,7.0,1.0,2,0,,,0.0,0.0,0,0
2,0.0,0.32,1,330F201001,2,50,2,,3.0,,,2,0,,,0.0,0.0,0,0
3,0.32,1.33,1,330F201001,2,50,2,30.0,3.0,,,2,0,,,0.0,0.0,0,0
4,1.33,1.38,1,330F201001,2,60,2,15.0,3.0,,,2,0,,,0.0,0.0,0,0
5,0.0,0.72,2,330F201002,2,30,2,,3.0,,,2,0,,,0.0,0.0,0,0
6,0.0,0.21,3,330F201003,2,60,2,,3.0,,,2,0,,,0.0,0.0,0,0
7,0.0,0.09,1,330F202001,2,50,2,,3.0,,,2,0,,,0.0,0.0,0,0
8,0.09,0.19,1,330F202001,2,30,2,,3.0,,,2,0,,,0.0,0.0,0,0
9,0.0,3.065,1,330F501001,2,30,2,,2.0,5.0,,2,0,,,0.0,0.0,0,0
10,0.98,1.065,1,3303566001,2,60,2,35.0,2.0,4.0,1.0,2,0,,,35.03818357,-85.2945108,0,0
11,1.85,2.0180000000000002,1,3305770001,3,86,3,45.0,2.0,7.0,1.0,1,0,15.0,,35.01338391,-85.24915764,0,0
12,1.652,1.8730000000000002,1,3305775001,2,48,2,,2.0,0.0,,2,0,,,35.17085716,-85.23449493,0,0
13,1.173,1.1740000000000002,1,3305783001,2,44,2,25.0,2.0,7.0,1.0,2,0,,,34.98950113,-85.15887104,0,0
14,0.0,0.18100000000000002,1,330A001001,2,56,2,,2.0,7.0,,2,0,,,35.09108943,-85.2843364,0,0
15,0.0,0.10800000000000001,1,330A002001,1,28,1,,2.0,7.0,1.0,2,0,,,35.10619947,-85.33293549,0,0
16,0.0,0.10300000000000001,1,330A005001,1,28,1,,2.0,7.0,1.0,2,0,,,35.10626647,-85.33161049,0,0
17,0.0,0.35200000000000004,1,330A012001,1,28,1,,2.0,7.0,,2,0,,,35.05281636,-85.3316255,0,0
