BLM,ELM,Co. Seq.,ID_NUMBER,AADT,DHV,Peak Hour %,Drct Dist.,Pass Car %,SU Truck %,MU Truck %
0.95,3.12,1,3301406001,14220,12,10,65,87,2,11
3.12,5.01,1,3301406001,10660,11,9,65,87,2,11
5.01,7.86,1,3301406001,5030,11,9,65,98,1,1
0,1.55,1,3301431001,5980,12,10,65,99,0,1
0,2.58,1,3302154001,5000,13,11,65,95,5,0
2.58,5.39,1,3302154001,1940,12,10,65,99,0,1
0,3.32,1,3302156001,2010,12,10,65,98,1,1
0,2.26,1,3302158001,3120,16,14,65,93,7,0
2.26,4.26,1,3302158001,690,15,13,65,93,7,0
0,2.82,1,3302160001,250,13,11,65,99,1,0
2.82,6.04,1,3302160001,920,14,12,65,99,1,0
0,2.207,1,3302162001,11480,12,10,65,98,1,1
2.207,4.96,1,3302162001,8730,12,10,65,98,1,1
0,2.81,1,3302199001,3370,12,10,65,99,1,0
0,1.44,1,3302201001,2980,14,12,65,99,0,1
1.44,2.1,1,3302201001,9290,11,9,65,99,0,1
0,6.28,1,3302205001,3390,11,9,65,98,1,1
0,3.58,1,3302207001,7520,12,10,65,98,1,1
3.58,6.13,1,3302207001,7700,11,9,65,98,1,1
6.13,7.11,1,3302207001,1430,12,10,65,98,1,1
0,0.43,1,3302209001,7390,11,9,65,90,2,8
0.43,1.545,1,3302209001,4350,12,10,65,90,2,8
1.545,2.99,1,3302209001,2630,16,14,65,90,2,8
0,4.539,1,3302211001,1770,13,11,65,98,1,1
4.539,7.76,1,3302211001,740,13,11,65,98,1,1
7.76,9.37,1,3302211001,1090,12,10,65,96,3,1
0,0.63,1,3302213001,1350,12,10,65,93,7,0
0,1.19,1,3302215001,680,12,10,65,93,7,0
0,4.07,1,3302217001,430,15,13,65,100,0,0
0,1.512,1,3302219001,3030,15,13,65,100,0,0
1.512,4.364,1,3302219001,290,14,12,65,98,1,1
4.364,6.18,1,3302219001,260,13,11,65,98,1,1
0,3.134,1,3302221001,1960,12,10,65,99,1,0
3.134,5.45,1,3302221001,440,12,10,65,99,1,0
0,2.52,1,3302223001,440,12,10,65,98,1,1
0,1.99,1,3302227001,420,13,11,65,98,1,1
0,0.365,1,3303542001,18750,12,10,65,87,2,11
0.365,1.795,1,3303542001,13280,13,11,65,87,2,11
1.795,2.05,1,3303542001,8620,13,11,65,98,1,1
0,1.04,1,3303546001,17270,10,8,65,93,2,5
1.04,1.302,1,3303546001,13580,14,12,65,99,1,0
1.302,1.53,1,3303546001,9420,12,10,100,88,3,9
0,0.41,1,3303547001,6160,12,10,100,93,4,3
0.41,0.58,1,3303547001,1690,16,14,100,93,4,3
0.58,0.82,1,3303547001,1750,14,12,65,93,4,3
0,0.03,1,3303548001,3250,15,13,100,93,4,3
0.03,0.15,1,3303548001,3250,15,13,100,93,4,3
0.15,0.29,1,3303548001,1810,15,13,65,93,4,3
0.29,0.865,1,3303548001,2240,16,14,100,93,4,3
0,0.215,1,3303549001,7440,14,12,65,88,3,9
0.215,0.43,1,3303549001,7440,14,12,65,88,3,9
0.43,0.599,1,3303549001,5000,14,12,65,88,3,9
0.599,0.84,1,3303549001,5000,14,12,65,88,3,9
0,0.27,1,3303550001,4950,16,14,65,93,4,3
0.27,0.74,1,3303550001,3160,13,11,100,93,4,3
0,0.46,1,3303551001,9450,15,13,65,91,4,5
0,0.69,1,3303552001,18840,11,9,53,88,3,9
0.69,1.296,1,3303552001,15810,10,8,65,88,3,9
1.296,2.48,1,3303552001,12970,11,9,65,93,3,4
2.48,2.86,1,3303552001,10350,11,9,65,92,3,5
0,0.29,1,3303553001,6560,12,10,65,93,4,3
0.29,0.54,1,3303553001,5970,12,10,65,93,4,3
0,0.75,1,3303554001,9950,10,8,65,93,3,4
0.75,2.2,1,3303554001,14500,11,9,65,93,3,4
0,0.44,1,3303556001,16080,11,9,65,88,3,9
0.44,1.21,1,3303556001,13030,11,9,65,97,1,2
1.21,2.42,1,3303556001,13190,12,10,65,97,1,2
2.42,3.32,1,3303556001,13470,12,10,65,97,1,2
3.32,4.16,1,3303556001,22270,13,11,65,92,3,5
4.16,5.59,1,3303556001,16800,11,9,59,92,3,5
0,0.81,1,3303557001,8160,11,9,65,89,2,9
0.81,2.14,1,3303557001,11810,11,9,65,89,2,9
0,0.402,1,3303559001,1620,15,13,65,93,4,3
0.402,0.55,1,3303559001,0,0,,,,,
0.55,1,1,3303559001,3870,12,10,65,93,4,3
1,1.27,1,3303559001,5480,12,10,65,93,4,3
0,0.12,1,3303560001,2710,11,9,65,93,4,3
0,0.62,1,3303561001,9160,13,11,56,88,3,9
0,0.83,1,3303565001,1880,15,13,65,93,4,3
0.83,1.09,1,3303565001,3310,14,12,65,93,4,3
0,0.185,1,3303566001,2540,14,12,65,93,4,3
0.185,1.06,1,3303566001,3540,12,10,65,93,4,3
0,0.69,1,3303570001,6620,10,8,65,93,3,4
0,0.303,1,3303572001,2770,11,9,65,98,2,0
0.303,1.2,1,3303572001,11390,11,9,65,96,1,3
0,0.67,1,3303573001,5160,10,8,65,93,3,4
0,0.61,1,3303574001,4440,12,10,65,98,2,0
0.61,2.19,1,3303574001,8120,11,9,65,95,1,4
0,0.847,1,3303576001,6340,11,9,65,96,1,3
0.847,1.72,1,3303576001,4350,13,11,65,96,1,3
0,0.9,1,3303577001,9670,11,9,65,94,1,5
0.9,3.35,1,3303577001,7060,10,8,65,95,3,2
3.35,4.92,1,3303577001,4060,12,10,65,95,3,2
4.92,5.64,1,3303577001,2320,14,12,65,95,3,2
0,0.863,1,3303578001,11380,11,9,65,94,1,5
0.863,1.3,1,3303578001,14650,11,9,65,95,3,2
1.3,2.259,1,3303578001,12110,11,9,65,95,3,2
2.259,3.67,1,3303578001,11520,12,10,65,95,3,2
0,1.78,1,3303580001,28810,10,8,65,92,3,5
1.78,2.18,1,3303580001,25210,12,10,65,92,3,5
0,2.775,1,3303582001,8020,11,9,65,95,5,0
0,0.11,1,3303584001,1670,13,11,65,99,1,0
0,1.79,1,3303587001,18190,11,9,65,93,2,5
0,1.53,1,3303588001,17760,16,14,65,93,2,5
1.53,2.66,1,3303588001,21540,12,10,65,93,2,5
2.66,4.31,1,3303588001,28190,10,8,65,93,2,5
0,2.1,1,3303589001,14300,13,11,65,93,2,5
2.1,2.38,1,3303589001,17410,13,11,65,93,2,5
