BLM,ELM,Co. Seq.,ID_NUMBER,AADT,DHV,Peak Hour %,Drct Dist.,Pass Car %,SU Truck %,MU Truck %
0.31,2.28,1,33SR038001,5240,11,9,65,86,4,10
2.28,2.95,1,33SR038001,10080,11,9,65,93,2,5
0,0.949,1,33SR058001,7030,12,10,65,98,1,1
0.949,2.17,1,33SR058001,7000,12,10,65,98,1,1
2.17,2.85,1,33SR058001,4530,12,10,65,64,11,25
2.85,3.35,1,33SR058001,8790,14,12,65,81,6,13
3.35,4.36,1,33SR058001,10190,11,9,65,84,5,11
4.36,4.57,1,33SR058001,14740,12,10,65,89,3,8
4.57,6.29,1,33SR058001,39370,10,8,65,93,3,4
6.29,7.62,1,33SR058001,30250,11,9,68,92,3,5
7.62,10.43,1,33SR058001,24710,12,10,65,90,4,6
10.43,12.86,1,33SR058001,15600,12,10,69,84,6,10
12.86,15.72,1,33SR058001,13640,12,10,68,82,7,11
15.72,19.92,1,33SR058001,9260,12,10,68,97,2,1
19.92,26.19,1,33SR058001,4750,12,10,65,94,4,2
0,0.12,1,33SR060001,7260,11,9,65,95,4,1
0.12,1.6,1,33SR060001,5130,11,9,65,92,6,2
0,1.045,2,33SR060002,5130,11,9,65,92,6,2
1.045,1.98,2,33SR060002,3080,14,12,65,88,9,3
0,0.22,3,33SR060003,4430,12,10,65,93,2,5
0,7.35,1,33SR111001,8820,10,8,63,82,12,6
0,0.64,1,33SR134001,840,11,9,65,92,4,4
0,2.337,1,33SR148001,2010,12,10,65,96,2,2
2.337,3.98,1,33SR148001,4420,11,9,65,98,1,1
0,0.94,1,33SR153001,76860,10,8,60,93,3,4
0.94,1.67,1,33SR153001,75610,11,9,55,95,3,2
1.67,2.51,1,33SR153001,72840,10,8,55,95,3,2
2.51,3.32,1,33SR153001,72870,10,8,55,95,3,2
3.32,4.02,1,33SR153001,71090,11,9,55,95,3,2
4.02,4.7,1,33SR153001,75340,10,8,60,95,3,2
4.7,5.56,1,33SR153001,76180,10,8,50,95,3,2
5.56,7.18,1,33SR153001,50350,11,9,65,92,5,3
7.18,8.01,1,33SR153001,47830,11,9,54,92,5,3
8.01,8.88,1,33SR153001,44820,11,9,65,92,5,3
8.88,9.66,1,33SR153001,45300,11,9,60,90,1,9
9.66,12.48,1,33SR153001,32140,11,9,59,85,2,13
12.48,12.87,1,33SR153001,34480,11,9,58,86,2,12
0,8.464,1,33SR312001,700,11,9,65,88,6,6
8.464,12.38,1,33SR312001,2070,12,10,65,96,2,2
12.38,14.26,1,33SR312001,4910,11,9,65,98,1,1
14.26,16.31,1,33SR312001,4120,12,10,65,95,4,1
16.31,17.75,1,33SR312001,2970,14,12,65,92,6,2
0,0.23,1,33SR316001,15100,11,9,65,97,3,0
0,0.79,1,33SR317001,6080,11,9,65,64,11,25
0.79,2.42,1,33SR317001,21980,11,9,65,90,3,7
2.42,4.78,1,33SR317001,17080,11,9,65,87,4,9
4.78,7.645,1,33SR317001,15660,11,9,65,98,1,1
7.645,8.81,1,33SR317001,17800,9,7,65,98,1,1
8.81,11.075,1,33SR317001,5600,11,9,65,98,1,1
11.075,13.065,1,33SR317001,4340,11,9,65,98,1,1
13.065,14.81,1,33SR317001,1350,12,10,65,92,4,4
14.81,15.76,1,33SR317001,1030,11,9,65,98,1,1
0,1.05,1,33SR318001,1290,12,10,65,96,3,1
0,1.98,1,33SR319001,27320,11,9,63,97,1,2
1.98,3.26,1,33SR319001,25090,12,10,70,97,1,2
3.26,3.63,1,33SR319001,14900,13,11,75,94,2,4
3.63,4.35,1,33SR319001,9780,11,9,69,91,3,6
4.35,4.79,1,33SR319001,30820,10,8,65,88,3,9
4.79,6.45,1,33SR319001,30370,11,9,65,88,3,9
6.45,9.54,1,33SR319001,21130,11,9,65,83,4,13
9.54,12.26,1,33SR319001,17270,13,11,65,98,1,1
12.26,13.479,1,33SR319001,9530,12,10,65,98,1,1
13.479,14.34,1,33SR319001,5410,12,10,65,96,2,2
14.34,15.81,1,33SR319001,2990,13,11,65,94,3,3
15.81,19.19,1,33SR319001,1040,15,13,65,95,5,0
19.19,20.51,1,33SR319001,3370,12,10,65,99,1,0
20.51,21.29,1,33SR319001,4930,12,10,65,99,1,0
0,1.66,1,33SR320001,14820,11,9,65,96,1,3
1.66,2.61,1,33SR320001,42060,10,8,65,88,2,10
2.61,3.82,1,33SR320001,28570,10,8,65,82,3,15
3.82,5.64,1,33SR320001,19580,11,9,65,74,4,22
5.64,7.27,1,33SR320001,13100,11,9,65,60,7,33
0,0.93,1,33SR321001,8650,11,9,65,98,1,1
0.93,3.49,1,33SR321001,9870,12,10,65,98,1,1
3.49,5.41,1,33SR321001,9600,11,9,65,98,1,1
5.41,7.09,1,33SR321001,10040,11,9,65,97,1,2
0,0.18,1,33SR389001,25980,11,9,72,80,3,17
0.18,0.24,1,33SR389001,19930,12,10,57,74,4,22
