Date,ModelType,TP,TN,FP,FN,Accuracy,Precision,Recall,FPR,Specificity
1/22/20,TS_75-25 Split Test 4,43,294,1739,12,0.161398467,0.024130191,0.781818182,0.855386129,0.144613871
1/21/20,TS_75-25 Split Test 4,34,627,1413,14,0.316570881,0.02349689,0.708333333,0.692647059,0.307352941
1/20/20,TS_75-25 Split Test 4,34,580,1465,9,0.294061303,0.022681788,0.790697674,0.716381418,0.283618582
1/19/20,TS_75-25 Split Test 4,23,415,1642,8,0.209770115,0.013813814,0.741935484,0.798249878,0.201750122
1/24/20,TS_75-25 Split Test 4,27,1104,922,35,0.54166667,0.028451,0.43548387,0.45508391,0.54491609
1/25/20,TS_75-25 Split Test 4,18,1039,1020,11,0.506226054,0.01734104,0.620689655,0.49538611,0.50461389
