Latitude,Longitude,Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Probability,Prediction
35.03554478,-85.38124805,0,1,1,0,0,1,0,0,0,0,0,7,26,0,-1,-1,1555041600,0,0.005600482,0
35.03293009,-85.37402858,4,1,1,0,0,1,0,0,0,0,0,7,26,0,-1,-1,1555056000,0,0.0056006014,0
35.03031498,-85.36680959,8,2,1,0,0,0,1,0,0,1,0,7,26,0,-1,-1,1555070400,0.059,0.015529871,0
35.02769945,-85.35959106,12,3,1,0,0,1,0,0,0,0,0,7,26,0,-1,-1,1555084800,0,0.005605221,0
35.0250835,-85.35237302,16,4,1,0,0,1,0,0,0,0,0,7,26,0,-1,-1,1555099200,0,0.005609274,0
35.02246714,-85.34515544,20,1,1,0,0,1,0,0,0,0,0,7,26,0,-1,-1,1555113600,0,0.0056004226,0
35.01985035,-85.33793834,23,1,1,0,0,1,0,0,0,0,0,7,26,0,-1,-1,1555124400,0,0.0056004524,0
35.01723315,-85.33072172,0,1,1,0,0,1,0,0,0,0,1,8,26,0,7,12,1555041600,0,0.0056027174,0
35.01461554,-85.32350557,4,1,1,0,0,1,0,0,0,0,1,8,26,0,7,12,1555056000,0,0.0056040883,0
35.0119975,-85.3162899,8,2,1,0,0,0,1,0,0,1,1,8,26,0,7,12,1555070400,0.062,0.02418986,0
35.00937905,-85.3090747,12,3,1,0,0,1,0,0,0,0,1,8,26,0,7,12,1555084800,0,0.0056396723,0
35.00676018,-85.30185997,16,4,1,0,0,1,0,0,0,0,1,8,26,0,7,12,1555099200,0,0.0058261454,0
35.00414089,-85.29464572,20,1,1,0,0,1,0,0,0,0,1,8,26,0,7,12,1555113600,0,0.0056040585,0
35.00152119,-85.28743195,23,1,1,0,0,1,0,0,0,0,1,8,26,0,7,12,1555124400,0,0.0056022704,0
34.99890107,-85.28021865,0,1,1,0,0,1,0,0,0,0,2,9,26,1,7,9,1555041600,0,0.005608946,0
34.99628053,-85.27300582,4,1,1,0,0,1,0,0,0,0,2,9,26,1,7,9,1555056000,0,0.0056153834,0
34.99365958,-85.26579347,8,2,1,0,0,0,1,0,0,1,2,9,26,1,7,9,1555070400,0.066,0.24085787,0
34.99103821,-85.25858159,12,3,1,0,0,1,0,0,0,0,2,9,26,1,7,9,1555084800,0,0.0068441927,0
34.98841642,-85.25137019,16,4,1,0,0,1,0,0,0,0,2,9,26,1,7,9,1555099200,0,0.009399086,0
35.04148291,-85.37806909,20,1,1,0,0,1,0,0,0,0,2,9,26,1,7,9,1555113600,0,0.005623281,0
35.03886802,-85.37084922,23,1,1,0,0,1,0,0,0,0,2,9,26,1,7,9,1555124400,0,0.005613327,0
35.03625271,-85.36362982,0,1,1,0,0,1,0,0,0,0,3,10,26,1,0,5,1555041600,0,0.0062802136,0
35.03363698,-85.35641089,4,1,1,0,0,1,0,0,0,0,3,10,26,1,0,5,1555056000,0,0.0068796575,0
35.03102084,-85.34919244,8,2,1,0,0,0,1,0,0,1,3,10,26,1,0,5,1555070400,0.069,0.022267312,0
35.02840427,-85.34197446,12,3,1,0,0,1,0,0,0,0,3,10,26,1,0,5,1555084800,0,0.01909554,0
35.02578729,-85.33475696,16,4,1,0,0,0,0,1,0,0,3,10,26,1,0,5,1555099200,0,0.01262942,0
35.02316989,-85.32753993,20,1,1,0,0,1,0,0,0,0,3,10,26,1,0,5,1555113600,0,0.006236255,0
35.02055207,-85.32032337,23,1,1,0,0,1,0,0,0,0,3,10,26,1,0,5,1555124400,0,0.0059809685,0
35.01793384,-85.31310729,0,1,1,0,0,1,0,0,0,0,4,11,26,1,0,1,1555041600,0,0.005623877,0
35.01531519,-85.30589169,4,1,1,0,0,1,0,0,0,0,4,11,26,1,0,1,1555056000,0,0.005640179,0
35.01269612,-85.29867656,8,2,1,0,0,0,1,0,0,1,4,11,26,1,0,1,1555070400,0.073,0.018832535,0
35.01007663,-85.29146191,12,3,1,0,0,1,0,0,0,0,4,11,26,1,0,1,1555084800,0,0.006099999,0
35.00745673,-85.28424773,16,4,1,0,0,0,0,1,0,0,4,11,26,1,0,1,1555099200,0,0.0058207214,0
35.00483641,-85.27703402,20,1,1,0,0,1,0,0,0,0,4,11,26,1,0,1,1555113600,0,0.005626321,0
35.00221568,-85.26982079,23,1,1,0,0,1,0,0,0,0,4,11,26,1,0,1,1555124400,0,0.0056174994,0
34.99959452,-85.26260804,0,1,1,0,0,1,0,0,0,0,5,12,26,1,0,5,1555041600,0,0.0061370134,0
34.99697295,-85.25539576,4,1,1,0,0,1,0,0,0,0,5,12,26,1,0,5,1555056000,0,0.006472796,0
34.99435097,-85.24818396,8,2,1,0,0,0,1,0,0,1,5,12,26,1,0,5,1555070400,0.077,0.021630555,0
34.99172857,-85.24097263,12,3,1,0,0,1,0,0,0,0,5,12,26,1,0,5,1555084800,0,0.0148124695,0
34.98910575,-85.23376178,16,4,1,0,0,1,0,0,0,0,5,12,26,1,0,5,1555099200,0,0.016149044,0
35.04742094,-85.37488966,20,1,1,0,0,1,0,0,0,0,5,12,26,1,0,5,1555113600,0,0.006262839,0
35.04480585,-85.36766938,23,1,1,0,0,1,0,0,0,0,5,12,26,1,0,5,1555124400,0,0.0060447156,0
35.04219034,-85.36044957,0,1,1,0,0,1,0,0,0,0,6,13,26,1,0,4,1555041600,0,0.0058714747,0
35.03957441,-85.35323024,4,1,1,0,0,1,0,0,0,0,6,13,26,1,0,4,1555056000,0,0.0060324073,0
35.03695807,-85.34601138,8,2,1,0,0,0,1,0,0,1,6,13,26,1,0,4,1555070400,0.08,0.021376282,0
35.03434131,-85.338793,12,3,1,0,0,1,0,0,0,0,6,13,26,1,0,4,1555084800,0,0.009033084,0
35.03172413,-85.33157509,16,4,1,0,0,1,0,0,0,0,6,13,26,1,0,4,1555099200,0,0.010200858,0
35.02910653,-85.32435765,20,1,1,0,0,1,0,0,0,0,6,13,26,1,0,4,1555113600,0,0.005990982,0
35.02648851,-85.31714069,23,1,1,0,0,1,0,0,0,0,6,13,26,1,0,4,1555124400,0,0.005865425,0
35.02387008,-85.30992421,0,1,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555041600,0,0.0060703456,0
35.02125123,-85.3027082,4,1,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555056000,0,0.006301552,0
35.01863196,-85.29549267,8,2,1,0,0,0,1,0,0,1,7,14,26,1,0,5,1555070400,0.083,0.022748798,0
35.01601227,-85.28827761,12,3,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555084800,0,0.010071248,0
35.01339217,-85.28106303,16,4,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555099200,0,0.011484295,0
35.01077165,-85.27384892,20,1,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555113600,0,0.0062772334,0
35.00815072,-85.26663529,23,1,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555124400,0,0.006083101,0
35.00552937,-85.25942213,0,1,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555041600,0,0.005601257,0
35.0029076,-85.25220945,4,1,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555056000,0,0.0056017935,0
35.00028541,-85.24499725,8,2,1,0,0,0,1,0,0,1,8,15,26,0,2,13,1555070400,0.087,0.0110063255,0
34.99766281,-85.23778552,12,3,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555084800,0,0.005608946,0
34.9950398,-85.23057426,16,4,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555099200,0,0.0056137145,0
34.99241637,-85.22336348,20,1,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555113600,0,0.0056016743,0
34.98979252,-85.21615318,23,1,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555124400,0,0.0056010485,0
34.98716825,-85.20894335,0,1,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555041600,0,0.005603999,0
35.05335886,-85.37170975,4,1,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555056000,0,0.0056052804,0
35.05074357,-85.36448906,8,2,1,0,0,0,1,0,0,1,9,16,26,0,7,17,1555070400,0.091,0.033566743,0
35.04812786,-85.35726885,12,3,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555084800,0,0.00562945,0
35.04551174,-85.35004912,16,4,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555099200,0,0.005651921,0
35.0428952,-85.34282985,20,1,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555113600,0,0.0056043267,0
35.04027824,-85.33561106,23,1,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555124400,0,0.005600989,0
35.03766086,-85.32839275,0,1,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555041600,0,0.0056036413,0
35.03504306,-85.32117491,4,1,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555056000,0,0.005604923,0
35.03242484,-85.31395755,8,2,1,0,0,0,1,0,0,1,10,17,26,0,7,11,1555070400,0.095,0.025733083,0
35.02980621,-85.30674066,12,3,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555084800,0,0.005624026,0
35.02718716,-85.29952425,16,4,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555099200,0,0.0056571066,0
35.0245677,-85.29230831,20,1,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555113600,0,0.00560531,0
35.02194781,-85.28509285,23,1,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555124400,0,0.005602926,0
35.01932751,-85.27787786,0,1,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555041600,0,0.0056028664,0
35.01670679,-85.27066335,4,1,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555056000,0,0.0056039393,0
35.01408566,-85.26344931,8,2,1,0,0,0,1,0,0,1,11,18,26,0,7,10,1555070400,0.099,0.024328649,0
35.01146411,-85.25623575,12,3,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555084800,0,0.005619973,0
35.00884214,-85.24902267,16,4,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555099200,0,0.005648941,0
35.00621976,-85.24181006,20,1,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555113600,0,0.0056040883,0
35.00359696,-85.23459792,23,1,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555124400,0,0.0056023896,0
35.00097374,-85.22738626,0,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555041600,0,0.0055751503,0
34.99835011,-85.22017508,4,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555056000,0,0.00558424,0
34.99572606,-85.21296438,8,2,1,0,0,0,1,0,0,1,12,19,26,0,7,24,1555070400,0.102,0.06738967,0
34.9931016,-85.20575415,12,3,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555084800,0,0.0057189465,0
34.99047672,-85.1985444,16,4,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555099200,0,0.0057985187,0
