Latitude,Longitude,Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Probability,Prediction
35.02125123,-85.3027082,4,1,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555056000,0,0.0036020875,0
35.01863196,-85.29549267,8,2,1,0,0,0,1,0,0,1,7,14,26,1,0,5,1555070400,0.083,7.066131E-05,0
35.01601227,-85.28827761,12,3,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555084800,0,0.8854512,1
35.01339217,-85.28106303,16,4,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555099200,0,0.9365602,1
35.01077165,-85.27384892,20,1,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555113600,0,0.004983127,0
35.00815072,-85.26663529,23,1,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555124400,0,0.0043420196,0
35.00552937,-85.25942213,0,1,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555041600,0,3.8146973E-06,0
35.0029076,-85.25220945,4,1,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555056000,0,3.9041042E-06,0
35.00028541,-85.24499725,8,2,1,0,0,0,1,0,0,1,8,15,26,0,2,13,1555070400,0.087,0.00059068203,0
34.99766281,-85.23778552,12,3,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555084800,0,5.7816505E-06,0
34.9950398,-85.23057426,16,4,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555099200,0,7.5399876E-06,0
34.99241637,-85.22336348,20,1,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555113600,0,4.0233135E-06,0
34.98979252,-85.21615318,23,1,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555124400,0,3.9339066E-06,0
34.98716825,-85.20894335,0,1,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555041600,0,4.798174E-06,0
