Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP
48.16176460069769,0.29510274952482374,47.512864493996574,0.2965403600879338,0.9979693730681203,1385,0,1530,0
48.16176460069769,0.2688867450595237,47.512864493996574,0.2695651834919339,1.0,1385,0,1530,0
48.16176460069769,0.24264776686467737,47.512864493996574,0.2425090057345537,1.0,1385,0,1530,0
48.16176460069769,0.21325840721462808,47.512864493996574,0.21249669790267944,1.0,1385,0,1530,0
99.94117652668673,0.1737659728227584,99.9656946826758,0.17269982480340534,1.0,1385,0,1,1529
99.94117652668673,0.1417196137003192,99.9656946826758,0.1406823406959402,1.0,1385,0,1,1529
99.94117652668673,0.12721917189024637,100.0,0.1262496210358761,1.0,1385,0,0,1530
99.95588239501504,0.11560618914846406,100.0,0.11472761599967878,1.0,1385,0,0,1530
99.95588239501504,0.10689949202740524,100.0,0.10607504060393885,1.0,1385,0,0,1530
99.95588239501504,0.09889930860084649,100.0,0.09816118657588958,1.0,1385,0,0,1530
99.97058826334336,0.09077758782050188,100.0,0.09012534826993943,1.0,1385,0,0,1530
100.0,0.08218601476244565,100.0,0.08167197683027812,1.0,1385,0,0,1530
100.0,0.075706151272992,100.0,0.07526777731254697,1.0,1385,0,0,1530
100.0,0.07204387183575069,100.0,0.07163495430722833,1.0,1385,0,0,1530
100.0,0.06862227841937804,100.0,0.06825057743117213,1.0,1385,0,0,1530
100.0,0.06543788241277286,100.0,0.065093491692096,1.0,1385,0,0,1530
100.0,0.06246270175667151,100.0,0.062136020977050066,0.9999999999999999,1385,0,0,1530
100.0,0.0596608881948187,100.0,0.0593679454177618,1.0,1385,0,0,1530
100.0,0.057042326511103005,100.0,0.056773202726617455,1.0,1385,0,0,1530
100.0,0.05459674186182811,100.0,0.054336311062797904,1.0,1385,0,0,1530
100.0,0.0522889935562168,100.0,0.052045406540855765,1.0,1385,0,0,1530
100.0,0.0501141868504312,100.0,0.04988813167437911,1.0,1385,0,0,1530
100.0,0.04806792292305652,100.0,0.0478552901186049,1.0,1385,0,0,1530
100.0,0.04614062063560327,100.0,0.04593859217129648,1.0,1385,0,0,1530
100.0,0.04431643682148526,100.0,0.04412928968667984,1.0,1385,0,0,1530
100.0,0.04260093119570657,100.0,0.042417510878294706,1.0,1385,0,0,1530
100.0,0.040967259350616264,100.0,0.040797061985358596,1.0,1385,0,0,1530
100.0,0.03941628493039924,100.0,0.03926275763660669,1.0,1385,0,0,1530
100.0,0.037953691824120186,100.0,0.03780898847617209,1.0,1385,0,0,1530
100.0,0.03656999069704291,100.0,0.03643010463565588,1.0,1385,0,0,1530
100.0,0.03525224111645537,100.0,0.03511984972283244,1.0,1385,0,0,1530
100.0,0.03400126113967203,100.0,0.03387334640137851,0.9999999999999999,1385,0,0,1530
100.0,0.032807309700943095,100.0,0.032688309671357274,1.0,1385,0,0,1530
100.0,0.03166765478261582,100.0,0.03155996708665043,0.9999999999999999,1385,0,0,1530
100.0,0.03058967680793584,100.0,0.030484857386909425,1.0,1385,0,0,1530
100.0,0.029566402697716567,100.0,0.029459452140145004,1.0,1385,0,0,1530
100.0,0.028577681784928942,100.0,0.028481274959631264,1.0,1385,0,0,1530
100.0,0.02763694495661184,100.0,0.027547231991775334,1.0,1385,0,0,1530
100.0,0.026743043967358326,100.0,0.026655081543140113,1.0,1385,0,0,1530
100.0,0.02588748040965156,100.0,0.0258019941393286,1.0,1385,0,0,1530
100.0,0.02506642920129439,100.0,0.024985882686451077,1.0,1385,0,0,1530
100.0,0.024277949750231693,100.0,0.02420441433787346,1.0,1385,0,0,1530
100.0,0.023531844380640373,100.0,0.02345573657657951,1.0,1385,0,0,1530
100.0,0.02281220563043676,100.0,0.022738564759492874,1.0,1385,0,0,1530
100.0,0.02211920469862354,100.0,0.022050831117667258,1.0,1385,0,0,1530
100.0,0.021451338810627073,100.0,0.021391025162301958,1.0,1385,0,0,1530
100.0,0.02081788850345594,100.0,0.020757518708705902,1.0,1385,0,0,1530
100.0,0.02021005946238909,100.0,0.02014882431831211,1.0,1385,0,0,1530
100.0,0.019627666316570386,100.0,0.019564149319194257,1.0,1385,0,0,1530
100.0,0.019055329218698555,100.0,0.019001931534148753,1.0,1385,0,0,1530
