Grid_Num,cdotYieldCount,cdotStopCount,eTrimsYieldCount,eTrimsStopCount,trafficSignal,trafficSignalCount,coords,Longitudes,Latitudes,Center_Lat,Center_Long,yieldDifference,stopDifference
11,0,8,0,2,0,0,"-85.3308306658746, 34.98311234316594, -85.333281247451, 34.978867811367536, -85.33818241060374, 34.978867811367536, -85.34063299218019, 34.98311234316594, -85.33818241060374, 34.98735687496435, -85.333281247451, 34.98735687496435, -85.3308306658746, 34.98311234316594","-85.3308306658746, -85.333281247451, -85.33818241060374, -85.34063299218019, -85.33818241060374, -85.333281247451, -85.3308306658746","34.98311234316594, 34.978867811367536, 34.978867811367536, 34.98311234316594, 34.98735687496435, 34.98735687496435, 34.98311234316594",34.98311234,-85.33573183,0,6
12,0,43,0,27,0,0,"-85.32347892114541, 34.98735687496435, -85.32592950272175, 34.98311234316594, -85.3308306658746, 34.98311234316594, -85.333281247451, 34.98735687496435, -85.3308306658746, 34.9916014067627, -85.32592950272175, 34.9916014067627, -85.32347892114541, 34.98735687496435","-85.32347892114541, -85.32592950272175, -85.3308306658746, -85.333281247451, -85.3308306658746, -85.32592950272175, -85.32347892114541","34.98735687496435, 34.98311234316594, 34.98311234316594, 34.98735687496435, 34.9916014067627, 34.9916014067627, 34.98735687496435",34.98735687,-85.32838008,0,16
13,0,1,0,1,0,0,"-85.31612717641616, 34.98311234316594, -85.31857775799256, 34.978867811367536, -85.32347892114541, 34.978867811367536, -85.32592950272175, 34.98311234316594, -85.32347892114541, 34.98735687496435, -85.31857775799256, 34.98735687496435, -85.31612717641616, 34.98311234316594","-85.31612717641616, -85.31857775799256, -85.32347892114541, -85.32592950272175, -85.32347892114541, -85.31857775799256, -85.31612717641616","34.98311234316594, 34.978867811367536, 34.978867811367536, 34.98311234316594, 34.98735687496435, 34.98735687496435, 34.98311234316594",34.98311234,-85.32102834,0,0
14,1,6,1,5,0,0,"-85.30877543168691, 34.98735687496435, -85.31122601326342, 34.98311234316594, -85.31612717641616, 34.98311234316594, -85.31857775799256, 34.98735687496435, -85.31612717641616, 34.9916014067627, -85.31122601326342, 34.9916014067627, -85.30877543168691, 34.98735687496435","-85.30877543168691, -85.31122601326342, -85.31612717641616, -85.31857775799256, -85.31612717641616, -85.31122601326342, -85.30877543168691","34.98735687496435, 34.98311234316594, 34.98311234316594, 34.98735687496435, 34.9916014067627, 34.9916014067627, 34.98735687496435",34.98735687,-85.31367659,0,1
15,0,0,0,0,0,0,"-85.30142368695783, 34.98311234316594, -85.30387426853423, 34.978867811367536, -85.30877543168691, 34.978867811367536, -85.31122601326342, 34.98311234316594, -85.30877543168691, 34.98735687496435, -85.30387426853423, 34.98735687496435, -85.30142368695783, 34.98311234316594","-85.30142368695783, -85.30387426853423, -85.30877543168691, -85.31122601326342, -85.30877543168691, -85.30387426853423, -85.30142368695783","34.98311234316594, 34.978867811367536, 34.978867811367536, 34.98311234316594, 34.98735687496435, 34.98735687496435, 34.98311234316594",34.98311234,-85.30632485,0,0
16,0,4,0,3,0,0,"-85.29407194222858, 34.98735687496435, -85.29652252380498, 34.98311234316594, -85.30142368695783, 34.98311234316594, -85.30387426853417, 34.98735687496435, -85.30142368695783, 34.9916014067627, -85.29652252380498, 34.9916014067627, -85.29407194222858, 34.98735687496435","-85.29407194222858, -85.29652252380498, -85.30142368695783, -85.30387426853417, -85.30142368695783, -85.29652252380498, -85.29407194222858","34.98735687496435, 34.98311234316594, 34.98311234316594, 34.98735687496435, 34.9916014067627, 34.9916014067627, 34.98735687496435",34.98735687,-85.29897311,0,1
17,0,14,0,7,0,0,"-85.28672019749939, 34.98311234316594, -85.28917077907573, 34.978867811367536, -85.29407194222858, 34.978867811367536, -85.29652252380498, 34.98311234316594, -85.29407194222858, 34.98735687496435, -85.28917077907573, 34.98735687496435, -85.28672019749939, 34.98311234316594","-85.28672019749939, -85.28917077907573, -85.29407194222858, -85.29652252380498, -85.29407194222858, -85.28917077907573, -85.28672019749939","34.98311234316594, 34.978867811367536, 34.978867811367536, 34.98311234316594, 34.98735687496435, 34.98735687496435, 34.98311234316594",34.98311234,-85.29162136,0,7
18,10,65,1,44,1,8,"-85.27936845277014, 34.98735687496435, -85.28181903434665, 34.98311234316594, -85.28672019749939, 34.98311234316594, -85.28917077907573, 34.98735687496435, -85.28672019749939, 34.9916014067627, -85.28181903434665, 34.9916014067627, -85.27936845277014, 34.98735687496435","-85.27936845277014, -85.28181903434665, -85.28672019749939, -85.28917077907573, -85.28672019749939, -85.28181903434665, -85.27936845277014","34.98735687496435, 34.98311234316594, 34.98311234316594, 34.98735687496435, 34.9916014067627, 34.9916014067627, 34.98735687496435",34.98735687,-85.28426962,9,21
19,0,3,0,2,0,0,"-85.27201670804106, 34.98311234316594, -85.2744672896174, 34.978867811367536, -85.27936845277014, 34.978867811367536, -85.28181903434665, 34.98311234316594, -85.27936845277014, 34.98735687496435, -85.2744672896174, 34.98735687496435, -85.27201670804106, 34.98311234316594","-85.27201670804106, -85.2744672896174, -85.27936845277014, -85.28181903434665, -85.27936845277014, -85.2744672896174, -85.27201670804106","34.98311234316594, 34.978867811367536, 34.978867811367536, 34.98311234316594, 34.98735687496435, 34.98735687496435, 34.98311234316594",34.98311234,-85.27691787,0,1
20,0,12,2,26,0,0,"-85.26466496331182, 34.98735687496435, -85.26711554488821, 34.98311234316594, -85.27201670804106, 34.98311234316594, -85.2744672896174, 34.98735687496435, -85.27201670804106, 34.9916014067627, -85.26711554488821, 34.9916014067627, -85.26466496331182, 34.98735687496435","-85.26466496331182, -85.26711554488821, -85.27201670804106, -85.2744672896174, -85.27201670804106, -85.26711554488821, -85.26466496331182","34.98735687496435, 34.98311234316594, 34.98311234316594, 34.98735687496435, 34.9916014067627, 34.9916014067627, 34.98735687496435",34.98735687,-85.26956613,2,14
21,0,0,0,1,0,0,"-85.16909228183226, 34.98311234316594, -85.17154286340872, 34.978867811367536, -85.17644402656146, 34.978867811367536, -85.17889460813785, 34.98311234316594, -85.17644402656146, 34.98735687496435, -85.17154286340872, 34.98735687496435, -85.16909228183226, 34.98311234316594","-85.16909228183226, -85.17154286340872, -85.17644402656146, -85.17889460813785, -85.17644402656146, -85.17154286340872, -85.16909228183226","34.98311234316594, 34.978867811367536, 34.978867811367536, 34.98311234316594, 34.98735687496435, 34.98735687496435, 34.98311234316594",34.98311234,-85.17399344,0,1
22,0,4,0,1,0,0,"-85.16174053710313, 34.98735687496435, -85.16419111867953, 34.98311234316594, -85.16909228183226, 34.98311234316594, -85.17154286340872, 34.98735687496435, -85.16909228183226, 34.9916014067627, -85.16419111867953, 34.9916014067627, -85.16174053710313, 34.98735687496435","-85.16174053710313, -85.16419111867953, -85.16909228183226, -85.17154286340872, -85.16909228183226, -85.16419111867953, -85.16174053710313","34.98735687496435, 34.98311234316594, 34.98311234316594, 34.98735687496435, 34.9916014067627, 34.9916014067627, 34.98735687496435",34.98735687,-85.1666417,0,3
23,0,0,0,0,0,0,"-85.15438879237394, 34.98311234316594, -85.15683937395028, 34.978867811367536, -85.16174053710313, 34.978867811367536, -85.16419111867953, 34.98311234316594, -85.16174053710313, 34.98735687496435, -85.15683937395028, 34.98735687496435, -85.15438879237394, 34.98311234316594","-85.15438879237394, -85.15683937395028, -85.16174053710313, -85.16419111867953, -85.16174053710313, -85.15683937395028, -85.15438879237394","34.98311234316594, 34.978867811367536, 34.978867811367536, 34.98311234316594, 34.98735687496435, 34.98735687496435, 34.98311234316594",34.98311234,-85.15928996,0,0
24,0,1,0,1,0,0,"-85.14703704764469, 34.98735687496435, -85.14948762922103, 34.98311234316594, -85.15438879237388, 34.98311234316594, -85.15683937395028, 34.98735687496435, -85.15438879237388, 34.9916014067627, -85.14948762922103, 34.9916014067627, -85.14703704764469, 34.98735687496435","-85.14703704764469, -85.14948762922103, -85.15438879237388, -85.15683937395028, -85.15438879237388, -85.14948762922103, -85.14703704764469","34.98735687496435, 34.98311234316594, 34.98311234316594, 34.98735687496435, 34.9916014067627, 34.9916014067627, 34.98735687496435",34.98735687,-85.15193821,0,0
25,0,0,0,1,0,0,"-85.13968530291544, 34.98311234316594, -85.14213588449195, 34.978867811367536, -85.14703704764469, 34.978867811367536, -85.14948762922103, 34.98311234316594, -85.14703704764469, 34.98735687496435, -85.14213588449195, 34.98735687496435, -85.13968530291544, 34.98311234316594","-85.13968530291544, -85.14213588449195, -85.14703704764469, -85.14948762922103, -85.14703704764469, -85.14213588449195, -85.13968530291544","34.98311234316594, 34.978867811367536, 34.978867811367536, 34.98311234316594, 34.98735687496435, 34.98735687496435, 34.98311234316594",34.98311234,-85.14458647,0,1
26,0,0,0,1,0,0,"-85.13233355818636, 34.98735687496435, -85.1347841397627, 34.98311234316594, -85.13968530291544, 34.98311234316594, -85.14213588449195, 34.98735687496435, -85.13968530291544, 34.9916014067627, -85.1347841397627, 34.9916014067627, -85.13233355818636, 34.98735687496435","-85.13233355818636, -85.1347841397627, -85.13968530291544, -85.14213588449195, -85.13968530291544, -85.1347841397627, -85.13233355818636","34.98735687496435, 34.98311234316594, 34.98311234316594, 34.98735687496435, 34.9916014067627, 34.9916014067627, 34.98735687496435",34.98735687,-85.13723472,0,1
27,0,0,0,0,0,0,"-85.46316207100011, 34.9916014067627, -85.46561265257645, 34.98735687496435, -85.4705138157293, 34.98735687496435, -85.4729643973057, 34.9916014067627, -85.4705138157293, 34.995845938561274, -85.46561265257645, 34.995845938561274, -85.46316207100011, 34.9916014067627","-85.46316207100011, -85.46561265257645, -85.4705138157293, -85.4729643973057, -85.4705138157293, -85.46561265257645, -85.46316207100011","34.9916014067627, 34.98735687496435, 34.98735687496435, 34.9916014067627, 34.995845938561274, 34.995845938561274, 34.9916014067627",34.99160141,-85.46806323,0,0
28,0,0,0,0,0,0,"-85.39699636843727, 34.995845938561274, -85.39944695001367, 34.9916014067627, -85.40434811316652, 34.9916014067627, -85.40679869474286, 34.995845938561274, -85.40434811316652, 35.00009047035968, -85.39944695001367, 35.00009047035968, -85.39699636843727, 34.995845938561274","-85.39699636843727, -85.39944695001367, -85.40434811316652, -85.40679869474286, -85.40434811316652, -85.39944695001367, -85.39699636843727","34.995845938561274, 34.9916014067627, 34.9916014067627, 34.995845938561274, 35.00009047035968, 35.00009047035968, 34.995845938561274",34.99584594,-85.40189753,0,0
29,0,0,0,0,0,0,"-85.38964462370808, 34.9916014067627, -85.39209520528453, 34.98735687496435, -85.39699636843727, 34.98735687496435, -85.39944695001367, 34.9916014067627, -85.39699636843727, 34.995845938561274, -85.39209520528453, 34.995845938561274, -85.38964462370808, 34.9916014067627","-85.38964462370808, -85.39209520528453, -85.39699636843727, -85.39944695001367, -85.39699636843727, -85.39209520528453, -85.38964462370808","34.9916014067627, 34.98735687496435, 34.98735687496435, 34.9916014067627, 34.995845938561274, 34.995845938561274, 34.9916014067627",34.99160141,-85.39454579,0,0
30,0,2,0,3,0,0,"-85.38229287897894, 34.995845938561274, -85.38474346055534, 34.9916014067627, -85.38964462370808, 34.9916014067627, -85.39209520528453, 34.995845938561274, -85.38964462370808, 35.00009047035968, -85.38474346055534, 35.00009047035968, -85.38229287897894, 34.995845938561274","-85.38229287897894, -85.38474346055534, -85.38964462370808, -85.39209520528453, -85.38964462370808, -85.38474346055534, -85.38229287897894","34.995845938561274, 34.9916014067627, 34.9916014067627, 34.995845938561274, 35.00009047035968, 35.00009047035968, 34.995845938561274",34.99584594,-85.38719404,0,1
31,0,0,0,0,0,0,"-85.37494113424975, 34.9916014067627, -85.37739171582609, 34.98735687496435, -85.38229287897894, 34.98735687496435, -85.38474346055534, 34.9916014067627, -85.38229287897894, 34.995845938561274, -85.37739171582609, 34.995845938561274, -85.37494113424975, 34.9916014067627","-85.37494113424975, -85.37739171582609, -85.38229287897894, -85.38474346055534, -85.38229287897894, -85.37739171582609, -85.37494113424975","34.9916014067627, 34.98735687496435, 34.98735687496435, 34.9916014067627, 34.995845938561274, 34.995845938561274, 34.9916014067627",34.99160141,-85.3798423,0,0
32,0,0,9,12,0,0,"-85.35288590006218, 34.995845938561274, -85.35533648163857, 34.9916014067627, -85.36023764479137, 34.9916014067627, -85.36268822636777, 34.995845938561274, -85.36023764479137, 35.00009047035968, -85.35533648163857, 35.00009047035968, -85.35288590006218, 34.995845938561274","-85.35288590006218, -85.35533648163857, -85.36023764479137, -85.36268822636777, -85.36023764479137, -85.35533648163857, -85.35288590006218","34.995845938561274, 34.9916014067627, 34.9916014067627, 34.995845938561274, 35.00009047035968, 35.00009047035968, 34.995845938561274",34.99584594,-85.35778706,9,12
33,0,0,2,27,0,0,"-85.34553415533298, 34.9916014067627, -85.34798473690932, 34.98735687496435, -85.35288590006218, 34.98735687496435, -85.35533648163857, 34.9916014067627, -85.35288590006218, 34.995845938561274, -85.34798473690932, 34.995845938561274, -85.34553415533298, 34.9916014067627","-85.34553415533298, -85.34798473690932, -85.35288590006218, -85.35533648163857, -85.35288590006218, -85.34798473690932, -85.34553415533298","34.9916014067627, 34.98735687496435, 34.98735687496435, 34.9916014067627, 34.995845938561274, 34.995845938561274, 34.9916014067627",34.99160141,-85.35043532,2,27
34,0,1,0,10,0,0,"-85.33818241060374, 34.995845938561274, -85.34063299218019, 34.9916014067627, -85.34553415533298, 34.9916014067627, -85.34798473690932, 34.995845938561274, -85.34553415533298, 35.00009047035968, -85.34063299218019, 35.00009047035968, -85.33818241060374, 34.995845938561274","-85.33818241060374, -85.34063299218019, -85.34553415533298, -85.34798473690932, -85.34553415533298, -85.34063299218019, -85.33818241060374","34.995845938561274, 34.9916014067627, 34.9916014067627, 34.995845938561274, 35.00009047035968, 35.00009047035968, 34.995845938561274",34.99584594,-85.34308357,0,9
35,0,8,0,7,0,0,"-85.3308306658746, 34.9916014067627, -85.333281247451, 34.98735687496435, -85.33818241060374, 34.98735687496435, -85.34063299218019, 34.9916014067627, -85.33818241060374, 34.995845938561274, -85.333281247451, 34.995845938561274, -85.3308306658746, 34.9916014067627","-85.3308306658746, -85.333281247451, -85.33818241060374, -85.34063299218019, -85.33818241060374, -85.333281247451, -85.3308306658746","34.9916014067627, 34.98735687496435, 34.98735687496435, 34.9916014067627, 34.995845938561274, 34.995845938561274, 34.9916014067627",34.99160141,-85.33573183,0,1
36,1,55,1,31,0,0,"-85.32347892114541, 34.995845938561274, -85.32592950272175, 34.9916014067627, -85.3308306658746, 34.9916014067627, -85.333281247451, 34.995845938561274, -85.3308306658746, 35.00009047035968, -85.32592950272175, 35.00009047035968, -85.32347892114541, 34.995845938561274","-85.32347892114541, -85.32592950272175, -85.3308306658746, -85.333281247451, -85.3308306658746, -85.32592950272175, -85.32347892114541","34.995845938561274, 34.9916014067627, 34.9916014067627, 34.995845938561274, 35.00009047035968, 35.00009047035968, 34.995845938561274",34.99584594,-85.32838008,0,24
37,1,11,1,8,0,0,"-85.31612717641616, 34.9916014067627, -85.31857775799256, 34.98735687496435, -85.32347892114541, 34.98735687496435, -85.32592950272175, 34.9916014067627, -85.32347892114541, 34.995845938561274, -85.31857775799256, 34.995845938561274, -85.31612717641616, 34.9916014067627","-85.31612717641616, -85.31857775799256, -85.32347892114541, -85.32592950272175, -85.32347892114541, -85.31857775799256, -85.31612717641616","34.9916014067627, 34.98735687496435, 34.98735687496435, 34.9916014067627, 34.995845938561274, 34.995845938561274, 34.9916014067627",34.99160141,-85.32102834,0,3
38,4,6,1,4,0,0,"-85.30877543168691, 34.995845938561274, -85.31122601326342, 34.9916014067627, -85.31612717641616, 34.9916014067627, -85.31857775799256, 34.995845938561274, -85.31612717641616, 35.00009047035968, -85.31122601326342, 35.00009047035968, -85.30877543168691, 34.995845938561274","-85.30877543168691, -85.31122601326342, -85.31612717641616, -85.31857775799256, -85.31612717641616, -85.31122601326342, -85.30877543168691","34.995845938561274, 34.9916014067627, 34.9916014067627, 34.995845938561274, 35.00009047035968, 35.00009047035968, 34.995845938561274",34.99584594,-85.31367659,3,2
39,1,20,4,6,0,0,"-85.30142368695783, 34.9916014067627, -85.30387426853423, 34.98735687496435, -85.30877543168691, 34.98735687496435, -85.31122601326342, 34.9916014067627, -85.30877543168691, 34.995845938561274, -85.30387426853423, 34.995845938561274, -85.30142368695783, 34.9916014067627","-85.30142368695783, -85.30387426853423, -85.30877543168691, -85.31122601326342, -85.30877543168691, -85.30387426853423, -85.30142368695783","34.9916014067627, 34.98735687496435, 34.98735687496435, 34.9916014067627, 34.995845938561274, 34.995845938561274, 34.9916014067627",34.99160141,-85.30632485,3,14
40,0,3,0,5,0,0,"-85.29407194222858, 34.995845938561274, -85.29652252380498, 34.9916014067627, -85.30142368695783, 34.9916014067627, -85.30387426853417, 34.995845938561274, -85.30142368695783, 35.00009047035968, -85.29652252380498, 35.00009047035968, -85.29407194222858, 34.995845938561274","-85.29407194222858, -85.29652252380498, -85.30142368695783, -85.30387426853417, -85.30142368695783, -85.29652252380498, -85.29407194222858","34.995845938561274, 34.9916014067627, 34.9916014067627, 34.995845938561274, 35.00009047035968, 35.00009047035968, 34.995845938561274",34.99584594,-85.29897311,0,2
41,0,41,2,26,1,6,"-85.28672019749939, 34.9916014067627, -85.28917077907573, 34.98735687496435, -85.29407194222858, 34.98735687496435, -85.29652252380498, 34.9916014067627, -85.29407194222858, 34.995845938561274, -85.28917077907573, 34.995845938561274, -85.28672019749939, 34.9916014067627","-85.28672019749939, -85.28917077907573, -85.29407194222858, -85.29652252380498, -85.29407194222858, -85.28917077907573, -85.28672019749939","34.9916014067627, 34.98735687496435, 34.98735687496435, 34.9916014067627, 34.995845938561274, 34.995845938561274, 34.9916014067627",34.99160141,-85.29162136,2,15
42,2,66,1,44,1,2,"-85.27936845277014, 34.995845938561274, -85.28181903434665, 34.9916014067627, -85.28672019749939, 34.9916014067627, -85.28917077907573, 34.995845938561274, -85.28672019749939, 35.00009047035968, -85.28181903434665, 35.00009047035968, -85.27936845277014, 34.995845938561274","-85.27936845277014, -85.28181903434665, -85.28672019749939, -85.28917077907573, -85.28672019749939, -85.28181903434665, -85.27936845277014","34.995845938561274, 34.9916014067627, 34.9916014067627, 34.995845938561274, 35.00009047035968, 35.00009047035968, 34.995845938561274",34.99584594,-85.28426962,1,22
43,0,6,0,5,0,0,"-85.27201670804106, 34.9916014067627, -85.2744672896174, 34.98735687496435, -85.27936845277014, 34.98735687496435, -85.28181903434665, 34.9916014067627, -85.27936845277014, 34.995845938561274, -85.2744672896174, 34.995845938561274, -85.27201670804106, 34.9916014067627","-85.27201670804106, -85.2744672896174, -85.27936845277014, -85.28181903434665, -85.27936845277014, -85.2744672896174, -85.27201670804106","34.9916014067627, 34.98735687496435, 34.98735687496435, 34.9916014067627, 34.995845938561274, 34.995845938561274, 34.9916014067627",34.99160141,-85.27691787,0,1
44,0,1,3,11,0,0,"-85.26466496331182, 34.995845938561274, -85.26711554488821, 34.9916014067627, -85.27201670804106, 34.9916014067627, -85.2744672896174, 34.995845938561274, -85.27201670804106, 35.00009047035968, -85.26711554488821, 35.00009047035968, -85.26466496331182, 34.995845938561274","-85.26466496331182, -85.26711554488821, -85.27201670804106, -85.2744672896174, -85.27201670804106, -85.26711554488821, -85.26466496331182","34.995845938561274, 34.9916014067627, 34.9916014067627, 34.995845938561274, 35.00009047035968, 35.00009047035968, 34.995845938561274",34.99584594,-85.26956613,3,10
45,0,1,0,2,0,0,"-85.17644402656146, 34.995845938561274, -85.17889460813785, 34.9916014067627, -85.1837957712907, 34.9916014067627, -85.18624635286704, 34.995845938561274, -85.1837957712907, 35.00009047035968, -85.17889460813785, 35.00009047035968, -85.17644402656146, 34.995845938561274","-85.17644402656146, -85.17889460813785, -85.1837957712907, -85.18624635286704, -85.1837957712907, -85.17889460813785, -85.17644402656146","34.995845938561274, 34.9916014067627, 34.9916014067627, 34.995845938561274, 35.00009047035968, 35.00009047035968, 34.995845938561274",34.99584594,-85.18134519,0,1
46,0,0,0,0,0,0,"-85.16909228183226, 34.9916014067627, -85.17154286340872, 34.98735687496435, -85.17644402656146, 34.98735687496435, -85.17889460813785, 34.9916014067627, -85.17644402656146, 34.995845938561274, -85.17154286340872, 34.995845938561274, -85.16909228183226, 34.9916014067627","-85.16909228183226, -85.17154286340872, -85.17644402656146, -85.17889460813785, -85.17644402656146, -85.17154286340872, -85.16909228183226","34.9916014067627, 34.98735687496435, 34.98735687496435, 34.9916014067627, 34.995845938561274, 34.995845938561274, 34.9916014067627",34.99160141,-85.17399344,0,0
47,0,0,0,0,0,0,"-85.16174053710313, 34.995845938561274, -85.16419111867953, 34.9916014067627, -85.16909228183226, 34.9916014067627, -85.17154286340872, 34.995845938561274, -85.16909228183226, 35.00009047035968, -85.16419111867953, 35.00009047035968, -85.16174053710313, 34.995845938561274","-85.16174053710313, -85.16419111867953, -85.16909228183226, -85.17154286340872, -85.16909228183226, -85.16419111867953, -85.16174053710313","34.995845938561274, 34.9916014067627, 34.9916014067627, 34.995845938561274, 35.00009047035968, 35.00009047035968, 34.995845938561274",34.99584594,-85.1666417,0,0
48,1,7,1,0,0,0,"-85.15438879237394, 34.9916014067627, -85.15683937395028, 34.98735687496435, -85.16174053710313, 34.98735687496435, -85.16419111867953, 34.9916014067627, -85.16174053710313, 34.995845938561274, -85.15683937395028, 34.995845938561274, -85.15438879237394, 34.9916014067627","-85.15438879237394, -85.15683937395028, -85.16174053710313, -85.16419111867953, -85.16174053710313, -85.15683937395028, -85.15438879237394","34.9916014067627, 34.98735687496435, 34.98735687496435, 34.9916014067627, 34.995845938561274, 34.995845938561274, 34.9916014067627",34.99160141,-85.15928996,0,7
