Updated On,Latitude,Longitude,Description,DescCode,Grid_Num
8/12/2013 13:28,35.084227,-85.317501, TRAFFIC SIGNAL,7,430
2/14/1997 13:58,35.085797,-85.315981, TRAFFIC SIGNAL,7,-1
3/12/2007 12:52,35.09468,-85.307246, TRAFFIC SIGNAL,7,-1
9/5/2008 13:24,35.098603,-85.303523, TRAFFIC SIGNAL,7,-1
8/12/2013 13:17,35.106691,-85.29712, TRAFFIC SIGNAL,7,-1
9/5/2008 13:24,35.10681,-85.297021, TRAFFIC SIGNAL,7,-1
9/5/2008 13:21,35.116959,-85.291049, TRAFFIC SIGNAL,7,-1
8/12/2013 13:23,35.117042,-85.291015, TRAFFIC SIGNAL,7,-1
2/14/1997 13:58,35.119733,-85.289518, TRAFFIC SIGNAL,7,-1
2/14/1997 13:58,35.121597,-85.287902, TRAFFIC SIGNAL,7,-1
2/14/1997 13:58,35.137042,-85.279629, TRAFFIC SIGNAL,7,-1
8/5/2008 13:44,35.05998,-85.03192, 1-WAY STOP ,1,-1
8/5/2008 13:46,35.079298,-85.033942, 1-WAY STOP ,1,-1
4/20/2017 11:17,35.014057,-85.089925, 1-WAY YIELD SIGN,2,-1
4/20/2017 11:17,35.014057,-85.089925, 1-WAY YIELD SIGN,2,-1
4/19/2017 15:49,35.02558,-85.060544, 1-WAY STOP ,1,-1
7/25/2008 8:47,35.132689,-85.070306, 1-WAY STOP ,1,-1
7/25/2008 8:49,35.136074,-85.116469, 1-WAY STOP ,1,-1
7/30/2008 8:46,35.231951,-85.150992, 1-WAY STOP ,1,-1
8/26/2013 10:28,35.22771,-85.111877, 4-WAY STOP,6,-1
7/30/2008 8:48,35.230553,-85.097138, 1-WAY STOP ,1,-1
7/30/2008 8:45,35.225404,-85.112461, 1-WAY STOP ,1,-1
7/25/2008 13:55,35.315004,-85.027869, 1-WAY STOP ,1,-1
7/25/2008 13:56,35.270753,-84.985385, 2-WAY STOP,3,-1
7/25/2008 13:56,35.268442,-84.978692, 1-WAY STOP ,1,-1
7/25/2008 13:57,35.275193,-84.968266, 1-WAY STOP ,1,-1
4/27/2009 12:09,35.215843,-85.227723, TRAFFIC SIGNAL,7,-1
8/12/2013 13:47,35.21596,-85.227642, TRAFFIC SIGNAL,7,-1
5/23/2000 12:04,35.223301,-85.219248, TRAFFIC SIGNAL,7,-1
9/23/2013 14:19,35.235366,-85.201654, TRAFFIC SIGNAL,7,-1
8/12/2013 13:41,35.235413,-85.201598, TRAFFIC SIGNAL,7,-1
8/12/2008 9:17,35.237115,-85.199081, TRAFFIC SIGNAL,7,-1
8/13/2008 9:26,34.986657,-85.39188, 1-WAY STOP ,1,5
2/14/1997 13:58,35.020301,-85.365786, TRAFFIC SIGNAL,7,127
2/14/1997 13:59,35.052858,-85.048597, 4-WAY STOP,6,-1
10/12/2010 16:06,35.13962,-85.120769, TRAFFIC SIGNAL,7,-1
10/13/2010 9:33,35.08771,-85.07104, TRAFFIC SIGNAL,7,459
10/13/2010 8:27,35.086717,-85.069482, TRAFFIC SIGNAL,7,459
7/28/2008 13:03,35.08771,-85.07104, TRAFFIC SIGNAL,7,459
10/13/2010 9:50,35.087956,-85.065002, TRAFFIC SIGNAL,7,460
10/13/2010 9:47,35.179335,-85.049864, 1-WAY STOP ,1,-1
2/29/2012 10:12,35.121949,-85.344137, 1-WAY STOP ,1,-1
2/29/2012 10:12,35.126412,-85.345769, 1-WAY STOP ,1,-1
2/29/2012 10:09,35.126412,-85.345769, 1-WAY STOP ,1,-1
2/29/2012 10:09,35.155919,-85.359068, 1-WAY STOP ,1,-1
7/30/2008 14:25,35.174775,-85.027726, 1-WAY STOP ,1,-1
7/30/2008 14:06,35.287636,-84.946329, 1-WAY STOP ,1,-1
7/29/2008 15:11,35.185975,-85.168365, 1-WAY STOP ,1,-1
2/14/1997 13:59,35.192309,-85.176032, 4-WAY STOP,6,-1
7/31/2008 13:44,35.230361,-85.130775, 1-WAY STOP ,1,-1
2/14/1997 13:59,35.214437,-85.125094, 1-WAY STOP ,1,-1
7/30/2008 13:37,35.257391,-85.207508, 1-WAY STOP ,1,-1
7/30/2008 13:34,35.260717,-85.206249, 1-WAY STOP ,1,-1
7/30/2008 13:33,35.291745,-85.166514, 2-WAY STOP,3,-1
7/30/2008 13:33,35.291459,-85.165324, 4-WAY STOP,6,-1
9/25/2013 14:55,35.279495,-85.158718, TRAFFIC SIGNAL,7,-1
6/10/2015 14:15,35.288021,-85.155541, 1-WAY STOP ,1,-1
5/8/2007 14:59,35.288535,-85.158553, 4-WAY STOP,6,-1
5/8/2007 15:00,35.289333,-85.163188, 4-WAY STOP,6,-1
5/8/2007 15:10,35.291459,-85.165324, 4-WAY STOP,6,-1
5/8/2007 15:48,35.311244,-85.160005, 2-WAY STOP,3,-1
5/8/2007 15:57,35.343353,-85.132942, 1-WAY STOP ,1,-1
5/8/2007 15:58,35.341016,-85.129004, TRAFFIC SIGNAL,7,-1
7/25/2008 8:51,35.226971,-85.021772, 1-WAY STOP ,1,-1
7/25/2008 8:52,35.292063,-85.000086, 1-WAY STOP ,1,-1
7/24/2008 13:43,35.340358,-85.119767, 1-WAY STOP ,1,-1
2/14/1997 13:59,35.369714,-85.098314, 1-WAY STOP ,1,-1
7/24/2008 13:49,35.41386,-85.068168, 1-WAY STOP ,1,-1
7/24/2008 13:49,35.395253,-85.089929, 1-WAY STOP ,1,-1
9/25/2013 11:29,35.114509,-85.256968, TRAFFIC SIGNAL,7,540
2/23/2015 11:01,35.111713,-85.250433, TRAFFIC SIGNAL,7,541
2/23/2015 11:02,35.110952,-85.248495, TRAFFIC SIGNAL,7,541
2/23/2015 11:06,35.110464,-85.24722, TRAFFIC SIGNAL,7,541
2/23/2015 11:11,35.108943,-85.230788, 1-WAY YIELD SIGN,2,543
4/9/2012 11:00,35.109107,-85.230986, 1-WAY YIELD SIGN,2,543
2/23/2015 11:13,35.109772,-85.228162, 1-WAY YIELD SIGN,2,511
2/23/2015 12:23,35.109772,-85.228162, 1-WAY YIELD SIGN,2,511
2/23/2015 9:54,35.111755,-85.229435, 1-WAY YIELD SIGN,2,543
8/13/2008 9:45,35.062669,-85.308503, TRAFFIC SIGNAL,7,317
8/13/2008 13:16,35.062571,-85.30774, TRAFFIC SIGNAL,7,317
11/4/2003 11:44,35.062412,-85.306629, TRAFFIC SIGNAL,7,317
11/4/2003 11:44,35.061777,-85.304823, TRAFFIC SIGNAL,7,317
7/20/2017 14:49,35.060958,-85.301494, TRAFFIC SIGNAL,7,318
11/4/2003 11:20,35.05218,-85.30466, TRAFFIC SIGNAL,7,282
11/4/2003 11:20,35.049763,-85.306037, TRAFFIC SIGNAL,7,282
7/20/2017 14:49,35.048423,-85.3068, TRAFFIC SIGNAL,7,282
7/20/2017 14:49,35.04715,-85.307483, TRAFFIC SIGNAL,7,282
11/4/2003 11:20,35.045802,-85.308217, TRAFFIC SIGNAL,7,246
8/13/2008 8:33,35.052777,-85.302635, TRAFFIC SIGNAL,7,282
3/27/2012 15:07,35.052574,-85.302744, TRAFFIC SIGNAL,7,282
2/20/2004 8:19,35.051932,-85.30308, TRAFFIC SIGNAL,7,282
