Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count
261,12,17,1,7,9
262,13,17,0,7,24
263,14,17,0,7,26
264,15,17,0,7,32
265,16,17,0,7,20
266,17,17,0,7,1
267,18,17,0,5,4
268,19,17,0,7,17
269,20,17,0,7,22
270,21,17,0,7,14
271,22,17,0,7,14
272,23,17,0,7,18
273,24,17,0,7,15
274,25,17,0,7,13
275,26,17,0,7,8
276,27,17,0,2,1
277,28,17,0,7,2
278,29,17,0,2,5
279,30,17,0,2,7
280,31,17,1,7,10
281,32,17,1,7,18
282,33,17,0,7,9
283,34,17,0,7,8
284,35,17,0,7,7
285,36,17,0,7,15
286,37,17,0,7,13
287,38,17,0,7,9
288,39,17,0,7,8
289,40,17,0,7,9
290,41,17,0,7,8
291,42,17,0,7,7
292,43,17,0,0,2
293,44,17,0,0,2
294,45,17,0,0,1
295,1,16,0,-1,-1
296,2,16,0,-1,-1
297,3,16,0,-1,-1
298,4,16,0,-1,-1
299,5,16,0,7,1
300,6,16,0,7,1
301,7,16,0,-1,-1
302,8,16,0,-1,-1
303,9,16,0,0,2
304,10,16,1,7,8
305,11,16,1,7,13
306,12,16,0,2,2
307,13,16,0,7,12
308,14,16,0,7,20
309,15,16,0,7,22
310,16,16,0,7,14
311,17,16,0,-1,-1
312,18,16,0,7,5
313,19,16,0,7,8
314,20,16,0,7,18
315,21,16,0,7,11
316,22,16,0,7,9
317,23,16,0,7,9
318,24,16,0,7,11
319,25,16,0,2,1
320,26,16,0,7,3
321,27,16,0,0,1
322,28,16,0,2,6
323,29,16,0,7,16
324,30,16,1,2,9
325,31,16,1,7,10
326,32,16,1,7,16
327,33,16,0,7,12
328,34,16,0,7,13
329,35,16,0,7,7
330,36,16,0,7,7
331,37,16,0,7,8
332,38,16,0,7,9
333,39,16,0,7,7
334,40,16,0,7,17
335,41,16,0,7,10
336,42,16,0,7,7
337,43,16,0,7,6
338,44,16,0,7,8
339,45,16,0,0,2
340,1,15,0,-1,-1
341,2,15,0,-1,-1
342,3,15,0,0,1
343,4,15,0,0,2
344,5,15,0,7,2
345,6,15,0,0,2
346,7,15,0,0,2
347,8,15,0,7,3
348,9,15,0,7,5
349,10,15,1,0,3
350,11,15,0,7,11
351,12,15,0,7,11
352,13,15,0,7,8
353,14,15,0,7,16
