,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP
0,76.92186108724636,0.20979027732971467,75.54899427938734,0.20984365664370805,0.8406348987104892,2102.0,620.0,705.0,1992.0
1,77.17494332914826,0.1606609506639711,75.60435504705664,0.16489346991934056,0.8422566968986414,2123.0,599.0,723.0,1974.0
2,77.00095020566927,0.1587783838618109,75.54899427938734,0.1632510254477097,0.8436260170973979,2106.0,616.0,709.0,1988.0
3,77.08003863772424,0.15771964307006514,75.64126222550286,0.16228764236626314,0.8443096896243873,2106.0,616.0,704.0,1993.0
4,77.06421823374873,0.1571401006130332,75.71507658239528,0.16169307155800214,0.8449507262675457,2099.0,623.0,693.0,2004.0
5,77.00885624796557,0.15684346977370295,75.73353017161837,0.16115991671798735,0.8456241144200007,2095.0,627.0,688.0,2009.0
6,77.11958257656465,0.15619020095912792,75.67816940394906,0.16056896107623522,0.8466126403272256,2068.0,654.0,664.0,2033.0
7,77.35684857041123,0.1554646127915226,75.86270529618011,0.15978335020050435,0.8477840373975274,2083.0,639.0,669.0,2028.0
8,77.59411691940498,0.154536074160246,76.04724118841114,0.15886952889432046,0.8491795793459247,2091.0,631.0,667.0,2030.0
9,77.64156926134575,0.15364675167372854,76.10260195608046,0.15790093840900093,0.8505800932104874,2071.0,651.0,644.0,2053.0
10,77.77602023921484,0.15267179719347254,76.26868425908839,0.15679910740985212,0.8523600391977697,2117.0,605.0,681.0,2016.0
11,77.89465441654015,0.1519114242100149,76.36095220520393,0.15595797689108573,0.8530954060311932,2073.0,649.0,632.0,2065.0
12,78.21891904820072,0.15074640846008006,76.76693116811221,0.15469864449500226,0.8562960259814631,2141.0,581.0,678.0,2019.0
13,78.34546106859537,0.14948432266553258,76.87765270345079,0.15340894802548832,0.8574800231132804,2098.0,624.0,629.0,2068.0
14,78.46409344326202,0.1490057912360251,76.91455988189702,0.1528868456705401,0.8579633206079522,2116.0,606.0,645.0,2052.0
15,78.52736618729266,0.1487776055783766,77.04373500645877,0.1525341675742151,0.8585630154276516,2106.0,616.0,628.0,2069.0
16,78.57481797297369,0.14822148600403642,77.37589961247463,0.152047335438426,0.8596068453886636,2134.0,588.0,638.0,2059.0
17,78.64599800569955,0.14783837903263547,77.32053884480533,0.15152467450768933,0.8603747680567055,2122.0,600.0,629.0,2068.0
18,78.66972625463005,0.14742118699139653,77.2467244879129,0.1511218638471609,0.8608660342389304,2117.0,605.0,628.0,2069.0
19,78.71717804031105,0.1470850465507415,77.41280679092083,0.15076530408274494,0.8615394904998259,2113.0,609.0,615.0,2082.0
20,78.84372061696546,0.14683917255595452,77.52352832625947,0.15040020311512858,0.8621438166934878,2122.0,600.0,618.0,2079.0
21,78.88326511395125,0.14622346111888399,77.63424986159808,0.149785787787262,0.8635476678716412,2128.0,594.0,618.0,2079.0
22,79.11262202210081,0.1452463699345045,78.07713600295257,0.14853678475857812,0.8663853379418228,2144.0,578.0,610.0,2087.0
